context_id,species,ancestry,age,sex,tissue,disease,disease_severity,treatment_status,cell_type,cell_state,developmental_state,stimulation,dose,duration,assay,genomic_background,time_point
CCONTEXT_39ab184b05f721cf284e,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood-derived cell culture,healthy donor,unavailable,unavailable,primary monocyte-derived inflammatory macrophage,TPP inflammatory differentiation,unavailable,GM-CSF-supported differentiation followed by TNF/PGE2/Pam3CSK4,GM-CSF50 ng/mL;TNF50 ng/mL;PGE2 1 microgram/mL;Pam3CSK4 1 microgram/mL;RNP into5 million monocytes in100 microlitre buffer,3 days GM-CSF then3 days GM-CSF+TPP,Meso Scale Diagnostics electrochemiluminescence; DISCOVERY WORKBENCH4.0,unavailable,supernatant collected day6 of TPP macrophage culture
CCONTEXT_3f8fd7bd7dc5d846284c,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,FACS-sorted CD4+CD25bright or CD4+CD25− T cells (>95% purity),Fresh CD4+CD25− sorted cells,unavailable,IL2,100 U/mL,6 h,Quantitative RT-PCR,unavailable,6 h
CCONTEXT_451ee72884e7c211eecc,Homo sapiens source; Mus musculus recipient,unavailable,unavailable,unavailable,tonsils,unavailable,unavailable,unavailable,primary tonsillar B cells plus reused mouse TCR hybridoma,unavailable,unavailable,unavailable,W6/32 10 micrograms/mL; 2e4 source cells and 1e4 reporter cells/well,24 h coculture,sGFP reporter flow,unavailable,unavailable
CCONTEXT_4b0d9eac2e8843380754,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood-derived cell culture,healthy donor,unavailable,unavailable,primary monocyte-derived inflammatory macrophage,TPP inflammatory differentiation,unavailable,GM-CSF-supported differentiation followed by TNF/PGE2/Pam3CSK4,GM-CSF50 ng/mL;TNF50 ng/mL;PGE2 1 microgram/mL;Pam3CSK4 1 microgram/mL;RNP into5 million monocytes in100 microlitre buffer,3 days GM-CSF then3 days GM-CSF+TPP,PrimeFlow ETS2 AlexaFluor647;BRWD1/PSMG1 AlexaFluor568;PCR/Bioanalyzer deletion confirmation,unavailable,"PrimeFlow days0,3,4,5,6 of differentiation"
CCONTEXT_51bb76f0a4859cf91f57,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Negatively isolated CD4+CD45RO− naive T cells,naive; CD3 stimulation with or without CD28,unavailable,anti-CD3 beads with CD28 or IgG; A-FOS versus GFP electroporation,Bead coating: 24 ng anti-CD3 and 52 ng anti-CD28 or mouse IgG per 100 µL beads,5 h primary chromatin comparison; FigS5A nuclear-blot sampling points not transcribed,Nuclear protein fractionation; cFOS/JUNB immunoblot,unavailable,5 h for ATAC; nuclear-blot time labels unavailable
CCONTEXT_556ecf8c1aac85b4b7e2,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Negatively isolated CD4+CD45RO− naive T cells,naive cells electroporated before activation,unavailable,anti-CD3 beads with CD28 or IgG; A-FOS versus GFP electroporation,25 µg A-FOS or GFP per 3.5 million naive cells,2 h recovery then 5 h activation,ATAC-seq with supporting AP-1 ChIP-seq,unavailable,5 h after CD3/CD28 stimulation
CCONTEXT_558d519d62c4e6a8cf00,Homo sapiens target; Mus musculus recipient,unavailable,unavailable,unavailable,melanoma cell culture,unavailable,unavailable,unavailable,WM793 and WM278 melanoma clones; mouse T-hybridoma expressing human Vα3S1/Vβ13S1 TCR,unavailable,unavailable,unavailable,WM278 IFNG 1 ng/mL; WM793 no IFNG requirement stated,target preparation 24 h; coculture 24 h,NFAT-sGFP positive mouse hybridoma fraction by flow,unavailable,unavailable
CCONTEXT_56c01cd63ffe01705557,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,primary CD4+ T cell,activated and expanded primary CD4 cells,unavailable,CD3/CD28 then enhancer Cas9 RNP editing,1:1 bead:cell;143 pmol gRNA +47 pmol Cas9 per2 million cells,edit72 h after activation; harvest10 days after editing,PCR/TapeStation deletion confirmation + bulk RNA-seq,unavailable,10 days after editing
CCONTEXT_5f40bae9bf8553358687,Homo sapiens,unavailable,unavailable,unavailable,blood buffy coat origin,unavailable,unavailable,unavailable,primary-human-monocyte-derived cultured dendritic cells,unavailable,unavailable,unavailable,TSA 100 ng/mL with LPS 10 ng/mL,24 h,quantitative RT-PCR,unavailable,unavailable
CCONTEXT_5f67de0efafdac33b74c,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood origin,unavailable,unavailable,unavailable,TND-3 EBV-transformed B-cell target,unavailable,unavailable,unavailable,unavailable,overnight infection,W6/32 flow cytometry,unavailable,unavailable
CCONTEXT_651dd4093ca1071eae7d,Homo sapiens,unavailable,unavailable,unavailable,blood buffy coat origin,unavailable,unavailable,unavailable,primary-human-monocyte-derived cultured dendritic cells,unavailable,unavailable,unavailable,10 ng/mL,1–24 h; early plateau about 3–5 h,RPA and quantitative RT-PCR,unavailable,unavailable
CCONTEXT_6889f7a4568ecb603aa8,Homo sapiens,unavailable,unavailable,unavailable,subcutaneous melanoma deposits; lymph node,unavailable,unavailable,unavailable,patient-derived melanoma cultures,unavailable,unavailable,unavailable,unavailable,unavailable,6-hour 51Cr release; qualitative graph inspection,1259mel HLA-A2.1 negative,unavailable
CCONTEXT_69aa6a421775e32419cf,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Primary human CD4+ T cells polarized to iTregs,unavailable,unavailable,RBPJ and HDAC3 genetic perturbation,unavailable,unavailable,Proliferating CD4/CD8 responder fraction per Fig3j; wet-lab Methods unavailable,unavailable,unavailable
CCONTEXT_6d58700baf078e6c3e7e,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,PI−CD4+CD25+CD127− sorted Tregs; expanded 7 days before editing,Expanded7 days; edited; living CD25− sorted4 days after editing,unavailable,IL2RA CRISPR versus mock/CD25-positive controls,IL2 100 U/mL,2 h rest then15 min IL2,Phospho-flow; pSTAT5 Pacific Blue reagent560311; STAT5 isoform/site not specified in prose,CRISPR IL2RA indels; sorted CD25-negative,15 min after IL2
CCONTEXT_6dbd17359fc0f62b6bed,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,primary CD4+ T cell,"CD3/CD28 activated, lentivirally transduced and antibiotic-selected",unavailable,CD3/CD28 reactivation; CD81 TSS guide versus non-targeting,bead:cell1:1; guide MOI0.1; IL2 15 ng/mL,11 days after guide transduction,10X3-prime scRNA-seq,unavailable,day11
CCONTEXT_700163186ee206fce8bd,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Unfractionated PBMCs; CD4+ and CD8+ gates,Normal-donor unfractionated PBMCs; CD4/CD8 flow gates,unavailable,Anti-CD3 in PBMC cultures at3×10^6 cells/mL,AntiIL2 dose series; Fig3D1 µg/mL; IL2 competition0–10 nM,24 h,FOXP3 intracellular/nuclear flow; FACSCalibur,unavailable,24 h
CCONTEXT_7225341a819fbb6128ce,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,primary CD4+ T cell,"previously activated, transduced and selected",unavailable,anti-CD3/CD28 preactivation; IL2-supported lentiviral knockdown/selection,anti-CD3 50 ng/mL; anti-CD28 100 ng/mL; IL2 100 ng/mL; puromycin 1.5 microgram/mL,48 h preactivation; 72 h transduction; 96 h selection; final24 h without IL2/puromycin,RT-PCR exon5/exon7; DDX39B western blot,rs6897932 CC or CT; no TT,endpoint after final24-h withdrawal
CCONTEXT_763d2944b6667a3b77b1,Homo sapiens target; Mus musculus recipient,unavailable,unavailable,unavailable,HEK293T culture,unavailable,unavailable,unavailable,engineered HEK293T target; mouse T-hybridoma recipient,unavailable,unavailable,unavailable,"75 ng each HLA-C, peptide and ERAP1/vector construct",24 h transfection plus 24 h coculture,NFAT-sGFP reporter flow,unavailable,unavailable
CCONTEXT_7866f6dbb5e46347a0e6,Homo sapiens,unavailable,unavailable,unavailable,blood buffy coat origin,unavailable,unavailable,unavailable,primary-human-monocyte-derived cultured dendritic cells,unavailable,unavailable,unavailable,10 ng/mL,24 h,G46-6 HLA-DR flow cytometry,unavailable,unavailable
CCONTEXT_80b71d433c528faf39f4,Homo sapiens,"European, from explicitly reused Fairfax cohort",unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,LPS,20 ng/mL,24 h,ELISA and genotype interaction analysis,unavailable,24 h
CCONTEXT_863d00db529f44004070,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,"Sorted CD4+CD25hiCD127low Tregs, expanded",Expanded human Tregs after CRISPR,unavailable,Arrayed CRISPR with 3 gRNAs/TF; IL12 or no added IL12,IL12 10 ng/mL with IL2 600 IU/mL; controls IL2 alone,48 h after editing then 72 h cytokine; final 6 h PMA/ionomycin/brefeldin for arrayed flow,Intracellular flow cytometry; 3 gRNAs per TF; 2 donors,unavailable,"5 days after editing, plus final restimulation"
CCONTEXT_86d0ac9e81a6bda43f7c,Homo sapiens,unavailable,unavailable,unavailable,cell culture,unavailable,unavailable,unavailable,HeLa,unavailable,unavailable,unavailable,unavailable,unavailable,"stable minigene transfection, RT-PCR",unavailable,unavailable
CCONTEXT_906e379c9113839eea4b,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Negatively isolated CD4+CD45RO− naive T cells,naive human CD4 cells activated with CD3/CD28,unavailable,anti-CD3 beads with CD28 or IgG; A-FOS versus GFP electroporation,25 µg A-FOS or GFP per 3.5 million cells,2 h recovery then 5 h activation,RNA-seq,unavailable,5 h
CCONTEXT_97aac3c8a35d3acdc987,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Primary human CD4+ T cells polarized to iTregs,unavailable,unavailable,RBPJ and HDAC3 genetic perturbation,unavailable,unavailable,FOXP3 flow; co-IP; main wet-lab Methods unavailable,unavailable,unavailable
CCONTEXT_984ab36f271e88cf08c0,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,primary CD4+ T cell,"previously activated, transduced and selected",unavailable,same activated CD4 shRNA protocol as MG-A003,same protocol as MG-A003,final24-h collection without IL2/puromycin after transduction/selection,"concentrated culture-supernatant ELISA: MAB306 capture, BAF306 detection, IL7R-Fc standard",unavailable,collection endpoint
CCONTEXT_9dd7a8dc74780519a5f0,Homo sapiens,unavailable,26,female (target),subcutaneous melanoma deposit; donor TIL tissue unavailable,unavailable,unavailable,unavailable,1074mel target plus expanded human HLA-A2.1-restricted anti-melanoma CD8 T-cell effectors,unavailable,unavailable,unavailable,10 plaque-forming units per target cell; Fig5 E:T titration,"vaccinia 60–90 min, 51Cr loading 1 h, then coculture 6 h",6-hour 51Cr release,1074mel HLA-A2.1 positive,unavailable
CCONTEXT_9f0ab0f94c7106bb3226,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,"Sorted CD4+CD25hiCD127low Tregs, expanded",Expanded human Tregs after CRISPR,unavailable,Arrayed CRISPR with 3 gRNAs/TF; IL12 or no added IL12,10 ng/mL IL12 with600 IU/mL IL2,48 h after editing then72 h cytokine; final4.5 h PMA/ionomycin/brefeldin,Pooled CRISPR indel enrichment in IFNG-high/low fractions; supporting arrayed multi-gRNA comparison,unavailable,After72 h cytokine
CCONTEXT_9f77eb2ea313cf28716a,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,"primary PBMCs, B-cell-depleted and autologous-B-cell-reconstituted PBMCs",unavailable,unavailable,unavailable,unavailable,4-hour BrdU pulse on day4,BrdU incorporation assay,unavailable,unavailable
CCONTEXT_a02982f1707546e7e180,Homo sapiens,unavailable,unavailable,unavailable,cell culture,unavailable,unavailable,unavailable,HeLa,unavailable,unavailable,DDX_4; matched negative-control siRNA,50 nM,"siRNA days1,3,5; harvest day9 in rescue","western blot anti-DDX39B ab47955, hnRNPA1 loading control",unavailable,day9 post-seeding
CCONTEXT_a47c3379f88a601c811f,Homo sapiens,unavailable,unavailable,unavailable,cell culture,unavailable,unavailable,unavailable,HeLa,unavailable,unavailable,DDX_4 knockdown with inducible WT or D199A transgene,unavailable,"siRNA days1,3,5; harvest day9",western blot and exon5/exon7 RT-PCR,unavailable,day9
CCONTEXT_a7b0cc0ecf32c8f13448,Homo sapiens,unavailable,unavailable,unavailable,EBV-B-cell culture,unavailable,unavailable,unavailable,four HLA-C*06:02-homozygous EBV-transformed B-cell lines,unavailable,unavailable,unavailable,unavailable,unavailable,W6/32 pan-HLA purification; LC-MS/MS; computational HLA assignment,unavailable,unavailable
CCONTEXT_a8152c9d95f4bbe312fb,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,PI−CD4+CD25+CD127− sorted Tregs; expanded 7 days before editing,Expanded7 days; edited; living CD25− sorted4 days after editing,unavailable,IL2RA CRISPR versus mock/CD25-positive controls,unavailable,4 days after nucleofection and sorting,Intracellular FOXP3 flow cytometry,CRISPR IL2RA indels; sorted CD25-negative,4 days post-edit
CCONTEXT_a86a664361b572e9eafa,nonhuman primate COS target (species unavailable in article); Homo sapiens recipient,unavailable,unavailable,unavailable,COS culture; human peripheral blood,unavailable,unavailable,unavailable,transfected COS cells plus patient-2 human CTL clone,unavailable,unavailable,unavailable,unavailable,"Methods: COS transfection 48 h, then CTL 6 h; Fig5b legend differs (48 h/18 h); unresolved",TNF-sensitive WEHI164 cytotoxicity bioassay of supernatant,unavailable,unavailable
CCONTEXT_aabbb446ca0be5bbfc89,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,primary CD4+ T cell,activated and expanded primary CD4 cells,unavailable,"CD3/CD28, pooled CRISPRi",bead:cell1:1; pooled guide MOI<0.3; IL2 15 ng/mL,fresh screen harvested10 days after transduction; second run reused cryopreserved cells then3-day recovery per sequencing Methods,10X scRNA-seq; targeted region defined by source PHF19 enhancer label,unavailable,screen endpoint; see protocol discrepancy note
CCONTEXT_adf9bb00e29a5d71d5c7,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Purified human CD4+ cells; FOXP3 protein readout gated CD4+CD25+,Unstimulated CD4 cells after siRNA transfection,unavailable,STAT5 siRNA; no further stimulation for RNA study,2 nmol siRNA cocktail per 2×10^5 cells/10 µL,72 h,Intracellular flow cytometry,Experimentally depleted STAT5B or STAT5A; germline background unavailable,72 h
CCONTEXT_ae7215f1dc8689d6ec76,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood-derived cell culture,healthy donor,unavailable,unavailable,primary monocyte-derived inflammatory macrophage,TPP inflammatory differentiation,unavailable,GM-CSF-supported differentiation followed by TNF/PGE2/Pam3CSK4,GM-CSF50 ng/mL;TNF50 ng/mL;PGE2 1 microgram/mL;Pam3CSK4 1 microgram/mL;RNP into5 million monocytes in100 microlitre buffer,3 days GM-CSF then3 days GM-CSF+TPP,Green Zymosan flow cytometry;index=positive fraction times positive-cell MFI;100000 cells/well;cytochalasinD10 microgram/mL negative control,unavailable,after TPP differentiation; exact zymosan incubation duration unavailable
CCONTEXT_bc3ce738a1a10262b7c7,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Purified human CD4+ cells; FOXP3 protein readout gated CD4+CD25+,Unstimulated CD4 cells after siRNA transfection,unavailable,STAT5 siRNA; no further stimulation for RNA study,2 nmol siRNA cocktail per 2×10^5 cells/10 µL,24–72 h,Quantitative RT-PCR,Experimentally depleted STAT5B or STAT5A; germline background unavailable,24 and 72 h
CCONTEXT_c3d43c98ab78f0ca5b57,Homo sapiens target; Mus musculus recipient,unavailable,unavailable,unavailable,melanoma cell culture,unavailable,unavailable,unavailable,WM793 and WM278 melanoma clones; mouse T-hybridoma expressing human Vα3S1/Vβ13S1 TCR,unavailable,unavailable,unavailable,100 ng reconstitution plasmid,"24 h transfection, then 24 h coculture",NFAT-sGFP positive hybridoma fraction,unavailable,unavailable
CCONTEXT_c3ece7edeaa10c31f2a4,Homo sapiens,unavailable,unavailable,unavailable,blood buffy coat origin,unavailable,unavailable,unavailable,primary-human-monocyte-derived cultured dendritic cells,unavailable,unavailable,unavailable,10 ng/mL,24 h maturation protocol,anti-CIITA-C immunoprecipitation; anti-CIITA-N immunoblot,unavailable,unavailable
CCONTEXT_c4778f6932cdeaf51c18,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Negatively isolated CD4+CD45RO− naive T cells,naive; CD3 stimulation with or without CD28,unavailable,anti-CD3 beads with CD28 or IgG; A-FOS versus GFP electroporation,Bead coating: 24 ng anti-CD3 and 52 ng anti-CD28 or mouse IgG per 100 µL beads,5 h primary chromatin comparison; FigS5A nuclear-blot sampling points not transcribed,NFAT1 ChIP-seq with spike-in normalization,unavailable,5 h for ATAC; nuclear-blot time labels unavailable
CCONTEXT_c73759654c92dede5234,Homo sapiens,YRI/ESN (25); IBS (27),unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,lymphoblastoid cell line,unavailable,unavailable,unavailable,unavailable,unavailable,western blot; hnRNPA1 normalization; PTBP1 normalization gave similar result; lysates harvested twice and each blotted twice,unavailable,unavailable
CCONTEXT_c78025fb90561f07a313,Homo sapiens,unavailable,unavailable,unavailable,cell culture,unavailable,unavailable,unavailable,HeLa,unavailable,unavailable,unavailable,25 ng UTR-Renilla reporter +10 ng Firefly control per24-well,24 h,"dual-luciferase and RT-qPCR, Renilla/Firefly normalization then activity/RNA",unavailable,24 h post-transfection
CCONTEXT_c8701241cb4096229653,Homo sapiens,unavailable,unavailable,unavailable,subcutaneous melanoma deposits; lymph node,unavailable,unavailable,unavailable,patient-derived melanoma cultures,unavailable,unavailable,unavailable,unavailable,unavailable,W6/32 flow cytometry,unavailable,unavailable
CCONTEXT_c9c5a630bc988edd9b51,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,FACS-sorted CD4+CD25bright or CD4+CD25− T cells (>95% purity),Freshly sorted healthy-donor CD25bright T cells,unavailable,Recombinant human IL2,100 U/mL,6 h,Quantitative RT-PCR normalized to TFRC,unavailable,6 h
CCONTEXT_ce9757cf1d02c30dec3a,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,"primary PBMCs, B-cell-depleted and autologous-B-cell-reconstituted PBMCs",unavailable,unavailable,unavailable,unavailable,pulse day4 overnight; harvest day5,3H-thymidine incorporation,unavailable,unavailable
CCONTEXT_d02cfed905ca36cf947b,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Sorted Tregs; activated 48 h before editing for scRNA-seq,Tregs activated48 h before electroporation,unavailable,Selected TF knockout and IL12 condition; PMA/ionomycin restimulation,IL12 condition versus control as study protocol; exact scRNA culture dose/timing not repeated in scRNA Methods,48 h activation before editing; final6 h PMA/ionomycin in IL2 300 IU/mL; intervening scRNA culture duration unavailable,10x scRNA-seq; genotype-based demultiplexing,unavailable,After CRISPR/cytokine culture and 6 h restimulation
CCONTEXT_d871c9f32a062a95f609,Homo sapiens,unavailable,30,female,peripheral blood,unavailable,unavailable,unavailable,HA-L EBV-transformed B-cell target; autologous expanded CD8 alpha-beta T cells,unavailable,unavailable,unavailable,unavailable,unavailable,chromium-release cytotoxicity,HA-L HLA-A*03011/B*07021/Cw*0702; TAP2 deficient,unavailable
CCONTEXT_de1e9f46ec706cba9cdf,Homo sapiens,unavailable,unavailable,unavailable,MEL9 tumor and peripheral blood; Jurkat culture,unavailable,unavailable,unavailable,BCL6/BCL-xL/CD40L-immortalized autologous human B cells; engineered human Jurkat reporter,unavailable,unavailable,unavailable,three B2M gRNAs as RNPs; IL21 50 ng/mL during B-cell expansion,20–24 h coculture at 1:1 reporter/APC,CD69 flow cytometry; two biological replicates,unavailable,unavailable
CCONTEXT_dedfc89a546fe206411f,Homo sapiens,"European, from explicitly reused Fairfax cohort",unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,LPS,20 ng/mL,24 h,microarray + ELISA; Spearman correlation,unavailable,24 h
CCONTEXT_e89cf925e61d0b7c45c9,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Negatively isolated CD4+CD45RO− naive T cells,naive; CD3 stimulation with or without CD28,unavailable,anti-CD3 beads with CD28 or IgG; A-FOS versus GFP electroporation,Bead coating: 24 ng anti-CD3 and 52 ng anti-CD28 or mouse IgG per 100 µL beads,5 h primary chromatin comparison; FigS5A nuclear-blot sampling points not transcribed,RNA-seq; supporting ATAC/ChIP tracks,unavailable,5 h for ATAC; nuclear-blot time labels unavailable
CCONTEXT_e9e9e39c2728d97cdb67,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,HA-L EBV-transformed B-cell target; autologous expanded CD8 alpha-beta T cells,unavailable,unavailable,unavailable,unavailable,unavailable,W6/32 flow cytometry,HA-L TAP2 deficient,unavailable
CCONTEXT_eae05a66a2f41c5d101c,Homo sapiens,unavailable,unavailable,unavailable,cell-free biochemical reaction,unavailable,unavailable,unavailable,purified recombinant human ERAP1 and synthetic ADAMTSL5 peptide,unavailable,unavailable,unavailable,20 nM peptide; 2 micrograms ERAP1 as reported,"37°C, up to 2 h",reversed-phase HPLC,unavailable,unavailable
CCONTEXT_eb19537210b8f31cc8fc,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,"Sorted CD4+CD25hiCD127low Tregs (>97% purity), expanded",Expanded Tregs in pooled RNP experiment with controls,unavailable,Pooled CRISPR RNP screen; cytokine treatments,10 ng/mL IL12 plus600 IU/mL IL2 versus IL2 alone,72 h cytokine after48 h post-edit recovery; final4.5 h PMA/ionomycin/brefeldin,Intracellular flow/FACS,unavailable,After72 h cytokine
CCONTEXT_ebcfc1af6faaba62e98d,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,relapsing-remitting MS and healthy controls,unavailable,unavailable,whole-blood/PBMC mixed preparation,unavailable,unavailable,unavailable,unavailable,unavailable,GAPDH-normalized RT-qPCR; technical triplicates,"CC32, AC31, AA23",unavailable
CCONTEXT_f0262be816fc4cc41f75,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Unfractionated PBMCs; CD4+ and CD8+ gates,Normal-donor unfractionated PBMCs; CD4/CD8 flow gates,unavailable,Anti-CD3 in PBMC cultures at3×10^6 cells/mL,"Soluble anti-CD3 OKT3 1:800,000 dilution",24 h,FOXP3 intracellular/nuclear flow; FACSCalibur,unavailable,24 h
CCONTEXT_f53d9eacfea44b239d69,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,PBMC,unavailable,unavailable,unavailable,unavailable,unavailable,TaqMan qPCR Hs00904814_m1; control junction assays Hs00233682_m1 and Hs00902338_g1,unavailable,unavailable
