cohort_id,source_id,lane,payload
MGCO01,MG01,genetic,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""HeLa"",""cohort_id"":""MGCO01"",""dataset_id"":""MGDS01"",""disease"":""unavailable"",""donor_count"":""unavailable"",""independence_status"":""unresolved"",""intervention"":""DDX39B siRNA depletion/rescue or allele-specific reporters"",""lane"":""genetic"",""notes"":""Reuses experiments in original GCO05; reporter, knockdown and rescue protocols are distinct experiments, not paired donor samples."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":""cell line"",""related_original_cohort_id"":""GCO05"",""related_publications"":[""MG01""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG01"",""tissue"":""cell culture""}"
MGCO02,MG01,genetic,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""primary CD4+ T cell"",""cohort_id"":""MGCO02"",""dataset_id"":""MGDS02"",""disease"":""healthy"",""donor_count"":6,""independence_status"":""unresolved"",""intervention"":""anti-CD3/CD28 activation; DDX39B sh3 or sh5"",""lane"":""genetic"",""notes"":""Same donor panel as GCO06. Supernatant and cell harvest linked by donor/shRNA protocol, individual wells for RNA/protein not explicitly paired. No TT donors."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":6,""related_original_cohort_id"":""GCO06"",""related_publications"":[""MG01""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG01"",""tissue"":""peripheral blood""}"
MGCO03,MG01,genetic,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""whole-blood/PBMC mixed preparation"",""cohort_id"":""MGCO03"",""dataset_id"":""MGDS03"",""disease"":""relapsing-remitting MS and healthy controls"",""donor_count"":86,""independence_status"":""unresolved"",""intervention"":""genotype-stratified RNA measurement"",""lane"":""genetic"",""notes"":""Fig3B labeled PBMC but Methods state MURDOCK-MS RNA isolated from whole blood PAXgene and additional Duke samples from PBMC/Trizol. Exact preparation per individual unavailable."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":86,""related_original_cohort_id"":""GCO08"",""related_publications"":[""MG01""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG01"",""tissue"":""peripheral blood""}"
MGCO04,MG02,genetic,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""HeLa"",""cohort_id"":""MGCO04"",""dataset_id"":""MGDS04"",""disease"":""unavailable"",""donor_count"":""unavailable"",""independence_status"":""unresolved"",""intervention"":""stable IL7R C/T minigene transfection; triplicates"",""lane"":""genetic"",""notes"":""Rat DT3/AT3 in same figure explicitly excluded; stable assay endpoint duration unavailable. 48 h timing applies only transient mutation Fig2c arm."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":""cell line"",""related_publications"":[""MG02""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG02"",""tissue"":""cell culture""}"
MGCO05,MG02,genetic,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""PBMC"",""cohort_id"":""MGCO05"",""dataset_id"":""MGDS05"",""disease"":""healthy"",""donor_count"":94,""independence_status"":""unresolved"",""intervention"":""genotype-stratified IL7R exon-junction qPCR"",""lane"":""genetic"",""notes"":""Healthy-control molecular panel; relationship to 2007 disease cohorts unavailable; repeated amplicons are not independent biological samples."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":94,""related_publications"":[""MG02""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG02"",""tissue"":""peripheral blood""}"
MGCO06,MG03,genetic,"{""accession"":""unavailable"",""ancestry"":""European, from explicitly reused Fairfax cohort"",""cell_type"":""CD14+ monocyte"",""cohort_id"":""MGCO06"",""dataset_id"":""MGDS06"",""disease"":""healthy"",""donor_count"":161,""independence_status"":""unresolved"",""intervention"":""LPS 20 ng/mL 24 h; microarray and supernatant ELISA"",""lane"":""genetic"",""notes"":""Random subset of previous Fairfax2014 monocyte eQTL samples; RNA used from pre-existing data on these samples. Same biological data as GCO16/GCO01; exact IDs unavailable."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""GCO01"",""participants"":161,""related_original_cohort_id"":""GCO16"",""related_publications"":[""MG03"",""G10"",""G01""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG03"",""tissue"":""peripheral blood""}"
MGCO07,MG04,genetic,"{""accession"":""E-MTAB-13324"",""ancestry"":""unavailable"",""cell_type"":""primary CD4+ T cell"",""cohort_id"":""MGCO07"",""dataset_id"":""MGDS07"",""disease"":""unavailable"",""donor_count"":4,""independence_status"":""unresolved"",""intervention"":""CD81 TSS-directed CRISPRi; flow time course"",""lane"":""genetic"",""notes"":""Four donors explicit for flow Fig1C. Fig1D transcript readout linked by protocol; donor membership/overlap not explicit. Avoid asserting all RNA profiles represent four independent donors."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":4,""related_publications"":[""MG04""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG04"",""tissue"":""peripheral blood""}"
MGCO08,MG04,genetic,"{""accession"":""E-MTAB-13324"",""ancestry"":""unavailable"",""cell_type"":""primary CD4+ T cell"",""cohort_id"":""MGCO08"",""dataset_id"":""MGDS08"",""disease"":""unavailable"",""donor_count"":""unavailable"",""independence_status"":""unresolved"",""intervention"":""pooled regulatory-element CRISPRi and scRNA-seq"",""lane"":""genetic"",""notes"":""250195 retained cells are not donors. Two technical scRNA runs (fresh and cryopreserved) share original experiment; donor count unavailable in inspected text. MOI <0.3. Overlapping external GWAS/eQTL cohorts not adjudicated."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":""unavailable"",""related_publications"":[""MG04""],""sample_count"":250195,""species"":""Homo sapiens"",""study_id"":""MG04"",""tissue"":""peripheral blood""}"
MGCO09,MG04,genetic,"{""accession"":""E-MTAB-13324"",""ancestry"":""unavailable"",""cell_type"":""primary CD4+ T cell"",""cohort_id"":""MGCO09"",""dataset_id"":""MGDS09"",""disease"":""unavailable"",""donor_count"":2,""independence_status"":""unresolved"",""intervention"":""KCNN4 enhancer CRISPR deletion then bulk RNA-seq"",""lane"":""genetic"",""notes"":""Two independent donors explicit within deletion validation. Relationship to pooled screen donors unavailable."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":2,""related_publications"":[""MG04""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG04"",""tissue"":""peripheral blood""}"
MGCO10,MG01,genetic,"{""accession"":""unavailable"",""ancestry"":""YRI/ESN (25); IBS (27)"",""cell_type"":""lymphoblastoid cell line"",""cohort_id"":""MGCO10"",""dataset_id"":""MGDS10"",""disease"":""unavailable"",""donor_count"":52,""independence_status"":""unresolved"",""intervention"":""rs2523506-stratified western blot and qPCR"",""lane"":""genetic"",""notes"":""25 YRI/ESN lines and 27 IBS lines; authors state newly assayed African lines distinct from historical Wu2013 panel. Reuses GCO07; not all blood/cell experiments same donors."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":52,""related_original_cohort_id"":""GCO07"",""related_publications"":[""MG01""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG01"",""tissue"":""peripheral blood""}"
MGCO11,MG04,genetic,"{""accession"":""E-MTAB-13324"",""ancestry"":""unavailable"",""cell_type"":""primary CD4+ T cell"",""cohort_id"":""MGCO11"",""dataset_id"":""MGDS11"",""disease"":""unavailable"",""donor_count"":""unavailable"",""independence_status"":""unresolved"",""intervention"":""CD81 TSS CRISPRi; Fig1D scRNA-seq RNA endpoint"",""lane"":""genetic"",""notes"":""Related to four-donor flow protocol MGCO07 but donor count and overlap unavailable for Fig1D RNA arm; kept separate to avoid importing four donors into RNA assertion."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":""unavailable"",""related_cohort_ids"":[""MGCO07""],""related_publications"":[""MG04""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG04"",""tissue"":""peripheral blood""}"
MGCO12,MG05,genetic,"{""accession"":""unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338"",""ancestry"":""unavailable"",""cell_type"":""primary monocyte-derived inflammatory macrophage"",""cohort_id"":""MGCO12"",""dataset_id"":""MGDS12"",""disease"":""healthy donor"",""donor_count"":4,""independence_status"":""unresolved"",""intervention"":""chr21q22 enhancer deletion; ETS2 PrimeFlow RNA; 3 days GM-CSF50 ng/mL then3 days GM-CSF +TNF50 ng/mL +PGE2 1 microgram/mL +Pam3CSK4 1 microgram/mL"",""lane"":""genetic"",""notes"":""CD14 MicroBead-positive monocytes from PBMC isolated by Histopaque density centrifugation of healthy-donor NHS leukocyte cones; Cas9-RNP nucleofection before TPP macrophage differentiation. Each figure panel donor count retained separately; overlap between panels unavailable, not four independent cohorts."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":4,""related_publications"":[""MG05""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG05"",""tissue"":""peripheral blood-derived cell culture""}"
MGCO13,MG05,genetic,"{""accession"":""unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338"",""ancestry"":""unavailable"",""cell_type"":""primary monocyte-derived inflammatory macrophage"",""cohort_id"":""MGCO13"",""dataset_id"":""MGDS13"",""disease"":""healthy donor"",""donor_count"":8,""independence_status"":""unresolved"",""intervention"":""ETS2 coding-exon disruption; supernatant IL6; 3 days GM-CSF50 ng/mL then3 days GM-CSF +TNF50 ng/mL +PGE2 1 microgram/mL +Pam3CSK4 1 microgram/mL"",""lane"":""genetic"",""notes"":""CD14 MicroBead-positive monocytes from PBMC isolated by Histopaque density centrifugation of healthy-donor NHS leukocyte cones; Cas9-RNP nucleofection before TPP macrophage differentiation. Each figure panel donor count retained separately; overlap between panels unavailable, not four independent cohorts."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":8,""related_publications"":[""MG05""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG05"",""tissue"":""peripheral blood-derived cell culture""}"
MGCO14,MG05,genetic,"{""accession"":""unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338"",""ancestry"":""unavailable"",""cell_type"":""primary monocyte-derived inflammatory macrophage"",""cohort_id"":""MGCO14"",""dataset_id"":""MGDS14"",""disease"":""healthy donor"",""donor_count"":7,""independence_status"":""unresolved"",""intervention"":""ETS2 coding-exon disruption; phagocytosis; 3 days GM-CSF50 ng/mL then3 days GM-CSF +TNF50 ng/mL +PGE2 1 microgram/mL +Pam3CSK4 1 microgram/mL"",""lane"":""genetic"",""notes"":""CD14 MicroBead-positive monocytes from PBMC isolated by Histopaque density centrifugation of healthy-donor NHS leukocyte cones; Cas9-RNP nucleofection before TPP macrophage differentiation. Each figure panel donor count retained separately; overlap between panels unavailable, not four independent cohorts."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":7,""related_publications"":[""MG05""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG05"",""tissue"":""peripheral blood-derived cell culture""}"
MGCO15,MG05,genetic,"{""accession"":""unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338"",""ancestry"":""unavailable"",""cell_type"":""primary monocyte-derived inflammatory macrophage"",""cohort_id"":""MGCO15"",""dataset_id"":""MGDS15"",""disease"":""healthy donor"",""donor_count"":7,""independence_status"":""unresolved"",""intervention"":""chr21q22 enhancer deletion; phagocytosis; 3 days GM-CSF50 ng/mL then3 days GM-CSF +TNF50 ng/mL +PGE2 1 microgram/mL +Pam3CSK4 1 microgram/mL"",""lane"":""genetic"",""notes"":""CD14 MicroBead-positive monocytes from PBMC isolated by Histopaque density centrifugation of healthy-donor NHS leukocyte cones; Cas9-RNP nucleofection before TPP macrophage differentiation. Each figure panel donor count retained separately; overlap between panels unavailable, not four independent cohorts."",""pack_path"":""research/mechanisms_genetic/pack.json"",""parent_cohort"":""unavailable"",""participants"":7,""related_publications"":[""MG05""],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MG05"",""tissue"":""peripheral blood-derived cell culture""}"
MP_C001,MP_S001,antigen,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""patient-derived melanoma cultures"",""cohort_id"":""MP_C001"",""dataset_id"":""MP_C001"",""disease"":""unavailable"",""donor_count"":5,""independence_status"":""unresolved"",""intervention"":""B2M-expressing recombinant vaccinia versus control"",""lane"":""antigen"",""notes"":""Four selected lines from 13 successfully established cultures among 40 consecutively sampled patients; 1074mel separately derived outside that 40-person cohort. No prevalence inference from five selected deficient lines."",""pack_path"":""research/mechanisms_antigen/pack.json"",""parent_cohort"":""unavailable"",""participants"":""five melanoma patients"",""related_publications"":[""MP_S001""],""sample_count"":""five selected deficient lines from five patients"",""species"":""Homo sapiens"",""study_id"":""MP_S001"",""tissue"":""subcutaneous melanoma deposits; lymph node""}"
MP_C002,MP_S001,antigen,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""1074mel target plus expanded human HLA-A2.1-restricted anti-melanoma CD8 T-cell effectors"",""cohort_id"":""MP_C002"",""dataset_id"":""MP_C002"",""disease"":""unavailable"",""donor_count"":""unavailable"",""independence_status"":""unresolved"",""intervention"":""B2M replacement"",""lane"":""antigen"",""notes"":""Target is a nonimmune tumor culture. Human effectors are not autologous: article explicitly lacked autologous TILs for these tumors. Effector expansion IL-2 6000 U/mL for 30–70 days."",""pack_path"":""research/mechanisms_antigen/pack.json"",""parent_cohort"":""MP_C001"",""participants"":""target patient 1074, age 26, female; effector donor(s) unavailable"",""related_publications"":[""MP_S001""],""sample_count"":""one target line; effector sample count unavailable"",""species"":""Homo sapiens"",""study_id"":""MP_S001"",""tissue"":""subcutaneous melanoma deposit; donor TIL tissue unavailable""}"
MP_C003,MP_S001,antigen,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""human melanoma or H82 target; BALB/c vaccinia-specific CD8 T-cell recipient"",""cohort_id"":""MP_C003"",""dataset_id"":""MP_C003"",""disease"":""unavailable"",""donor_count"":""unavailable"",""independence_status"":""unresolved"",""intervention"":""unavailable"",""lane"":""antigen"",""notes"":""Cross-species assay uses mouse H-2Kd expressed in human targets and murine CTLs. Not human-recipient evidence."",""pack_path"":""research/mechanisms_antigen/pack.json"",""parent_cohort"":""unavailable"",""participants"":""human lines plus female BALB/c mice age 6–8 weeks"",""related_publications"":[""MP_S001""],""sample_count"":""unavailable"",""species"":""Homo sapiens target; Mus musculus recipient"",""study_id"":""MP_S001"",""tissue"":""human metastatic tumors; mouse spleen""}"
MP_C004,MP_S002,antigen,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""TND-3 EBV-transformed B-cell target"",""cohort_id"":""MP_C004"",""dataset_id"":""MP_C004"",""disease"":""unavailable"",""donor_count"":1,""independence_status"":""unresolved"",""intervention"":""TAP1 versus TAP2 recombinant vaccinia"",""lane"":""antigen"",""notes"":""TND-3 is immortalized, not a primary B-cell preparation. Separate Italian patient-derived fibroblast BRE experiment is not transported to B cells."",""pack_path"":""research/mechanisms_antigen/pack.json"",""parent_cohort"":""unavailable"",""participants"":""patient 2; Japanese patient; controls include hemizygous sibling"",""related_publications"":[""MP_S002""],""sample_count"":""one patient-derived target line"",""species"":""Homo sapiens"",""study_id"":""MP_S002"",""tissue"":""peripheral blood origin""}"
MP_C005,MP_S003,antigen,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""HA-L EBV-transformed B-cell target; autologous expanded CD8 alpha-beta T cells"",""cohort_id"":""MP_C005"",""dataset_id"":""MP_C005"",""disease"":""unavailable"",""donor_count"":1,""independence_status"":""unresolved"",""intervention"":""TAP2 complementation or uncomplemented EBV-target recognition"",""lane"":""antigen"",""notes"":""The second patient-derived EBV-B line had excessive dead cells and was not used. Patient 2 supplies functional assays. HA-T is a family control, not an independent unrelated cohort."",""pack_path"":""research/mechanisms_antigen/pack.json"",""parent_cohort"":""unavailable"",""participants"":""patient 2, 30-year-old asymptomatic woman; HA-T heterozygous parent"",""related_publications"":[""MP_S003""],""sample_count"":""one usable patient EBV-B line and autologous CTL preparation"",""species"":""Homo sapiens"",""study_id"":""MP_S003"",""tissue"":""peripheral blood""}"
MP_C006,MP_S003,antigen,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""primary PBMCs"",""cohort_id"":""MP_C006"",""dataset_id"":""MP_C006"",""disease"":""unavailable"",""donor_count"":2,""independence_status"":""unresolved"",""intervention"":""unavailable"",""lane"":""antigen"",""notes"":""PBMC staining is distinct from EBV-B target/CTL assay; source labels HAL/HA-L denote patient 2 in the Methods. Geographic affiliation does not establish ancestry."",""pack_path"":""research/mechanisms_antigen/pack.json"",""parent_cohort"":""unavailable"",""participants"":""two siblings (46-year-old man; 30-year-old woman) and parents"",""related_publications"":[""MP_S003""],""sample_count"":""two patient PBMC preparations plus family controls"",""species"":""Homo sapiens"",""study_id"":""MP_S003"",""tissue"":""peripheral blood""}"
MP_C007,MP_S003,antigen,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""transfected COS cells plus patient-2 human CTL clone"",""cohort_id"":""MP_C007"",""dataset_id"":""MP_C007"",""disease"":""unavailable"",""donor_count"":""unavailable"",""independence_status"":""unresolved"",""intervention"":""unavailable"",""lane"":""antigen"",""notes"":""Antigen assignment experiment is not a human source-cell assay. Methods and Fig5 legend differ on CTL coculture and TNF assay timing; retain discrepancy, no harmonization."",""pack_path"":""research/mechanisms_antigen/pack.json"",""parent_cohort"":""MP_C005"",""participants"":""COS cells (nonhuman primate); human CTL from MP_C005"",""related_publications"":[""MP_S003""],""sample_count"":""unavailable"",""species"":""nonhuman primate COS target (species unavailable in article); Homo sapiens recipient"",""study_id"":""MP_S003"",""tissue"":""COS culture; human peripheral blood""}"
MP_C008,MP_S004,antigen,"{""accession"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""primary-human-monocyte-derived cultured dendritic cells"",""cohort_id"":""MP_C008"",""dataset_id"":""MP_C008"",""disease"":""unavailable"",""donor_count"":""unavailable"",""independence_status"":""unresolved"",""intervention"":""six-day GM-CSF/IL-4 differentiation; LPS 10 ng/mL maturation"",""lane"":""antigen"",""notes"":""Donor overlap between RNA, immunoblot, surface, and chromatin experiments unavailable. Experiment counts are not donor counts. Mouse knockout/DC experiments are not imported."",""pack_path"":""research/mechanisms_antigen/pack.json"",""parent_cohort"":""unavailable"",""participants"":""blood-transfusion buffy coat donors"",""related_publications"":[""MP_S004""],""sample_count"":""Fig1 flow two independent experiments; RNA three; no donor counts"",""species"":""Homo sapiens"",""study_id"":""MP_S004"",""tissue"":""blood buffy coat origin""}"
