author_count,caution,measure,observed_count,status,study_ID
31,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,31,match,GSE11348
88,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,88,match,GSE61754
22,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,22,match,GSE61754
108,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,108,match,GSE90732
21,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,21,match,GSE90732
78,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,78,match,GSE155237
40,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,40,match,GSE155237
386,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,386,match,GSE73072_H1N1_DEE4
19,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,19,match,GSE73072_H1N1_DEE4
477,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,477,match,GSE73072_H1N1_DEE3
24,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,24,match,GSE73072_H1N1_DEE3
355,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,355,match,GSE73072_H3N2_DEE2
17,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,17,match,GSE73072_H3N2_DEE2
482,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,482,match,GSE73072_H3N2_DEE5
21,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,21,match,GSE73072_H3N2_DEE5
471,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,471,match,GSE73072_HRV_DUKE
27,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,27,match,GSE73072_HRV_DUKE
295,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,295,match,GSE73072_HRV_UVA
20,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,20,match,GSE73072_HRV_UVA
420,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,420,match,GSE73072_RSV_DEE1
20,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,20,match,GSE73072_RSV_DEE1
96,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,96,match,GSE117580
35,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,35,match,GSE117580
705,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,705,match,GSE220682
203,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,,not_assessable_from_available_IDs,GSE220682
170,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,170,match,GSE228839
100,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,97,difference_requires_interpretation,GSE228839
305,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,305,match,GSE276544
43,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,43,match,GSE276544
188,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,188,match,GSE209985
32,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,32,match,GSE209985
50,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,50,match,GSE247401
17,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,17,match,GSE247401
100,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,100,match,GSE265975
29,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,29,match,GSE265975
384,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,384,match,GSE102012
50,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,50,match,GSE102012
371,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,371,match,GSE217770
53,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,53,match,GSE217770
60,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,60,match,GSE230494
39,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,39,match,GSE230494
140,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,140,match,GSE52005
38,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,38,match,GSE52005
671,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,671,match,GSE107990
172,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,172,match,GSE107990
193,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,193,match,GSE281864
17,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,,not_assessable_from_available_IDs,GSE281864
