antibody,antibody_link,canonical_source_accessions,data_citation,dataset_id,eligibility_reason,influenza_challenge_eligibility,meta_variable_list,metadata_link,num_cells,num_observations,num_observed_genes,num_subjects,"number_of_timepoints median(min, max)",observed_timepoints,participant_count_interpretation,pathogen,platform,platform_detail,raw_data,raw_data_flag_interpretation,resource_revision,source_paper_citation,source_snapshot,source_snapshot_sha256,study_ID,study_type,tissue,transcriptomic_data_link,vaccine
yes,https://doi.org/10.21430/M3GWQRC8DT,"[""GSE59654""]","Shaw, A.C., Mohanty, S., Joshi, S.R., et al. GEO. https://identifiers.org/geo/GSE59654 (2015)",HR:GSE59654,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;responder_original;vaccine;age_group;immport_expsamp_acc,https://doi.org/10.21430/M3GWQRC8DT,NA,156,19056,39,"4 (4, 4)","0.0, 2.0, 4.0, 7.0, 24.0, 28.0, 32.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Thakar J, Mohanty S, West AP, Joshi SR, et al. Aging-dependent alterations in gene expression and a mitochondrial signature of responsiveness to human influenza vaccination. Aging (Albany NY). 2015 Jan;7(1):38-52. PMID: 25596819.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE59654,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59654,Influenza TIV
yes,https://doi.org/10.21430/M3KVVHM735,"[""GSE101709""]","Shaw, A.C., Mohanty, S., Meng, H., et al. GEO. https://identifiers.org/geo/GSE101709 (2020)",HR:GSE101709,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;age_group;immport_expsamp_acc,https://doi.org/10.21430/M3KVVHM735,NA,98,20420,26,"4 (1, 4)","0.0, 2.0, 7.0, 28.0, 43.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Avey S, Mohanty S, Chawla DG, Meng H, et al. Seasonal Variability and Shared Molecular Signatures of Inactivated Influenza Vaccination in Young and Older Adults. J Immunol. 2020 Mar 15;204(6):1661-1673. PMID: 32060136.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE101709,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101709,Influenza TIV
yes,https://doi.org/10.21430/M38WXGBDTS,"[""GSE59635""]","Shaw, A.C., Mohanty, S., Joshi, S.R., et al. GEO. https://identifiers.org/geo/GSE59635 (2015)",HR:GSE59635,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;responder_original;vaccine;age_group;immport_expsamp_acc,https://doi.org/10.21430/M38WXGBDTS,NA,72,20525,19,"4 (3, 4)","0.0, 4.0, 7.0, 28.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Thakar J, Mohanty S, West AP, Joshi SR, et al. Aging-dependent alterations in gene expression and a mitochondrial signature of responsiveness to human influenza vaccination. Aging (Albany NY). 2015 Jan;7(1):38-52. PMID: 25596819.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE59635,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59635,Influenza TIV
yes,https://doi.org/10.21430/M3A6GYD5L0,"[""GSE101710""]","Shaw, A.C., Mohanty, S., Meng, H., et al. GEO. https://identifiers.org/geo/GSE101710 (2019)",HR:GSE101710,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;age_group;immport_expsamp_acc,https://doi.org/10.21430/M3A6GYD5L0,NA,79,20420,20,"4 (3, 4)","0.0, 2.0, 7.0, 25.0, 28.0, 37.0, 41.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Zapata HJ, Van Ness PH, Avey S, Siconolfi B, et al. Impact of Aging and HIV Infection on the Function of the C-Type Lectin Receptor MINCLE in Monocytes. J Gerontol A Biol Sci Med Sci. 2019 May 16;74(6):794-801. PMID: 30239628; Avey S, Mohanty S, Chawla DG, Meng H, et al. Seasonal Variability and Shared Molecular Signatures of Inactivated Influenza Vaccination in Young and Older Adults. J Immunol. 2020 Mar 15;204(6):1661-1673. PMID: 32060136.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE101710,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101710,Influenza TIV
yes,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47353,"[""GSE47353""]","Tsang, J.S., Schwartzberg, P.L., Kotliarov, Y., et al. GEO. https://identifiers.org/geo/GSE47353 (2014)",HR:GSE47353,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age;ethnicity,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47353,NA,292,22698,63,"5 (1, 5)","-7.0, 0.0, 1.0, 7.0, 70.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL6244; [HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Tsang JS, Schwartzberg PL, Kotliarov Y, Biancotto A, et al. Global analyses of human immune variation reveal baseline predictors of postvaccination responses. Cell. 2014 Apr 10;157(2):499-513. PMID: 24725414.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE47353,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47353,Influenza TIV
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC9651857/ (Supplementary S1),"[""GSE190001""]","Rinchai, D., Deola, S., Gentilcore, G., et al. GEO. https://identifiers.org/geo/GSE190001 (2022)",HR:GSE190001_PRIME,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;vaccine;vaccine_dose;sex;age;ethnicity;PreviousCOVID19;UnderlyingDisease;turbo_reatment;Medications;side_effect,https://pmc.ncbi.nlm.nih.gov/articles/PMC9651857/ (Supplementary S1),NA,213,40867,23,"10 (2, 11)","1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 14.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL30296; Illumina Hiseq 4000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Rinchai D, Deola S, Zoppoli G, Kabeer BSA, et al. High-temporal resolution profiling reveals distinct immune trajectories following the first and second doses of COVID-19 mRNA vaccines. Sci Adv. 2022 Nov 11;8(45):eabp9961. PMID: 36367935.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE190001_PRIME,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190001,Pfizer BioNTech/ Moderna
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC9651857/ (Supplementary S1),"[""GSE190001""]","Rinchai, D., Deola, S., Gentilcore, G., et al. GEO. https://identifiers.org/geo/GSE190001 (2022)",HR:GSE190001_BOOST,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;vaccine;vaccine_dose;sex;age;ethnicity;PreviousCOVID19;UnderlyingDisease;turbo_reatment;Medications;side_effect,https://pmc.ncbi.nlm.nih.gov/articles/PMC9651857/ (Supplementary S1),NA,226,40867,23,"10 (7, 11)","1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 14.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL30296; Illumina Hiseq 4000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Rinchai D, Deola S, Zoppoli G, Kabeer BSA, et al. High-temporal resolution profiling reveals distinct immune trajectories following the first and second doses of COVID-19 mRNA vaccines. Sci Adv. 2022 Nov 11;8(45):eabp9961. PMID: 36367935.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE190001_BOOST,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190001,Pfizer BioNTech/ Moderna
yes,https://doi.org/10.21430/M33MSDRJ55,"[""SDY311""]",ImmPort. https://doi.org/10.21430/M33MSDRJ55 (2017),HR:SDY311,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age;Expsample.Accession;ethnicity;race,https://doi.org/10.21430/M33MSDRJ55,NA,73,20538,63,"1 (1, 2)","0.0, 28.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL6947; Illumina HumanHT-12 V3.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Furman D, Chang J, Lartigue L, Bolen CR, et al. Expression of specific inflammasome gene modules stratifies older individuals into two extreme clinical and immunological states. Nat Med. 2017 Feb;23(2):174-184. PMID: 28092664; Blazkova J, Gupta S, Liu Y, Gaudilliere B, et al. Multicenter Systems Analysis of Human Blood Reveals Immature Neutrophils in Males and During Pregnancy. J Immunol. 2017 Mar 15;198(6):2479-2488. PMID: 28179497; Alpert A, Pickman Y, Leipold M, Rosenberg-Hasson Y, et al. A clinically meaningful metric of immune age derived from high-dimensional longitudinal monitoring. Nat Med. 2019 Mar;25(3):487-495. PMID: 30842675; Tomic A, Tomic I, Dekker CL, Maecker HT, Davis MM. The FluPRINT dataset, a multidimensional analysis of the influenza vaccine imprint on the immune system. Sci Data. 2019 Oct 21;6(1):214. PMID: 31636302.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,SDY311,vaccine,whole blood,https://www.immport.org/shared/study/SDY311,Influenza TIV
yes,https://doi.org/10.21430/M320H8XYFG,"[""SDY112""]",ImmPort. https://doi.org/10.21430/M320H8XYFG (2017),HR:SDY112,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age;ethnicity;race,https://doi.org/10.21430/M320H8XYFG,NA,89,18549,89,"1 (1, 1)",0,Within-study author count; not independent subjects across studies.,influenza,microarray,GPL6947; Illumina HumanHT-12 V3.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Furman D, Chang J, Lartigue L, Bolen CR, et al. Expression of specific inflammasome gene modules stratifies older individuals into two extreme clinical and immunological states. Nat Med. 2017 Feb;23(2):174-184. PMID: 28092664; Blazkova J, Gupta S, Liu Y, Gaudilliere B, et al. Multicenter Systems Analysis of Human Blood Reveals Immature Neutrophils in Males and During Pregnancy. J Immunol. 2017 Mar 15;198(6):2479-2488. PMID: 28179497; Alpert A, Pickman Y, Leipold M, Rosenberg-Hasson Y, et al. A clinically meaningful metric of immune age derived from high-dimensional longitudinal monitoring. Nat Med. 2019 Mar;25(3):487-495. PMID: 30842675; Tomic A, Tomic I, Dekker CL, Maecker HT, Davis MM. The FluPRINT dataset, a multidimensional analysis of the influenza vaccine imprint on the immune system. Sci Data. 2019 Oct 21;6(1):214. PMID: 31636302.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,SDY112,vaccine,whole blood,https://www.immport.org/shared/study/SDY112,Influenza TIV
yes,https://doi.org/10.21430/M3CJT3NCT2,"[""SDY315""]",ImmPort. https://doi.org/10.21430/M3CJT3NCT2 (2017),HR:SDY315,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age;ethnicity;race,https://doi.org/10.21430/M3CJT3NCT2,NA,71,18549,71,"1 (1, 1)",0,Within-study author count; not independent subjects across studies.,influenza,microarray,GPL6947; Illumina HumanHT-12 V3.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Furman D, Chang J, Lartigue L, Bolen CR, et al. Expression of specific inflammasome gene modules stratifies older individuals into two extreme clinical and immunological states. Nat Med. 2017 Feb;23(2):174-184. PMID: 28092664; Blazkova J, Gupta S, Liu Y, Gaudilliere B, et al. Multicenter Systems Analysis of Human Blood Reveals Immature Neutrophils in Males and During Pregnancy. J Immunol. 2017 Mar 15;198(6):2479-2488. PMID: 28179497; Alpert A, Pickman Y, Leipold M, Rosenberg-Hasson Y, et al. A clinically meaningful metric of immune age derived from high-dimensional longitudinal monitoring. Nat Med. 2019 Mar;25(3):487-495. PMID: 30842675; Tomic A, Tomic I, Dekker CL, Maecker HT, Davis MM. The FluPRINT dataset, a multidimensional analysis of the influenza vaccine imprint on the immune system. Sci Data. 2019 Oct 21;6(1):214. PMID: 31636302.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,SDY315,vaccine,whole blood,https://www.immport.org/shared/study/SDY315,Influenza TIV
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC9697051/ (Table S1),"[""GSE207750""]","Gresham, D., Forst, C., Hockman, M., et al. GEO. https://identifiers.org/geo/GSE207750 (2022)",HR:GSE207750,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;MFC;responder;study_group;vaccine;sex;age;race_ethnicity;BMI;Vaccinated.in.prior.3.seasons;Height_cm;Weight_kg;Current.smoker;Prior.smoker;Sleep.apnea,https://pmc.ncbi.nlm.nih.gov/articles/PMC9697051/ (Table S1),NA,271,24655,271,"1 (1, 1)",0,Within-study author count; not independent subjects across studies.,influenza,RNA-seq,GPL24676; llumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Forst CV, Chung M, Hockman M, Lashua L, et al. Vaccination History, Body Mass Index, Age, and Baseline Gene Expression Predict Influenza Vaccination Outcomes. Viruses. 2022 Nov 4;14(11):2446. PMID: 36366544; Hockman M, Matthews J, Carlock MA, Ross TM, et al. Obese individuals exhibit distinct temporal gene expression dynamics in response to influenza vaccination. Microbiol Spectr. 2025 Aug 5;13(8):e0335424. PMID: 40548708.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE207750,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207750,Influenza TIV
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC10792461/ (Table S3),"[""GSE246525""]","Odak, I., Riemann, L., Sandrock, I., et al. GEO. https://identifiers.org/geo/GSE246525 (2024)",HR:GSE246525,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;responder_original;vaccine;sex,https://pmc.ncbi.nlm.nih.gov/articles/PMC10792461/ (Table S3),NA,38,29426,10,"4 (3, 4)","0.0, 1.0, 2.0, 14.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL28038; DNBSEQ-G400 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Odak I, Riemann L, Sandrock I, Cossmann A, et al. Systems biology analysis reveals distinct molecular signatures associated with immune responsiveness to the BNT162b COVID-19 vaccine. EBioMedicine. 2024 Jan;99:104947. PMID: 38160529.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE246525,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246525,BNT162b2
yes,https://data.mendeley.com/datasets/j7pbc5ytgd/1 (Supplementary Data 2. Antibody.xlsx),"[""GSE201533""]","Lee, H. GEO. https://identifiers.org/geo/GSE201533 (2022)",HR:GSE201533,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;title;timepoint;vaccine_dose;sex;age;BMI,https://data.mendeley.com/datasets/j7pbc5ytgd/1 (Supplementary Data 1. individuals.xlsx),NA,161,24580,43,"3 (2, 6)","0.0, 1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0, 10.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Lee HK, Go J, Sung H, Kim SW, et al. Heterologous ChAdOx1-BNT162b2 vaccination in Korean cohort induces robust immune and antibody responses that includes Omicron. iScience. 2022 Jun 17;25(6):104473. PMID: 35637788; Lee HK, Hoechstetter MA, Buchner M, Pham TT, et al. Analysis of immune responses in patients with CLL after heterologous COVID-19 vaccination. Blood Adv. 2023 May 23;7(10):2214-2227. PMID: 36630562; Lee HK, Cho G, Huh JW, Furth PA, et al. Rare germline JAK/STAT variants in a Korean cohort amplify innate immune responses to vaccination. iScience. 2025 Dec 19;28(12):114110. PMID: 41467183.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE201533,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201533,ChAdOx1/BNT162b2
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC8947943/ (Table S2),"[""GSE190747""]","Lee, H.K., Knabl, L. GEO. https://identifiers.org/geo/GSE190747 (2022)",HR:GSE190747,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age;BMI;UnderlyingDisease;side_effect,https://pmc.ncbi.nlm.nih.gov/articles/PMC8947943/ (Table S1),NA,115,24580,30,"3 (2, 5)","0.0, 1.0, 7.0, 10.0, 11.0, 34.0, 35.0, 40.0, 41.0, 48.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Lee HK, Knabl L, Moliva JI, Knabl L Sr, et al. mRNA vaccination in octogenarians 15 and 20 months after recovery from COVID-19 elicits robust immune and antibody responses that include Omicron. Cell Rep. 2022 Apr 12;39(2):110680. PMID: 35395191; Lee HK, Knabl L, Walter M, Knabl L Sr, et al. Prior Vaccination Exceeds Prior Infection in Eliciting Innate and Humoral Immune Responses in Omicron Infected Outpatients. Front Immunol. 2022;13:916686. PMID: 35784346; Hennighausen L, Cho G, Lee SG, Caf Y, et al. Impact of rare JAK/STAT germline mutations on vaccination-induced innate immune responses in a Tyrolian population. Int J Biol Sci. 2026;22(2):519-528. PMID: 41522351.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE190747,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190747,BNT162b2
yes,https://bitbucket.org/lynnlab/covirs/src/master/,"[""GSE199750""]","Ryan, F.J., Lynn, D.J. GEO. https://identifiers.org/geo/GSE199750 (2023)",HR:GSE199750,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint_group;MFC;responder;vaccine;sex;age,https://bitbucket.org/lynnlab/covirs/src/master/,NA,260,40952,86,"3 (1, 4)","V0, V1, V2A, V3A",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL28038; DNBSEQ-G400 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Ryan FJ, Norton TS, McCafferty C, Blake SJ, et al. A systems immunology study comparing innate and adaptive immune responses in adults to COVID-19 mRNA and adenovirus vectored vaccines. Cell Rep Med. 2023 Mar 21;4(3):100971. PMID: 36871558.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE199750,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199750,ChAdOx1/BNT162b2
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC8761119/ (Source Data Fig. 1),"[""GSE169159""]","Scott, M.K., Arunachalam, P.S., Hagan, T. GEO. https://identifiers.org/geo/GSE169159 (2021)",HR:GSE169159,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;title;timepoint;MFC;responder;vaccine;vaccine_dose;sex;age,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169159,NA,185,23625,32,"6 (4, 7)","0.0, 1.0, 2.0, 7.0, 21.0, 22.0, 23.0, 28.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL15520; Illumina MiSeq (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Arunachalam PS, Scott MKD, Hagan T, Li C, et al. Systems vaccinology of the BNT162b2 mRNA vaccine in humans. Nature. 2021 Aug;596(7872):410-416. PMID: 34252919.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE169159,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169159,BNT162b2
yes,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29614,"[""GSE29614""]","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE29614 (2011)",HR:GSE29614,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29614,NA,27,19498,9,"3 (3, 3)","0.0, 3.0, 7.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL570; [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Nakaya HI, Wrammert J, Lee EK, Racioppi L, et al. Systems biology of vaccination for seasonal influenza in humans. Nat Immunol. 2011 Jul 10;12(8):786-95. PMID: 21743478.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE29614,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29614,Influenza TIV
yes,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29615,"[""GSE29615""]","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE29615 (2011)",HR:GSE29615,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29615,NA,83,18319,28,"3 (2, 3)","0.0, 3.0, 7.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL570; [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Nakaya HI, Wrammert J, Lee EK, Racioppi L, et al. Systems biology of vaccination for seasonal influenza in humans. Nat Immunol. 2011 Jul 10;12(8):786-95. PMID: 21743478.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE29615,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29615,Influenza LAIV
yes,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29617,"[""GSE29617""]","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE29617 (2011)",HR:GSE29617,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29617,NA,80,18319,28,"3 (2, 3)","0.0, 3.0, 7.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL570; [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Nakaya HI, Wrammert J, Lee EK, Racioppi L, et al. Systems biology of vaccination for seasonal influenza in humans. Nat Immunol. 2011 Jul 10;12(8):786-95. PMID: 21743478.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE29617,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29617,Influenza TIV
