data_inventory_status,explicit_cohort_accessions,interpretation,local_snapshot_available,source_id,source_key,source_type,source_url,title,unverified_snapshot_accession_mentions
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R014,preserved_baseline_0.2.0:R014,resource,https://www.proteinatlas.org/,Human Protein Atlas,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R015,preserved_baseline_0.2.0:R015,resource,https://www.ncbi.nlm.nih.gov/geo/,GEO,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R016,preserved_baseline_0.2.0:R016,resource,https://www.ebi.ac.uk/biostudies/arrayexpress,BioStudies/ArrayExpress,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R017,preserved_baseline_0.2.0:R017,resource,https://www.immport.org/,ImmPort,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,False,R018,preserved_baseline_0.2.0:R018,resource,https://www.blueprint-epigenome.eu/,BLUEPRINT,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R019,preserved_baseline_0.2.0:R019,resource,https://dice-database.org/,DICE,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R020,preserved_baseline_0.2.0:R020,resource,https://www.proteomexchange.org/,ProteomeXchange,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R021,preserved_baseline_0.2.0:R021,resource,https://www.ebi.ac.uk/pride/,PRIDE,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R022,preserved_baseline_0.2.0:R022,resource,https://www.uniprot.org/,UniProt,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R023,preserved_baseline_0.2.0:R023,resource,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4977,IUPHAR IL-12,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P51671,preserved_baseline_0.2.0:UP_P51671,resource,https://rest.uniprot.org/uniprotkb/P51671.json,CCL11 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_Q99616,preserved_baseline_0.2.0:UP_Q99616,resource,https://rest.uniprot.org/uniprotkb/Q99616.json,CCL13 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_Q92583,preserved_baseline_0.2.0:UP_Q92583,resource,https://rest.uniprot.org/uniprotkb/Q92583.json,CCL17 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P13500,preserved_baseline_0.2.0:UP_P13500,resource,https://rest.uniprot.org/uniprotkb/P13500.json,CCL2 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_O00626,preserved_baseline_0.2.0:UP_O00626,resource,https://rest.uniprot.org/uniprotkb/O00626.json,CCL22 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_Q9Y258,preserved_baseline_0.2.0:UP_Q9Y258,resource,https://rest.uniprot.org/uniprotkb/Q9Y258.json,CCL26 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P10147,preserved_baseline_0.2.0:UP_P10147,resource,https://rest.uniprot.org/uniprotkb/P10147.json,CCL3 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P13236,preserved_baseline_0.2.0:UP_P13236,resource,https://rest.uniprot.org/uniprotkb/P13236.json,CCL4 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P04141,preserved_baseline_0.2.0:UP_P04141,resource,https://rest.uniprot.org/uniprotkb/P04141.json,CSF2 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P02778,preserved_baseline_0.2.0:UP_P02778,resource,https://rest.uniprot.org/uniprotkb/P02778.json,CXCL10 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P10145,preserved_baseline_0.2.0:UP_P10145,resource,https://rest.uniprot.org/uniprotkb/P10145.json,CXCL8 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P01579,preserved_baseline_0.2.0:UP_P01579,resource,https://rest.uniprot.org/uniprotkb/P01579.json,IFNG human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P22301,preserved_baseline_0.2.0:UP_P22301,resource,https://rest.uniprot.org/uniprotkb/P22301.json,IL10 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P29459,preserved_baseline_0.2.0:UP_P29459,resource,https://rest.uniprot.org/uniprotkb/P29459.json,IL12A human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P29460,preserved_baseline_0.2.0:UP_P29460,resource,https://rest.uniprot.org/uniprotkb/P29460.json,IL12B human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P35225,preserved_baseline_0.2.0:UP_P35225,resource,https://rest.uniprot.org/uniprotkb/P35225.json,IL13 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P40933,preserved_baseline_0.2.0:UP_P40933,resource,https://rest.uniprot.org/uniprotkb/P40933.json,IL15 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_Q14005,preserved_baseline_0.2.0:UP_Q14005,resource,https://rest.uniprot.org/uniprotkb/Q14005.json,IL16 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_Q16552,preserved_baseline_0.2.0:UP_Q16552,resource,https://rest.uniprot.org/uniprotkb/Q16552.json,IL17A human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P01583,preserved_baseline_0.2.0:UP_P01583,resource,https://rest.uniprot.org/uniprotkb/P01583.json,IL1A human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P01584,preserved_baseline_0.2.0:UP_P01584,resource,https://rest.uniprot.org/uniprotkb/P01584.json,IL1B human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P60568,preserved_baseline_0.2.0:UP_P60568,resource,https://rest.uniprot.org/uniprotkb/P60568.json,IL2 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P05112,preserved_baseline_0.2.0:UP_P05112,resource,https://rest.uniprot.org/uniprotkb/P05112.json,IL4 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P05113,preserved_baseline_0.2.0:UP_P05113,resource,https://rest.uniprot.org/uniprotkb/P05113.json,IL5 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P05231,preserved_baseline_0.2.0:UP_P05231,resource,https://rest.uniprot.org/uniprotkb/P05231.json,IL6 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P13232,preserved_baseline_0.2.0:UP_P13232,resource,https://rest.uniprot.org/uniprotkb/P13232.json,IL7 human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P01374,preserved_baseline_0.2.0:UP_P01374,resource,https://rest.uniprot.org/uniprotkb/P01374.json,LTA human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P01375,preserved_baseline_0.2.0:UP_P01375,resource,https://rest.uniprot.org/uniprotkb/P01375.json,TNF human protein identity,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,UP_P15692,preserved_baseline_0.2.0:UP_P15692,resource,https://rest.uniprot.org/uniprotkb/P15692.json,VEGFA human protein identity,[]
explicit_cohort_data_routes_recorded,"[""GSE202186""]",A cited or related accession is not automatically the original data for every assay in a paper.,True,C-S01,preserved_baseline_0.2.0:C-S01,primary_study,https://www.nature.com/articles/s41586-023-06816-9,Dictionary of immune responses to cytokines at single-cell resolution,"[""GSE119352"",""GSE202186""]"
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,C-S02,preserved_baseline_0.2.0:C-S02,preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12724453/,A single-cell cytokine dictionary of human peripheral blood,"[""GSE174686""]"
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,C-S03,preserved_baseline_0.2.0:C-S03,resource,https://pmc.ncbi.nlm.nih.gov/articles/PMC8493809/,Systematic investigation of cytokine signaling activity at the tissue and single-cell levels,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,C-S04,preserved_baseline_0.2.0:C-S04,primary_study,https://pubmed.ncbi.nlm.nih.gov/1940799/,Interleukin 10(IL-10) inhibits cytokine synthesis by human monocytes: an autoregulatory role of IL-10 produced by monocytes,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,C-S05,preserved_baseline_0.2.0:C-S05,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC1810496/,Activated signal transducer and activator of transcription-3 (STAT3) is a poor regulator of tumour necrosis factor-α production by human monocytes,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,C-S06,preserved_baseline_0.2.0:C-S06,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC4792546/,Transpresentation of interleukin-15 by IL-15/IL-15Rα mRNA-engineered human dendritic cells boosts antitumoral natural killer cell activity,"[""GSE174686""]"
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,C-S07,preserved_baseline_0.2.0:C-S07,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC534504/,Distinct roles of IL-12 and IL-15 in human natural killer cell activation by dendritic cells from secondary lymphoid organs,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,C-S08,preserved_baseline_0.2.0:C-S08,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC2193232/,Residual Type 1 Immunity in Patients Genetically Deficient for Interleukin 12 Receptor β1 (IL-12Rβ1): Evidence for an IL-12Rβ1–Independent Pathway of IL-12 Responsiveness in Human T Cells,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,C-S09,preserved_baseline_0.2.0:C-S09,preprint,https://pmc.ncbi.nlm.nih.gov/articles/PMC12776526/,A single-cell cytokine dictionary of human peripheral blood,"[""GSE96583""]"
explicit_cohort_data_routes_recorded,"[""EGAS00000000109""]",A cited or related accession is not automatically the original data for every assay in a paper.,True,G01,preserved_baseline_0.2.0:G01,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC4064786/,Innate Immune Activity Conditions the Effect of Regulatory Variants upon Monocyte Gene Expression,"[""EGAS00000000109""]"
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,G02,preserved_baseline_0.2.0:G02,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC5675716/,Discovery of stimulation-responsive immune enhancers with CRISPR activation,"[""GSE98178""]"
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,G03,preserved_baseline_0.2.0:G03,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC5456452/,Human epistatic interaction controls IL7R splicing and increases Multiple Sclerosis risk,"[""GSE94730""]"
explicit_cohort_data_routes_recorded,"[""phs001703.v1.p1""]",A cited or related accession is not automatically the original data for every assay in a paper.,True,G04,preserved_baseline_0.2.0:G04,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC6289654/,Impact of genetic polymorphisms on human immune cell gene expression,"[""phs001703.v1.p1""]"
explicit_cohort_data_routes_recorded,"[""EGAS00001001456""]",A cited or related accession is not automatically the original data for every assay in a paper.,True,G05,preserved_baseline_0.2.0:G05,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC5119954/,Genetic Drivers of Epigenetic and Transcriptional Variation in Human Immune Cells,"[""EGAD00001002663"",""EGAD00001002670"",""EGAD00001002671"",""EGAD00001002672"",""EGAD00001002673"",""EGAD00001002674"",""EGAD00001002675"",""EGAS00001001456""]"
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,G06,preserved_baseline_0.2.0:G06,primary_study,https://pubmed.ncbi.nlm.nih.gov/35389779/,Single-cell eQTL mapping identifies cell type-specific genetic control of autoimmune disease,[]
explicit_cohort_data_routes_recorded,"[""EGAD00001008197"",""EGAD00010002291""]",A cited or related accession is not automatically the original data for every assay in a paper.,True,G07,preserved_baseline_0.2.0:G07,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9197762/,Immune disease risk variants regulate gene expression dynamics during CD4+ T cell activation,"[""EGAD00001008197"",""EGAD00010002291""]"
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,G08,preserved_baseline_0.2.0:G08,primary_study,https://pubmed.ncbi.nlm.nih.gov/17660817/,Interleukin 7 receptor alpha chain (IL7R) shows allelic and functional association with multiple sclerosis,[]
explicit_cohort_data_routes_recorded,"[""GSE57542""]",A cited or related accession is not automatically the original data for every assay in a paper.,True,G09,preserved_baseline_0.2.0:G09,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC4124741/,Common Genetic Variants Modulate Pathogen-Sensing Responses in Human Dendritic Cells,"[""GSE57542""]"
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,G10,preserved_baseline_0.2.0:G10,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC6783569/,Context-specific regulation of surface and soluble IL7R expression by an autoimmune risk allele,"[""E-MTAB-8207"",""E-MTAB-8225""]"
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,P_S01,preserved_baseline_0.2.0:P_S01,primary_study,https://www.nature.com/articles/ni.3693,Social network architecture of human immune cells unveiled by quantitative proteomics,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,P_S02,preserved_baseline_0.2.0:P_S02,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273988/,Single-cell mass cytometry of differential immune and drug responses across a human hematopoietic continuum,[]
explicit_cohort_data_routes_recorded,"[""GSE100866""]",A cited or related accession is not automatically the original data for every assay in a paper.,True,P_S03,preserved_baseline_0.2.0:P_S03,primary_study,https://www.nature.com/articles/nmeth.4380,Simultaneous epitope and transcriptome measurement in single cells,[]
explicit_cohort_data_routes_recorded,"[""GSE100501""]",A cited or related accession is not automatically the original data for every assay in a paper.,True,P_S04,preserved_baseline_0.2.0:P_S04,primary_study,https://www.nature.com/articles/nbt.3973,Multiplexed quantification of proteins and transcripts in single cells,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,P_S05,preserved_baseline_0.2.0:P_S05,primary_study,https://www.nature.com/articles/s41586-023-06592-6,Plasma proteomic associations with genetics and health in the UK Biobank,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,P_S06,preserved_baseline_0.2.0:P_S06,primary_study,https://www.nature.com/articles/s41586-023-06563-x,Large-scale plasma proteomics comparisons through genetics and disease associations,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,P_S07,preserved_baseline_0.2.0:P_S07,primary_study,https://www.nature.com/articles/s41467-025-56935-2,Comparative studies of 2168 plasma proteins measured by two affinity-based platforms in 4000 Chinese adults,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,P_S08,preserved_baseline_0.2.0:P_S08,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC2196422/,Activated platelets mediate inflammatory signaling by regulated interleukin 1β synthesis,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCI-S01,preserved_baseline_0.2.0:XCI-S01,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC4465562/,Cross-Talk between ICAM-1 and Granulocyte-Macrophage Colony-Stimulating Factor Receptor Signaling Modulates Eosinophil Survival and Activation,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCI-S02,preserved_baseline_0.2.0:XCI-S02,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC2198963/,An Interleukin 5 Mutant Distinguishes between Two Functional Responses in Human Eosinophils,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCI-S03,preserved_baseline_0.2.0:XCI-S03,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC6581624/,CD25 and protein phosphatase 2A cooperate to enhance IL-2R signaling in human regulatory T cells,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCI-S04,preserved_baseline_0.2.0:XCI-S04,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC5172478/,Time-Dependent Regulation of IL-2R α-Chain (CD25) Expression by TCR Signal Strength and IL-2-Induced STAT5 Signaling in Activated Human Blood T Lymphocytes,[]
explicit_cohort_data_routes_recorded,"[""GSE74668""]",A cited or related accession is not automatically the original data for every assay in a paper.,True,XCI-S05,preserved_baseline_0.2.0:XCI-S05,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC4709758/,Gene Expression Profiling of IL-17A-Treated Synovial Fibroblasts from the Human Temporomandibular Joint,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCI-S06,preserved_baseline_0.2.0:XCI-S06,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3656131/,IL-1R1 signaling facilitates Munro’s microabscess formation in psoriasiform imiquimod-induced skin inflammation,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCI-S07,preserved_baseline_0.2.0:XCI-S07,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC9576869/,Dermal fibroblasts are the key sensors of aseptic skin inflammation through interleukin 1 release by lesioned keratinocytes,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCI-S08,preserved_baseline_0.2.0:XCI-S08,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC2673366/,Human mid-gestation amniotic fluid contains interleukin-16 bioactivity,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S001,preserved_baseline_0.2.0:XCH_S001,primary_study,https://pubmed.ncbi.nlm.nih.gov/9005985/,Chemokine receptor usage by human eosinophils. The importance of CCR3 demonstrated using an antagonistic monoclonal antibody.,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S002,preserved_baseline_0.2.0:XCH_S002,primary_study,https://jlb.onlinelibrary.wiley.com/doi/full/10.1189/jlb.0212074,CCL26/eotaxin-3 is more effective to induce the migration of eosinophils of asthmatics than CCL11/eotaxin-1 and CCL24/eotaxin-2,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S003,preserved_baseline_0.2.0:XCH_S003,primary_study,https://pubmed.ncbi.nlm.nih.gov/9151897/,"Human macrophage-derived chemokine (MDC), a novel chemoattractant for monocytes, monocyte-derived dendritic cells, and natural killer cells",[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S004,preserved_baseline_0.2.0:XCH_S004,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC1891894/,Macrophage-Derived Chemokine (MDC/CCL22) and CCR4 Are Involved in the Formation of T Lymphocyte-Dendritic Cell Clusters in Human Inflamed Skin and Secondary Lymphoid Tissue,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S005,preserved_baseline_0.2.0:XCH_S005,primary_study,https://pubmed.ncbi.nlm.nih.gov/7682337/,Preferential migration of activated CD4+ and CD8+ T cells in response to MIP-1 alpha and MIP-1 beta.,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S006,preserved_baseline_0.2.0:XCH_S006,primary_study,https://www.sciencedirect.com/science/article/pii/002217599500087Q,Chemotaxis of T lymphocytes on extracellular matrix proteins: Analysis of the in vitro method to quantitate chemotaxis of human T cells,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S007,preserved_baseline_0.2.0:XCH_S007,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3965571/,Distinct conformations of the chemokine receptor CCR4 with implications for its targeting in allergy,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S008,preserved_baseline_0.2.0:XCH_S008,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC2192763/,"Chemokine receptor specific for IP10 and mig: structure, function, and expression in activated T-lymphocytes.",[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S009,preserved_baseline_0.2.0:XCH_S009,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC1891930/,CXCR3 and Its Ligand CXCL10 Are Expressed by Inflammatory Cells Infiltrating Lung Allografts and Mediate Chemotaxis of T Cells at Sites of Rejection,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XCH_S010,preserved_baseline_0.2.0:XCH_S010,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3422223/,A Novel Highly Potent Therapeutic Antibody Neutralizes Multiple Human Chemokines and Mimics Viral Immune Modulation,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XRE-S01,preserved_baseline_0.2.0:XRE-S01,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC2571934/,"Tuning sensitivity to IL-4 and IL-13: differential expression of IL-4Rα, IL-13Rα1, and γc regulates relative cytokine sensitivity",[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XRE-S02,preserved_baseline_0.2.0:XRE-S02,primary_study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0031874,Shear Stress Modulation of IL-1β-Induced E-Selectin Expression in Human Endothelial Cells,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XRE-S03,preserved_baseline_0.2.0:XRE-S03,primary_study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033106,In Vivo Depletion of Lymphotoxin-Alpha Expressing Lymphocytes Inhibits Xenogeneic Graft-versus-Host-Disease,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XRE-S04,preserved_baseline_0.2.0:XRE-S04,primary_study,https://www.sciencedirect.com/science/article/pii/S0006497120647383,Migration of Human Monocytes in Response to Vascular Endothelial Growth Factor (VEGF) Is Mediated via the VEGF Receptor flt-1,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XRE-S05,preserved_baseline_0.2.0:XRE-S05,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC5335862/,Human Dendritic Cells Mitigate NK-Cell Dysfunction Mediated by Nonselective JAK1/2 Blockade,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,XRE-S06,preserved_baseline_0.2.0:XRE-S06,primary_study,https://www.jci.org/articles/view/119821,Retrograde inflammatory signaling from neutrophils to endothelial cells by soluble interleukin-6 receptor alpha.,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,MG01,unreviewed_candidate_0.3.0:MG01,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC5456452/,Human Epistatic Interaction Controls IL7R Splicing and Increases Multiple Sclerosis Risk,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,MG02,unreviewed_candidate_0.3.0:MG02,primary_study,https://www.nature.com/articles/ng2103,Interleukin 7 receptor alpha chain (IL7R) shows allelic and functional association with multiple sclerosis,[]
raw_data_route_not_recorded,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,MG03,unreviewed_candidate_0.3.0:MG03,primary_study,https://pmc.ncbi.nlm.nih.gov/articles/PMC6783569/,Context-specific regulation of surface and soluble IL7R expression by an autoimmune risk allele,[]
