definition,definition_source,field,foreign_key,missingness,primary_key,storage_type,table_id,units
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,subject_id,candidate_entities.None,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,predicate,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,object_id,candidate_entities.None,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,context_id,candidate_contexts.None,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,source_id,candidate_sources.None,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,cohort_id,candidate_cohorts.None,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,measurement,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,direction,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,qc_status,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,lane,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,source_locator,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,evidence_summary,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,limitations,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,source_dependencies,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,payload,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,bridge_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,mechanism_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,from_assertion_id,candidate_assertions.None,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,to_assertion_id,candidate_assertions.None,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,bridge_type,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,bridge_relation,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,classification,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,review_status,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,production_approved,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,INTEGER,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,reasons,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,source_dependencies,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,payload,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_bridges,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,cohort_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:candidate_cohorts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,source_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_cohorts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,lane,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_cohorts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,payload,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_cohorts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,context_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,species,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,ancestry,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,age,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,sex,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,tissue,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,disease,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,disease_severity,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,treatment_status,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,cell_type,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,cell_state,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,developmental_state,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,stimulation,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,dose,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,duration,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,assay,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,genomic_background,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,time_point,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_contexts,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,entity_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:candidate_entities,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,name,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_entities,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,entity_type,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_entities,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,layer,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_entities,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,species,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_entities,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,mapping_status,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_entities,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,gap_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:candidate_gaps,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,lane,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_gaps,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,description,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_gaps,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,status,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_gaps,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,payload,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_gaps,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,mechanism_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:candidate_graphs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,lane,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_graphs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,assertion_ids,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_graphs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,bridge_ids,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:candidate_graphs,source/measurement dependent; do not infer from storage type
