Entry	Entry Name	Reviewed	Gene Names (primary)	Gene Names	Protein names	Organism (ID)	Keyword ID	Gene Ontology IDs
A1C2G8	A1C2G8_HUMAN	unreviewed	GDF8	GDF8	Growth/differentiation factor 8 (GDF-8) (Myostatin)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0358; KW-0964; KW-0732	GO:0005102; GO:0005125; GO:0005576; GO:0008083; GO:0048632; GO:1902723; GO:1902725; GO:2000818
A1C2K4	A1C2K4_HUMAN	unreviewed	GDF8	GDF8	Growth/differentiation factor 8 (GDF-8) (Myostatin)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0358; KW-0964; KW-0732	GO:0005102; GO:0005125; GO:0005576; GO:0008083; GO:0048632; GO:1902723; GO:1902725; GO:2000818
A6MUU8	A6MUU8_HUMAN	unreviewed	MIF	MIF	Macrophage migration inhibitory factor (EC 5.3.2.1) (EC 5.3.3.12) (L-dopachrome isomerase) (L-dopachrome tautomerase) (Phenylpyruvate tautomerase)	9606	KW-0202; KW-0963; KW-0391; KW-0395; KW-0399; KW-0413; KW-0964	GO:0004167; GO:0005576; GO:0005737; GO:0050178; GO:0080135
A6XAA7	A6XAA7_HUMAN	unreviewed	GREM1	GREM1 hCG_1811964	Gremlin	9606	KW-0202; KW-1015; KW-0325; KW-0964; KW-0732	GO:0002042; GO:0002092; GO:0003337; GO:0005576; GO:0009986; GO:0030297; GO:0043184; GO:0045766; GO:0045892; GO:0045944; GO:0048018; GO:0051893; GO:0055007; GO:0060379; GO:0060676; GO:0090050; GO:0090190; GO:1900748
B0JFA2	B0JFA2_HUMAN	unreviewed	IL4	IL4	Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (Lymphocyte stimulatory factor 1)	9606	KW-0075; KW-0202; KW-1015; KW-0325; KW-0339; KW-0964; KW-0732	GO:0005136; GO:0005576; GO:0006955; GO:0008083; GO:0010628; GO:0030335; GO:0042113; GO:0051239
B1AKZ9	B1AKZ9_HUMAN	unreviewed	BMP7	BMP7	Bone morphogenetic protein 7 (Osteogenic protein 1)	9606	KW-0891; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0339; KW-0892; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001501; GO:0001656; GO:0001823; GO:0005576; GO:0008083; GO:0008285; GO:0030509; GO:0045597; GO:0045665; GO:0045893; GO:0048812; GO:0051240; GO:0060391; GO:0060485; GO:0070700; GO:0098609; GO:2000026
B2RC63	B2RC63_HUMAN	unreviewed			Growth/differentiation factor 2 (Bone morphogenetic protein 9)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0964; KW-0732	GO:0001503; GO:0001569; GO:0001938; GO:0005576; GO:0006879; GO:0008083; GO:0010628; GO:0030858; GO:0045766; GO:0045944; GO:0090100
B2ZPJ8	B2ZPJ8_HUMAN	unreviewed			Bone morphogenetic protein 7 (Osteogenic protein 1)	9606	KW-0891; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0339; KW-0892; KW-0964; KW-0732	GO:0001501; GO:0001656; GO:0001823; GO:0005576; GO:0008083; GO:0008285; GO:0030509; GO:0045597; GO:0045665; GO:0045893; GO:0048812; GO:0051240; GO:0060391; GO:0060485; GO:0070700; GO:0098609; GO:2000026
B4E1G5	B4E1G5_HUMAN	unreviewed			Progranulin (Acrogranin) (Proepithelin)	9606	KW-0202; KW-1015; KW-0325; KW-0458; KW-0677; KW-0964; KW-0732	GO:0005576; GO:0005764; GO:0050793; GO:0051130; GO:0051649
B5MCZ3	B5MCZ3_HUMAN	unreviewed	IL6	IL6	Interleukin-6	9606	KW-0011; KW-0202; KW-1015; KW-0339; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005138; GO:0005576; GO:0006955; GO:0030154; GO:0051223; GO:0051251; GO:0070102; GO:0071222; GO:1904894
C9JWV2	C9JWV2_HUMAN	unreviewed	IL1B	IL1B	Interleukin-1 beta	9606	KW-0202; KW-0963; KW-0395; KW-0458; KW-0497; KW-1267; KW-0666; KW-1185; KW-0964	GO:0001660; GO:0001819; GO:0005125; GO:0005149; GO:0005576; GO:0005764; GO:0005829; GO:0006955
D4HNR6	D4HNR6_HUMAN	unreviewed	IL4	IL4 hCG_24113	Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (Lymphocyte stimulatory factor 1)	9606	KW-0075; KW-0202; KW-1015; KW-0325; KW-0339; KW-0964; KW-0732	GO:0005136; GO:0005576; GO:0006955; GO:0008083; GO:0010628; GO:0030335; GO:0042113; GO:0051239
E7ENE1	E7ENE1_HUMAN	unreviewed	IL12A	IL12A	Interleukin-12 subunit alpha (IL-12A)	9606	KW-0202; KW-1015; KW-0325; KW-0339; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005143; GO:0006955; GO:0008083; GO:0032946; GO:0042163; GO:0043514; GO:0046982
E9PGR3	E9PGR3_HUMAN	unreviewed	IL12A	IL12A	Interleukin-12 subunit alpha (IL-12A)	9606	KW-0202; KW-1015; KW-0325; KW-0339; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005143; GO:0006955; GO:0008083; GO:0032946; GO:0042163; GO:0043514; GO:0046982
F1T0J1	F1T0J1_HUMAN	unreviewed	GDF5	GDF5	Growth/differentiation factor 5 (Bone morphogenetic protein 14)	9606	KW-1003; KW-0891; KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0472; KW-0964; KW-0732	GO:0005102; GO:0005576; GO:0005886; GO:0007178; GO:0008083; GO:0009612; GO:0032332; GO:0043524; GO:0043932; GO:0045666; GO:0090092
H0YLH9	H0YLH9_HUMAN	unreviewed	IL16	IL16	Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]	9606	KW-0145; KW-0202; KW-0963; KW-0539; KW-1267; KW-1185; KW-0677; KW-0964; KW-0804; KW-0805	GO:0005125; GO:0005576; GO:0005829; GO:0016607; GO:0050930
