screening_id,source_id,decision,reason,stage,reviewer_role
SCREEN_C-S01,C-S01,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,cytokine_extractor
SCREEN_XCH_S008,XCH_S008,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_primary_pdf_selected_passages,chemokine_expansion_extractor
SCREEN_XCH_S009,XCH_S009,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_chrome_selected_passages,chemokine_expansion_extractor
SCREEN_XCH_S010,XCH_S010,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_chrome_selected_passages,chemokine_expansion_extractor
SCREEN_XCI-S01,XCI-S01,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections_via_web_tool,cytokine_expansion_extractor
SCREEN_XCI-S02,XCI-S02,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_article_inspected_via_Chrome_selected_passages_archived,cytokine_expansion_extractor
SCREEN_XCI-S03,XCI-S03,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_article_inspected_via_Chrome_selected_passages_archived,cytokine_expansion_extractor
SCREEN_XCI-S04,XCI-S04,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_article_inspected_via_Chrome_selected_passages_archived,cytokine_expansion_extractor
SCREEN_XCI-S05,XCI-S05,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_article_inspected_via_Chrome_selected_passages_archived,cytokine_expansion_extractor
SCREEN_XCI-S06,XCI-S06,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_article_inspected_via_Chrome_selected_passages_archived,cytokine_expansion_extractor
SCREEN_XCI-S07,XCI-S07,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_article_inspected_via_Chrome_selected_passages_archived,cytokine_expansion_extractor
SCREEN_XCI-S08,XCI-S08,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_article_inspected_via_Chrome_selected_passages_archived,cytokine_expansion_extractor
SCREEN_XRE-S01,XRE-S01,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_relevant_methods_and_results_inspected,receptor_expansion_extractor
SCREEN_XRE-S02,XRE-S02,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_relevant_methods_and_results_inspected,receptor_expansion_extractor
SCREEN_XRE-S03,XRE-S03,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_relevant_methods_and_results_inspected,receptor_expansion_extractor
SCREEN_XRE-S04,XRE-S04,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_relevant_methods_and_results_inspected,receptor_expansion_extractor
SCREEN_XRE-S05,XRE-S05,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_relevant_methods_and_results_inspected,receptor_expansion_extractor
SCREEN_XRE-S06,XRE-S06,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_relevant_methods_and_results_inspected,receptor_expansion_extractor
