cohort_id,dataset_id,accession,study_id,participants,ancestry,species,tissue,cell_type,disease,intervention,sample_count,donor_count,parent_cohort,related_publications,independence_status,notes
GCO03,GDS03,unavailable,G02,Jurkat cell line,unavailable,Homo sapiens,cell culture,Jurkat T cell line,unavailable,CaRE4 allele reporter; anti-CD3/CD28; 20 h,at least two independent experiments reported,unavailable,unavailable,"[""G02""]",unresolved,"Engineered reporter system, not independent human donors or native allele replacement."
GCO04,GDS04,unavailable,G02,C57BL/6 enhancer-edited mice and wild-type littermates,unavailable,Mus musculus,spleen and peripheral lymph nodes,naive CD4+ CD62L+ CD44- T cell,no induced disease,human rs61839660-equivalent SNP knock-in; anti-CD3/CD28 stimulation,"Figure 3d SNP n=6, wild-type n=10; 12DEL n=5 not pooled into SNP comparison",unavailable,unavailable,"[""G02""]",unresolved,Separate from NOD-background EDEL experiments and human ImmVar. Allele effect on mouse surface IL2RA is context-specific. No human disease phenotype proof.
GCO05,GDS05,unavailable,G03,HeLa cell line,unavailable,Homo sapiens,cell culture,HeLa,unavailable,allele-specific IL7R splicing and DDX39B 5-prime UTR reporters; DDX39B siRNA where indicated,biological triplicates; knockdown experiments repeated three times,unavailable,unavailable,"[""G03""]",unresolved,"Reporter experiments share laboratory system. GSE94730 belongs to RNA-seq experiments in this paper, not asserted to identify these reporter wells."
GCO06,GDS06,unavailable,G03,6,unavailable,Homo sapiens,peripheral blood,primary CD4+ T cell,healthy,anti-CD3/CD28 activation; DDX39B sh3/sh5 knockdown; IL2 culture then withdrawal before collection,6,6,unavailable,"[""G03""]",unresolved,Healthy donors stratified as IL7R rs6897932 CC or CT; no TT donor comparison. Individual donor samples are repeated across shRNA conditions.
GCO07,GDS07,unavailable,G03,52,"Yoruba/Esan in Nigeria (YRI/ESN), 25; Iberian in Spain (IBS), 27",Homo sapiens,lymphoblastoid cell culture,lymphoblastoid cell line,unavailable,genotype-stratified RNA/protein measurement,unavailable,52,unavailable,"[""G03""]",unresolved,"Figure 3 experimental LCL panel, distinct per authors from earlier Wu 2013 YRI/CEU proteomics dataset. Within-panel genotype counts: African CC12/AC11/AA2; Iberian CC12/AC12/AA3. Do not merge with historical CEU null result as one population."
GCO08,GDS08,unavailable,G03,86,unavailable,Homo sapiens,peripheral blood,PBMC,relapsing-remitting multiple sclerosis and healthy controls,genotype-stratified DDX39B RNA measurement,unavailable,86,unavailable,"[""G03""]",unresolved,Figure 3B counts CC32/AC31/AA23. Case/control split and ancestry not recovered. Not the six-cohort MS association meta-analysis.
GCO09,GDS09,phs001703.v1.p1,G04,91,unavailable,Homo sapiens,peripheral blood,13 purified immune cell types plus activated naive CD4/CD8 T cells,healthy,ex vivo profiling; T-cell activation in separate conditions,106 leukapheresis collections including 15 longitudinal repeat collections,91,unavailable,"[""G04""]",unresolved,"DICE phase 1, San Diego Blood Bank. 54 male/37 female; median age 27 (18–61). Self-reported race/ethnicity in Table S1A, not fully extracted; ancestry unavailable rather than assumed European. Same donors across 15 cell conditions."
GCO10,GDS10,unavailable,G04,13,unavailable,Homo sapiens,peripheral blood,naive CD4+ T cell,healthy,pre-coated anti-CD3 10 micrograms/mL; soluble anti-CD28 1 microgram/mL; IL7 5 ng/mL; surface 4-1BB flow cytometry,unavailable,13,unavailable,"[""G04""]",unresolved,"Figure 3K genotype-selected follow-up. Exact overlap with the 91-person DICE discovery cohort not verified; conservatively share study evidence group, not independent replication."
GCO11,GDS11,EGAS00001001456,G05,200 recruited; up to 197 analyzed,unavailable,Homo sapiens,peripheral blood,classical CD14+ CD16- monocytes; CD66b+ CD16+ neutrophils; phenotypically naive CD4+ CD45RA+ T cells,healthy,baseline purified-cell multiomic profiling,unavailable,197,unavailable,"[""G05""]",unresolved,"BLUEPRINT human variation panel: 169/200 recruited donors extended to naive T cells; 54% female, mean age 55. UK blood-donor population. Genetic PCA European-ancestry criterion shown in Figure S2; exact retained ancestry breakdown not verified, so ancestry unavailable. Other BLUEPRINT publications are potential reuse, not new donors."
GCO12,GDS12,unavailable,G06,982,unavailable,Homo sapiens,peripheral blood,14 PBMC immune cell types,healthy,single-cell RNA-seq; no stimulation stated in abstract,"1,267,758 PBMCs (cells, not independent donors)",982,unavailable,"[""G06""]",unresolved,"OneK1K original cohort. GSE196830 identified in later primary-source data availability, but not independently checked against original deposition here. Ancestry/age/sex unavailable from inspected original abstract. Later OneK1K reuse is not independent evidence."
GCO13,GDS13,"[""EGAD00001008197"",""EGAD00010002291""]",G07,119,British ancestry (author wording),Homo sapiens,peripheral blood,naive and memory CD4+ T cells,healthy,"anti-CD3/CD28 Dynabeads 1:2 bead:cell ratio; 16 h, 40 h, 5 d; negative controls cultured 16 h without beads","655,349 cells",119,unavailable,"[""G07""]",unresolved,"67 male/52 female, mean age 47, SD15.61. Author-reported sex percentages (53.7%/56.3%) are inconsistent with counts and are not propagated. Donors modeled as repeated measures; subclusters are not independent cohorts. Cell culture time of resting comparator is not zero elapsed time."
GCO14,GDS14,unavailable,G08,US760families including1055affected;US438cases/479controls;northern-European1338trios;northern-European1077cases/2725controls,European ancestry; US families explicitly non-Hispanic European descent; UK and Belgian populations,Homo sapiens,peripheral blood,unavailable,multiple sclerosis and comparison participants,genetic association,Four dataset components; no total unique participant count computed,Unavailable as deduplicated total across related publications,unavailable,"[""G08""]",Authors describe within-paper datasets as independent; cross-publication overlap unresolved,US case-control:UCSF July2004-September2005. UK controls479HRC blood donors and2047British1958BirthCohort; Belgian199hospital staff/noninflammatory neurological patients. These identities can reveal later-study overlap. Combined analyzed totals1512cases/3184controls differ from recruited1515/3204. Do not multiply prior support by four without donor-overlap adjudication.
GCO15,GDS15,GSE57542,G09,534,"295 Caucasians, 122 African-Americans, 117 East Asians (original study labels)",Homo sapiens,peripheral blood,monocyte-derived dendritic cell,healthy,"LPS, influenza infection, IFNB stimulation, or resting",1598 transcriptional profiles; preliminary microarray panel 30 donors,534,unavailable,"[""G09""]",unresolved,PhenoGenetic/ImmVar-associated study. Disease-locus example Figure 6A uses 184 Caucasians (author wording). Cell differentiation is ex vivo; no direct extrapolation to tissue-resident DC. Discovery-panel overlap with 534 and overlap with GCO02 unresolved.
GCO16,GDS16,unavailable,G10,161,European (inherited only from explicitly reused GCO01 cohort),Homo sapiens,peripheral blood,CD14+ monocyte,healthy,LPS 20 ng/mL for 24 h; supernatant ELISA,161,161,GCO01,"[""G01"",""G10""]",unresolved,Figure 3a and Results explicitly identify randomly selected samples from previous eQTL study. Known reuse; exact donor matching not available. Must share biological independence group with GCO01.
GCO17,GDS17,unavailable,G10,62,unavailable,Homo sapiens,peripheral blood,CD14+ monocytes gated in PBMC,healthy,"TNF 10 ng/mL, 24 h",62,62,unavailable,"[""G10""]",unresolved,Figure 2e genotyped TNF arm; larger paper also has isolated-monocyte n84 and other PBMC panels. Do not sum panels as independent donors; overlap among panels and with original Fairfax cohort unresolved.
P_C01,immprot human immune-cell atlas,unavailable,P_S01,unavailable,unavailable,Homo sapiens,blood,28 hematopoietic populations,unavailable,unavailable,unavailable,unavailable,unavailable,"[""P_S01""]",unresolved,No raw donor manifest inspected. IL34 validation subset contains 2 donors and 4 culture replicates; these are not 4 independent people.
P_C01_IL34,Rieckmann IL34 validation cultures,unavailable,P_S01,2 human donors,unavailable,Homo sapiens,blood-derived culture,CD4 T-cell preparation described as memory; precise CD45RA gate unresolved,unavailable,anti-CD3/anti-CD28 followed by IL2 with IL34,4 culture replicates per described comparison,2,P_C01,"[""P_S01""]",unresolved,Two independent donors and four culture replicates explicitly reported in Fig5g. Main Methods render the gate CD4+CD45RA+; source/encoding discrepancy unresolved. Donor overlap with main atlas remains unresolved.
P_C02,Bendall bone-marrow mass-cytometry experiment,unavailable,P_S02,2 healthy donors,unavailable,Homo sapiens,bone marrow,bone-marrow mononuclear cells,healthy,ex vivo stimuli and kinase inhibitors,unavailable,2,unavailable,"[""P_S02""]",unresolved,Two bone-marrow donors in main text. Separate two-donor PBMC platform comparison is not pooled into this cohort.
P_C03,CITE-seq cord blood mononuclear cells,GSE100866,P_S03,cord blood obtained from New York Blood Center; unique donor number unavailable,unavailable,Homo sapiens,cord blood,cord blood mononuclear cells; NK subsets,unavailable,observational CITE-seq antibody staining; no cytokine perturbation,8005 human cells,unavailable,unavailable,"[""P_S03""]",unresolved,8005 human cells are not 8005 donors. RNA/ADT counts share cells; low-frequency mouse fibroblast controls used for antibody background and excluded from human assertions. Separate flow-benchmark PBMC arm not used to infer cord-blood donor counts.
P_C04,REAP-seq CD27 perturbation,GSE100501,P_S04,3 healthy donors,unavailable,Homo sapiens,peripheral blood,enriched naive CD8 T cells,healthy,anti-CD3/anti-CD28 with or without bead-bound anti-CD27 for 3 days,unavailable,3,unavailable,"[""P_S04""]",unresolved,Paired treatment conditions within each donor. Unequal recovered cell numbers and viable-cell sorting; cells cannot be treated as independent donors.
P_C04_PBMC,REAP-seq PBMC benchmark AllCells PB003F LotA5051,GSE100501,P_S04,1 commercial PBMC donor,unavailable,Homo sapiens,peripheral blood,PBMCs,unavailable,unavailable,7271 REAP-seq cells,1,unavailable,"[""P_S04""]",unresolved,REAP and flow cytometry compare aliquots from same donor; no independent replication across platforms. Overlap with CD27 donors not documented.
P_C05,UKB-PPP,unavailable,P_S05,54219,unavailable,Homo sapiens,plasma,unavailable,population cohort; multiple phenotypes,unavailable,unavailable,54219,UK Biobank,"[""P_S05"",""P_S06""]",unresolved,"54,219 profiled participants; analysis-specific sample counts differ. UKB participants in Eldjarn are overlapping reuse, not additional evidence from an independent cohort."
P_C05_CSA,UKB-PPP Central/South Asian ancestry pQTL subset,unavailable,P_S05,920,Central/South Asian (pan-UKBB definition),Homo sapiens,plasma,unavailable,unavailable,unavailable,unavailable,920,P_C05,"[""P_S05""]",unresolved,Analysis-specific ancestry subset; do not add it to parent sample count.
P_C06,UKB-BI and Iceland comparison,unavailable,P_S06,UKB-BI 46218 with Olink; Iceland 35892 with SomaScan,British/Irish and Icelandic,Homo sapiens,plasma,unavailable,IBD and controls,unavailable,unavailable,unavailable,UK Biobank; deCODE Iceland,"[""P_S05"",""P_S06"",""Ferkingstad et al. 2021""]",unresolved,"Comparison bundle, not an independent pooled cohort. UKB component reuses UKB-PPP; Iceland component reuses deCODE samples. IBD cases: UKB-BI 900; Iceland 618. A paired 1514-Icelander assay subset is nested in 35892, not extra participants. Exact overlap with external publications unresolved."
P_C07,China Kadoorie Biobank IHD case-subcohort,unavailable,P_S07,3976,Chinese; East Asian genetic population,Homo sapiens,plasma,unavailable,1951 incident IHD cases; 2025 subcohort participants,unavailable,unavailable,3976,China Kadoorie Biobank,"[""P_S07""]",unresolved,"Same samples on both platforms; 53.7% female, mean age 57.3 years (SD 11.7). Cohort identity distinguishes it from UKB/deCODE; participant-level overlap across other CKB publications not inspected."
P_C08,Lindemann platelet/fibrin and endothelial experiments,unavailable,P_S08,unavailable,unavailable,Homo sapiens,blood-derived platelets and neutrophils; cultured umbilical-vein endothelium,platelets; endothelial cells; neutrophils,unavailable,platelet agonists; transferred microvesicles; IL1 receptor antagonist,unavailable,unavailable,unavailable,"[""P_S08""]",unresolved,"Fig. 2B n=6 experiments, Fig. 4A/B n=3 experiments; donor count unavailable. Replicate experiments are not assumed to represent distinct donors."
XCH_CO001,unavailable,unavailable,XCH_S001,Normal human eosinophil donors with moderately high eosinophil counts (approximately 3–6% of WBC),unavailable,Homo sapiens,peripheral blood,eosinophil,normal donors as described by study,Fresh isolated eosinophils exposed to human eotaxin or MCP4 with anti-CCR3 7B11,Migration: at least four separate experiments; calcium: five experiments with different donors,Five different donors represented in calcium experiments; total migration donors unavailable,unavailable,"[""XCH_S001""]",unresolved,"Figure 3–4 fresh-eosinophil experiment family. Exact cross-panel donor overlap unavailable; do not sum assays. IL5 priming (5 ng/mL, 5–7 d) belongs to a different Figure 5 experiment and is not pooled here."
XCH_CO002,unavailable,unavailable,XCH_S002,Eight recruited nonsmoking healthy volunteers with no allergy/asthma history and methacholine PC20>16 mg/mL,unavailable,Homo sapiens,peripheral blood,eosinophil,healthy,Recombinant eotaxins; anti-CCR3 antibody,Figure5 four independent experiments; Figure4 four experiments; unique per-panel donor counts unavailable,8,unavailable,"[""XCH_S002""]",unresolved,"Study-wide recruited healthy count is eight, not four. No respiratory infection for at least1month. IL5 maintained during all migration assays. Limited cell yield allowed only18h healthy blockade measurements; not absence of earlier migration. Repeated panel donor overlap unavailable."
XCH_CO003,unavailable,unavailable,XCH_S002,Thirty recruited nonsmoking mild allergic asthma volunteers; positive allergen prick test and asthma history≥6months,unavailable,Homo sapiens,peripheral blood,eosinophil,mild allergic asthma; methacholine PC20≤8 mg/mL,"Human CCL26 after IL5 priming, with IL5 maintained; antiCCR3 clone61828/7B11 comparison",Figure2 CCL26 kinetics seven experiments; Figure5 blockade four experiments; technical duplicates; per-panel unique donors unavailable,30,unavailable,"[""XCH_S002""]",unresolved,"Thirty is study recruitment, not sample size of each result. No respiratory infection for≥1month; only beta2 agonists on demand as therapy. Figure2 resolves12–18h second phase; Figure5 antibody-blockade comparison observes9–18h late interval. Panel donor overlap unresolved."
XCH_CO004,unavailable,unavailable,XCH_S003,Healthy human donor buffy-coat PBMC,unavailable,Homo sapiens,blood-derived culture,monocyte-derived dendritic cell,healthy donors,Chemically synthesized mature human MDC/CCL22,Figure 7 representative experiments; dendritic-cell comparative response n=7; unit not resolved as donors,unavailable,unavailable,"[""XCH_S003""]",unresolved,"Monocytes purified through Ficoll/Percoll and antiCD19/antiCD2 negative selection, then 6–8 d in 50 ng/mL GM-CSF and 20 ng/mL IL13. >80% CD1a+, >90% MHCII+. Some preparations further depleted of CD14; specific panel allocation unavailable. Donor overlap and ancestry unavailable."
XCH_CO005,unavailable,unavailable,XCH_S004,Oral-cancer patients with autotransplanted forearm skin; infected inflamed skin-flap subset,unavailable,Homo sapiens,intraoral autotransplanted forearm skin,CD1a-positive or CD83-positive dendritic cell,Candida-associated inflammation after oral-cancer surgery,Observational immunostaining; no chemokine perturbation,"23 skin-flap biopsies, 17 severely inflamed; selected figure experiments used subsets",unavailable,unavailable,"[""XCH_S004""]",unresolved,Skin biopsies obtained about two years after surgery. Eight representative cases used for double enzyme staining; immunoelectron Methods mention four cases whereas Figure 7 legend says five. Exact overlap unavailable; do not sum panel counts. Cell state: in situ inflamed dermis
XCH_CO006,unavailable,unavailable,XCH_S005,Human T lymphocytes; donor details unavailable,unavailable,Homo sapiens,peripheral blood; isolation details unavailable,T lymphocyte,unavailable,Recombinant human MIP1alpha/CCL3 or MIP1beta/CCL4,unavailable,unavailable,unavailable,"[""XCH_S005""]",unresolved,"Activated and unstimulated assertions are conditions from one report, not independent donor cohorts. Purification dependence is an explicit unresolved confound informed by XCH_S006. Cell state: anti-CD3-activated or unstimulated comparators"
XCH_CO007,unavailable,unavailable,XCH_S006,Human T lymphocytes; donor details unavailable,unavailable,Homo sapiens,peripheral blood; purification protocol comparison,T lymphocyte,unavailable,Recombinant chemokines in microchemotaxis assays,unavailable,unavailable,unavailable,"[""XCH_S006""]",unresolved,"Possible donor/study relation to XCH_S005 unresolved. Rapid isolation and prolonged 37-degree incubation are distinct experimental contexts. Cell state: rapidly purified, without anti-CD3 stimulation"
XCH_CO008,unavailable,unavailable,XCH_S007,Hut78 human T-cell lymphoma line,unavailable,Homo sapiens,cell culture,Hut78 T-cell lymphoma cell,T-cell lymphoma-derived cell line,Soluble CCL17 or CCL22,unavailable,not applicable; immortalized cell line,unavailable,"[""XCH_S007""]",unresolved,Hut78 is human. Primary Th2 cells and murine receptor-transfected L1.2 cells elsewhere in the article are not treated as this cohort; repeated ligand assays are not independent biological replication. Cell state: endogenous CCR4 expression
XCH_CO009,unavailable,unavailable,XCH_S007,Primary human Th2 lymphocytes; blood-derived cells,unavailable,Homo sapiens,peripheral blood-derived culture,Th2 lymphocyte,healthy donor context for primary Th2 generation; calcium-specific donor metadata unavailable,Recombinant human CCL17 or CCL22,"Three independent calcium experiments, not equated to three unique donors",unavailable,unavailable,"[""XCH_S007""]",unresolved,Cell Culture describes healthy-volunteer naiveCD4 cells polarized4wk with ref28. Calcium Methods specifically invoke chronically activated Th2 preparation via ref30. Do not assume identical donors/preparation histories across flow and calcium panels; exact ref30 culture details remain unavailable. Cell state: Chronically activated cultured Th2 cells
XCH_CO010,unavailable,unavailable,XCH_S009,"24 lung allograft recipients:14 men,10 women",unavailable,Homo sapiens,lung allograft; bronchoalveolar lavage,pulmonary CD3-positive T cell,acute lung allograft rejection or bronchiolitis obliterans syndrome,Recombinant human CXCL10 with or without antiCXCR3 antibody,"Source Methods says56 consecutive biopsy/BAL procedures, then58 biopsy samples; counts unresolved",24 recipients in parent study; Figure3A–D shows four representative patients,unavailable,"[""XCH_S009""]",unresolved,"Figure3A–D human pulmonary T cells from A1,A2,A3 and BOS representatives; Figure3E300-19 line excluded. Repeated surveillance samples and assay-panel overlap unresolved; no-rejection/normal migration could not be tested because too few T cells, which is missingness rather than a null. Cell state: ex vivo purified BAL T cells; acute rejection A1–A3 or BOS"
XCH_CO011,unavailable,unavailable,XCH_S009,Same lung allograft study; biopsy and BAL macrophage subsets,unavailable,Homo sapiens,lung-allograft biopsy and bronchoalveolar lavage,alveolar macrophage,acute rejectionA1–A3 or BOS,Observational antiCXCL10 protein staining,unavailable,unavailable,XCH_CO010,"[""XCH_S009""]",unresolved,"Macrophage and T-cell samples belong to the same parent study. Figure4 is representativeA2 biopsy; Figure5 BAL macrophage flow panels include rejection,BOS,no-rejection and control examples. Specific overlap unavailable. Cell state: graft-infiltrating macrophages during rejection"
XCH_CO012,unavailable,unavailable,XCH_S003,Human peripheral-blood monocyte-derived macrophages,unavailable,Homo sapiens,blood-derived cell culture supernatant,monocyte-derived macrophage,unavailable,Macrophage differentiation and culture-supernatant Western blot,unavailable,unavailable,unavailable,"[""XCH_S003""]",unresolved,Distinct source-cell experiment family from DC chemotaxis. Donor number and relationship to healthy-buffy-coat chemotaxis donors unavailable. Day6/day9 conditions and LDL arms are not independent biological replication. Cell state: Plastic-adherent differentiation for6 d; unstimulated day6/day9 controls
XCH_CO013,unavailable,unavailable,XCH_S010,Healthy human blood volunteers; source-supernatant donor number unavailable,unavailable,Homo sapiens,peripheral blood-derived PBMC culture supernatant,peripheral blood mononuclear cell mixture,healthy volunteers,48h LPS1 μg/mL + recombinant human IFNG1000 U/mL + IL2 50 U/mL,unavailable,unavailable,unavailable,"[""XCH_S010""]",unresolved,"Mixed PBMC source; no specific producing subset assigned. Six donors in phosphoflow experiments are not a secretion donor count. Pooling, sex, age, ancestry and overlap with other studies unavailable. Cell state: LPS and IFNG stimulated with IL2 present"
XCH_CO014,unavailable,unavailable,XCH_S008,Human donor blood buffy-coat PBL; Swiss Central Laboratory Blood Transfusion Service SRK,unavailable,Homo sapiens,peripheral blood-derived lymphocytes,peripheral blood lymphocyte,unavailable,CXCL10 migration dose-response; fresh versus10 d IL2 culture,Triplicate technical wells; unique donors and experiments unavailable,unavailable,unavailable,"[""XCH_S008""]",unresolved,"Figure4 PBL assay family. Fresh and cultured conditions share a study group, with exact donor matching unavailable. Culture RPMI1640 with5% human serum and400 U/mL IL2; these are not purified single T-cell subsets. Other receptor-transfectant assays are excluded. Cell state: Fresh or cultured10 d with IL2"
XCI-CO01,XCI-D01,unavailable,XCI-S01,healthy nonallergic blood volunteers,unavailable,Homo sapiens,peripheral blood,purified eosinophil,healthy; nonallergic,"GM-CSF 10 ng/mL, up to 48 h; ICAM1 perturbations in distinct arms",unavailable,unavailable,unavailable,"[""XCI-S01""]",unresolved,"Eosinophil purity >=99%; total unique donor number not given in inspected sections. Repeated time points, cytokine outputs and inhibition arms are not independent cohorts."
XCI-CO02,XCI-D02,unavailable,XCI-S02,healthy blood donors with mildly elevated eosinophil count,unavailable,Homo sapiens,peripheral blood,purified human eosinophil,healthy,wild-type IL5 and recombinant IL5(E12K); neutralizing TRFK-5 antibody,Fig5A six independent experiments; Fig5B at least three,"Fig5A six different blood donors; Fig5B at least three experiments, unique donors unavailable",unavailable,"[""XCI-S02""]",unresolved,"CD16 negative selection, >95% purity. Recombinant E. coli expression is the cytokine reagent host; COS transfected cells and TF1 cell-line binding assays are not extracted as primary-human results. Survival and adhesion experiments share study but unique-donor overlap unresolved."
XCI-CO03,XCI-D03,unavailable,XCI-S03,"healthy adult donors aged 20–45 years; Continental Blood Bank, Miami",unavailable,Homo sapiens,peripheral blood,CD4+ cells gated within unfractionated PBMCs,unavailable,IL2 stimulation for 15 min,typically 100000 PBMC flow events per sample; events are not participants,five different healthy adult donors in Figure1,unavailable,"[""XCI-S03""]",unresolved,"Figure1 uses unfractionated PBMCs rested 1 h before IL2. Do not conflate with purified/expanded lentivirus-treated Tregs, YT cells or mouse arms."
XCI-CO04,XCI-D04,unavailable,XCI-S04,healthy adult venous-blood donors,unavailable,Homo sapiens,peripheral blood,"peripheral blood lymphocytes, >85% CD3+",unavailable,IL2 alone versus TCR stimulation contexts,Table1 five independent experiments with different donors; Figure3 four,Table1 five; Figure3 four; overall overlap unavailable,unavailable,"[""XCI-S04""]",unresolved,"Histopaque separation and plastic-adherence monocyte depletion; overnight rest in RPMI plus5% human serum. Mixed lymphocyte preparation, not purified Treg. Table1 and prose disagree on IL2-only cycling fraction and dose labels; quantitative effect not harmonized."
XCI-CO05,XCI-D05,GSE74668 (transcript arm only),XCI-S05,TMJ1 female age23; TMJ2 female age26; TMJ3 male age59,unavailable,Homo sapiens,temporomandibular joint synovium,synovial fibroblast,internal derangement or osteoarthritis of temporomandibular joint; per-donor assignment unavailable,IL17A 10 ng/mL; signaling inhibitor pretreatment,Fig7 n=6 measurements; Fig8 n=4 measurements; do not interpret as donor counts,Fig7 three patients (TMJ1-3); Fig8 donor basis unavailable,unavailable,"[""XCI-S05""]",unresolved,"Primary outgrowth cultures at passages6–8. Three unique patients; six ELISA experiments are not six patients. Inhibitor Figure8 donor identity not specified. Microarray accession GSE74668 applies to TMJ1 transcript profiling, not an independently sampled cohort."
XCI-CO06,XCI-D06,unavailable,XCI-S06,"commercial pooled human primary keratinocytes, Life Technologies",unavailable,Homo sapiens,skin,primary human keratinocyte,unavailable,imiquimod; human IL1A; anti-human IL1A neutralization,at least three independent experiments; n=2 per time-point/treatment within an experiment unless stated,unavailable,unavailable,"[""XCI-S06""]",unresolved,"Commercial pooled cells in defined keratinocyte serum-free medium, adapted >=24h. Pool donor number unavailable. Mouse newborn keratinocytes and in vivo mouse knockout excluded."
