context_id,species,ancestry,age,sex,tissue,disease,disease_severity,treatment_status,cell_type,cell_state,developmental_state,stimulation,dose,duration,assay,genomic_background,time_point
CTX_1d43a1281f8690bd,Homo sapiens,unavailable,unavailable,unavailable,blood-derived culture,unavailable,unavailable,unavailable,umbilical-vein endothelial cell; neutrophil,unavailable,unavailable,platelet microvesicle transfer,unavailable,4 h endothelial exposure; 30 min adhesion,111In-labeled neutrophil adhesion,unavailable,unavailable
CTX_1e324a40219c9957,Homo sapiens,unavailable,unavailable,unavailable,umbilical vein; peripheral blood for neutrophil adhesion readout,unavailable,unavailable,unavailable,primary HUVEC monolayers; freshly isolated human neutrophils for adhesion endpoint,"primary cultures, tightly confluent for 24 h",unavailable,soluble IL6R; endogenous endothelial IL6,unavailable pending PDF micro-unit verification,4 h,whole-cell lysate immunoblot,unavailable,4 h
CTX_1eb909bfb38bec10,Homo sapiens,unavailable,unavailable,unavailable,bone marrow,healthy,unavailable,unavailable,monocyte,unavailable,unavailable,LPS,unavailable,unavailable,CyTOF phospho-antibody readout,unavailable,unavailable
CTX_1ec0509ad81b415c,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,autologous NK cell with engineered DC,resting NK cells before coculture,unavailable,mRNA electroporation,10 µg IL15 mRNA with or without 10 µg IL15RA mRNA,44-hour priming then 4-hour killing assay,flow cytometric Daudi-cell killing,unavailable,48 hours
CTX_248741c25c8636ad,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,immature monocyte-derived DC,immature,unavailable,unavailable,unavailable,unavailable,surface IL15 flow cytometry with isotype controls; Figure5A,unavailable,unavailable
CTX_25328b0ef00f8fc7,Homo sapiens,unavailable,unavailable,unavailable,blood-derived cell culture supernatant,unavailable,unavailable,unavailable,monocyte-derived macrophage,Human monocytes differentiated on plastic into macrophages,unavailable,No additional cytokine in the imported day6/day9 control conditions,unavailable,6 d differentiation; day6 and day9 supernatant observations,"Heparin–Sepharose concentration of cell-free supernatant, SDS-PAGE and antiMDC monoclonal Western blot",unavailable,Culture day6 and day9
CTX_253602809a7b4e3f,Homo sapiens,unavailable,unavailable,unavailable,cell culture,T-cell lymphoma-derived cell line,unavailable,unavailable,Hut78 T-cell lymphoma cell,Endogenous CCR4-positive human lymphoma line,unavailable,Soluble recombinant human CCL22 concentration series,Concentration response; complete numeric range not transcribed,"5 h at37°C,5%CO2","5 μm ChemoTx;200,000 cells,0.1%BSA/RPMI; migrated cells assessed by counts or CellTiterGlo",unavailable,5 h migration endpoint
CTX_25bae4f7da8b8990,Homo sapiens,unavailable,unavailable,unavailable,umbilical vein,unavailable,unavailable,unavailable,primary human umbilical vein endothelial cells (HUVEC),confluent; passage at most 2; no shear preconditioning,unavailable,IL1B plus laminar shear versus IL1B in static culture,IL1B 0.1 ng/mL; shear 10 dyn/cm²,8–24 h,nonpermeabilized surface E-selectin immunofluorescence,unavailable,8–24 h
CTX_3134732bc8052fc1,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,relapsing-remitting multiple sclerosis and healthy controls,unavailable,unavailable,PBMC,unavailable,unavailable,unavailable,unavailable,unavailable,"RT-qPCR, genotype-stratified PBMC samples",unavailable,unavailable
CTX_333007ffb4149300,Homo sapiens,European (inherited only from explicitly reused GCO01 cohort),unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,LPS,20 ng/mL,24 h,supernatant ELISA with candidate genotype interaction analysis,unavailable,unavailable
CTX_3562d82bc4afc334,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood; isolation details unavailable,unavailable,unavailable,unavailable,T lymphocyte,anti-CD3-activated,unavailable,Recombinant human CCL3 after anti-CD3 activation,unavailable,unavailable,T-cell chemotaxis with migrated-cell phenotyping,unavailable,unavailable
CTX_38e93c4e948c305e,Homo sapiens,European (inherited only from explicitly reused GCO01 cohort),unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,LPS,20 ng/mL,24 h,"supernatant sandwich ELISA; CD127 polyclonal antibodies, Fc-chimera standard",unavailable,24 h
CTX_399d6aa6caa20465,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,monocytes in PBMC preparation for migration; isolated monocytes for binding,freshly isolated; no additional activation assigned to migration/binding arms,unavailable,recombinant human VEGFA165 in lower chamber,10 ng/mL,90 min,microchamber chemotaxis; 5-µm polycarbonate membrane; Diff-Quik counting,unavailable,90 min
CTX_39fd3b84a275bb4b,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,freshly elutriated monocytes,rested for 2 h in RPMI with 2% FBS,unavailable,recombinant IL13,at least 10 ng/mL,30 min,nuclear-extract EMSA with STAT6-binding SBE1 probe,unavailable,30 min
CTX_3c31409e36d4dc06,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,elutriated monocyte,LPS activated,unavailable,LPS,LPS 1 µg/mL,24 hours,cytokine-specific supernatant ELISA,unavailable,24 hours
CTX_3f8bc576458379bf,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood-derived PBMC culture supernatant,healthy volunteers,unavailable,unavailable,peripheral blood mononuclear cell mixture,"Mixed PBMC cultured48 h with LPS, IFNG and IL2",unavailable,LPS plus recombinant human IFNG in the presence of IL2,"PBMC10 million/mL; LPS1 μg/mL, IFNG1000 U/mL, IL2 50 U/mL",48 h culture,Extracellular chemokine protein quantified by Rules Based Medicine; exact platform unspecified,unavailable,48 h conditioned-medium collection
CTX_40392127839de0b7,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,elutriated monocyte,LPS activated,unavailable,LPS,LPS 1 µg/mL; IL10 100 U/mL,24 hours,cytokine-specific supernatant ELISA,unavailable,24 hours
CTX_407a24fb96c8a262,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,purified eosinophil,unavailable,unavailable,IL5 E12K concentration series,series; Figure5B uses 50 nM,72 h,trypan-blue exclusion,unavailable,72 h
CTX_40ddeeeba3d0cbd3,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood-derived culture,healthy donor context for primary Th2 generation; calcium-specific donor metadata unavailable,unavailable,unavailable,Th2 lymphocyte,Chronically activated primary human Th2 cells,unavailable,Recombinant human CCL22,Concentration response; 50 nM first stimulus in separate desensitization panels,Acute calcium trace; exact recording duration unavailable,"Fluo3 4 μM loading;300,000 cells/well;96-well FLIPR",unavailable,Immediately following chemokine addition; numeric interval unavailable
CTX_42c581d04851ea78,Homo sapiens,unavailable,unavailable,unavailable,skin,unavailable,unavailable,unavailable,primary human keratinocyte,"confluent pooled primary culture, >=24h defined-medium adaptation",unavailable,imiquimod with anti-human IL1A or isotype control,imiquimod 50 µg/mL; antibody concentration unavailable,30-min pretreatment; 6-h stimulation,chemokine ELISA,unavailable,6 h
CTX_444cc032c383ab9c,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood; isolation details unavailable,unavailable,unavailable,unavailable,T lymphocyte,anti-CD3-activated,unavailable,Recombinant human CCL4 after anti-CD3 activation,unavailable,unavailable,T-cell chemotaxis with migrated-cell phenotyping,unavailable,unavailable
CTX_448bb5440a8a631b,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,normal donors as described by study,unavailable,No IL5 priming in the extracted Figure 3–4 condition; donor medication unavailable,eosinophil,"Freshly isolated peripheral-blood eosinophils; CD16 microbead isolation, 99% purity",unavailable,CCL11 with or without anti-CCR3 7B11,10 nM CCL11; anti-CCR3 7B11 dose withheld for OCR ambiguity,Antibody precedes chemokine by 40 s; C5a control added 100 s after chemokine,Fura-2-loaded primary eosinophils; spectrofluorimeter calcium fluorescence,unavailable,Acute calcium tracing after ligand addition
CTX_49d955ca81644dfb,Homo sapiens,unavailable,unavailable,unavailable,temporomandibular joint synovium,internal derangement or osteoarthritis ofTMJ,unavailable,unavailable,patient-derived synovial fibroblast,passages6–8;confluent after24h2%FBS,unavailable,IL17A,1ng/mL,24h,conditioned-medium IL6 ELISA,unavailable,24h
CTX_49ec2e87da99aa79,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,B cell,ex vivo,unavailable,unavailable,unavailable,unavailable,purified-cell RNA-seq; cis-eQTL mapping,unavailable,unavailable
CTX_4afed5fcc768a11e,Homo sapiens,unavailable,unavailable,unavailable,blood-derived culture,unavailable,unavailable,unavailable,CD4 T-cell preparation described as memory by authors; precise CD45RA gate unresolved,anti-CD3/anti-CD28 preactivated,unavailable,IL2 plus IL34,IL34 100 versus 0 ng/mL; IL2 500 U/mL per general T-cell expansion Methods,Figure5g: 2 d IL34 after 2 d CD3/CD28 preactivation; main Methods state harvest at 96 h overall,total-cell LC-MS/MS proteomics; aggregate profile comparison,unavailable,96 h overall; Figure5g-specific IL34 timing
CTX_4c9462b72a11696e,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,monocyte and neutrophil,baseline purified cells,unavailable,unavailable,unavailable,unavailable,RNA-seq sQTL mapping and disease-QTL colocalization,unavailable,unavailable
CTX_4cb9108b6921df35,Homo sapiens,unavailable,unavailable,unavailable,blood-derived culture,unavailable,unavailable,unavailable,umbilical-vein endothelial cell; neutrophil,unavailable,unavailable,TNF ± receptor antagonist,TNF 100 U/ml,4 h endothelial exposure,neutrophil adhesion,unavailable,unavailable
CTX_4f993ef7c92b8077,Homo sapiens,unavailable,unavailable,unavailable,cell culture,unavailable,unavailable,unavailable,HeLa,unavailable,unavailable,unavailable,unavailable,unavailable,dual luciferase activity divided by reporter RNA quantified by RT-qPCR,unavailable,unavailable
CTX_50bea541b6d024a5,Homo sapiens,East Asian,mean 57.3 years; SD11.7 (whole study),53.7% female (whole study),plasma,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Olink Explore 3072 and SomaScan v4.1,rs76863441; effect allele unavailable,unavailable
CTX_50d660bf700414d0,Homo sapiens,unavailable,unavailable,Parent cohort14 men/10 women; Figure3 participant sex unavailable,lung allograft; bronchoalveolar lavage,acute lung allograft rejection or bronchiolitis obliterans syndrome,Acute rejection gradesA1–A3 or active BOS,"Postoperative rabbit antithymocyte globulin, then cyclosporinA or tacrolimus, azathioprine or RAD, and prednisone; exact patient doses unavailable",pulmonary CD3-positive T cell,"Ex vivo BAL T cells, >99%CD3-positive after purification",unavailable,Recombinant human CXCL10 ± anti-human CXCR3 mAb,CXCL10 200 ng/mL; antiCXCR3 20 μg/mL,"Antibody30 min at4°C, then migration2 h at37°C","48-well Boyden chamber; fibronectin-coated3 μm filter;50 μL of5 million cells/mL; three fields per well, technical triplicates",unavailable,2 h migration endpoint
CTX_51d57ffcc6dc1c9e,Homo sapiens,unavailable,unavailable,unavailable,lung-allograft biopsy and bronchoalveolar lavage,acute rejectionA1–A3 or BOS,unavailable,"Postoperative rabbit antithymocyte globulin, then cyclosporinA or tacrolimus, azathioprine or RAD, and prednisone; exact patient doses unavailable",alveolar macrophage,Graft-infiltrating alveolar macrophages,unavailable,unavailable,unavailable,unavailable,AntiCXCL10 immunohistochemistry and cytoplasmic flow staining; Figure4A2 representative,unavailable,Rejection-associated biopsy/BAL; exact time after transplant unavailable
CTX_51eaf1c568a5d64b,Homo sapiens,unavailable,unavailable,unavailable,not applicable; cell-free,not applicable,unavailable,unavailable,not applicable; purified recombinant human ligands and receptor-Ig fusion proteins,plate-immobilized ligand,unavailable,LTα1β2 heterotrimer with receptor-Ig fusion,serial titration; exact detection range unavailable,binding incubation duration unavailable,plate ligand/receptor-Ig ELISA,unavailable,binding incubation duration unavailable
CTX_5721ffe14dd9db8e,Homo sapiens,unavailable,unavailable,unavailable,umbilical vein; peripheral blood for neutrophil adhesion readout,unavailable,unavailable,unavailable,primary HUVEC monolayers; freshly isolated human neutrophils for adhesion endpoint,"primary cultures, tightly confluent for 24 h",unavailable,"endogenous IL6 plus soluble IL6R, with anti-IL6 or anti-gp130 blockade",blocker and soluble-receptor concentrations unavailable pending PDF micro-unit verification,90 min blocker preincubation; 4 h stimulation,whole-cell lysate E-selectin immunoblot,unavailable,90 min blocker preincubation; 4 h stimulation
CTX_5bbb610de7a3d1fd,Homo sapiens,unavailable,unavailable,unavailable,temporomandibular joint synovium,temporomandibular disorder,unavailable,unavailable,patient-derived synovial fibroblast,"primary outgrowth synovial fibroblasts, passages6–8;confluent cultures after24h in2%FBS",unavailable,IL17A after inhibitor pretreatment,IL17A 10 ng/mL; inhibitor 1 µM,30-min inhibitor pretreatment plus 8-h IL17A exposure,IL6 ELISA of conditioned medium,unavailable,8 h after IL17A
CTX_5c12473148e01941,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy donor experimental arm,unavailable,unavailable,CD3-negative CD56-positive NK cells gated within PBMC,IL2 preconditioned for 2 d; serum-starved for 1 h,unavailable,IL2 preconditioning then recombinant IL12p70 in DMSO vehicle,IL2 100 IU/mL for 2 d; IL12p70 100 IU/mL; DMSO 0.01%,90 min cytokine pulse after 2 d IL2 and 1 h serum starvation,intracellular anti-pSTAT4Y693 phospho-flow in CD3-negative CD56-positive PBMC gate,unavailable,90 min cytokine pulse after 2 d IL2 and 1 h serum starvation
CTX_5c30675555a93022,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood-derived lymphocytes,unavailable,unavailable,Ex vivo fresh preparation,peripheral blood lymphocyte,Freshly isolated donor-buffy-coat PBL,unavailable,CXCL10/IP10 concentration series,CXCL10 migration concentration series; graph values not digitized; IL2 400 U/mL for cultured arm only,60 min migration; no pre-culture,"48-well NeuroProbe chambers;3 μm membrane;100,000 PBL/upper well;60 min37°C;5 fields counted;triplicate technical wells; no-chemoattractant control",unavailable,60 min migration endpoint
CTX_618c82954b3ee0e5,Homo sapiens,unavailable,unavailable,unavailable,skin,unavailable,unavailable,unavailable,primary human keratinocyte,"confluent pooled primary culture, >=24h defined-medium adaptation",unavailable,imiquimod,unavailable,IL1A detectable increase by3h;extended course includes24h,conditioned-medium IL1A ELISA,unavailable,3h early detectable extracellular increase
CTX_64a063ce3c126d9d,Homo sapiens,Central/South Asian,unavailable,unavailable,plasma,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Olink Explore 3072; inverse-rank-normalized NPX,rs202092481; effect allele nucleotide unavailable,unavailable
CTX_6509627fa9e77b28,Homo sapiens,British ancestry (author wording),unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,central-memory CD4+ T cell,unavailable,unavailable,CD3/CD28 activation study,1:2 Dynabead:cell ratio,"study spans resting control, 16 h, 40 h and 5 d; exact VAMP8 subcluster time unavailable",single-cell RNA-seq aggregated per donor/cluster; tensorQTL,unavailable,unavailable
CTX_6514df7e7dbb898b,Homo sapiens,Caucasian (author label; Figure 6A n=184),unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,monocyte-derived dendritic cell,unavailable,unavailable,IFNB versus resting,unavailable,unavailable,NanoString 415-gene panel; genotype association,unavailable,unavailable
CTX_652915df3b2edcdf,Homo sapiens,unavailable,unavailable,unavailable,not applicable; cell-free,not applicable,unavailable,unavailable,not applicable; purified recombinant human ligands and receptor-Ig fusion proteins,plate-immobilized ligand,unavailable,LTα3 homotrimer with soluble receptor-Ig fusion,serial receptor-fusion titration; coated ligand 0.5–1 µg/mL,binding incubation duration unavailable,plate ligand/receptor-Ig ELISA,unavailable,binding incubation duration unavailable
CTX_6af433622b38141d,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,IL12RB1 deficiency,unavailable,unavailable,PHA-activated T-cell blast,day3 after PHA stimulation,unavailable,IL12,2.5 ng/mL IL12,20 minutes,EMSA with STAT4 supershift,biallelic IL12RB1 loss-of-function,20 minutes
CTX_6dcee583112b4597,Homo sapiens,unavailable,unavailable,unavailable,blood-derived culture,healthy donors,unavailable,unavailable,monocyte-derived dendritic cell,"Monocyte-derived dendritic cells, culture days6–8; 50 ng/mL GM-CSF plus 20 ng/mL IL13",unavailable,Chemically synthesized mature human CCL22,"CCL22 dose response; significant migration from 0.1 ng/mL, maximum1 ng/mL",1.5–2 h migration,"5 μm NeuroProbe microchamber; 27 μL lower stimulus,50 μL upper cells0.7–1.5 million/mL; five fields counted; technical triplicates",unavailable,1.5–2 h migration endpoint after6–8 d differentiation
CTX_6e01c342635e6508,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,NK cell with autologous monocyte-derived DC,CD56brightCD16-negative enriched response,unavailable,mature DC coculture; anti-IL15,anti-IL15 concentration unavailable; CFSE label 5 micromolar for 10 minutes,6 days,CFSE dilution on CD3-negative CD56-positive cells; NK:DC ratio 10:1; blocking antibody at culture start and day3,unavailable,6 days
CTX_736131d999868c3c,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy; nonallergic,unavailable,unavailable,purified eosinophil,unavailable,unavailable,CSF2 with ICAM1 antisense versus sense control,CSF2 10 ng/mL; antisense 50 nM,1-h antisense pretreatment;48-h CSF2 culture,annexin V/7-AAD flow cytometry,unavailable,48 h
CTX_749fe00869857bd7,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood-derived culture,healthy donor context for primary Th2 generation; calcium-specific donor metadata unavailable,unavailable,unavailable,Th2 lymphocyte,Chronically activated primary human Th2 cells,unavailable,Recombinant human CCL17,Concentration response; 50 nM first stimulus in separate desensitization panels,Acute calcium trace; exact recording duration unavailable,"Fluo3 4 μM loading;300,000 cells/well;96-well FLIPR",unavailable,Immediately following chemokine addition; numeric interval unavailable
CTX_75630eed91819500,Homo sapiens,European,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,IFNG,20 ng/mL,24 h,expression microarray and genotype association,unavailable,unavailable
CTX_76a808f3a7dad884,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,freshly elutriated monocytes,rested for 2 h in RPMI with 2% FBS,unavailable,recombinant IL13,0.1 ng/mL,15 min,intracellular anti-pSTAT6Y641 phospho-flow,unavailable,15 min
CTX_78d1d19c8183a8d3,Homo sapiens,unavailable,unavailable,unavailable,temporomandibular joint synovium,temporomandibular disorder,unavailable,unavailable,patient-derived synovial fibroblast,"primary outgrowth synovial fibroblasts, passages6–8;confluent cultures after24h in2%FBS",unavailable,IL17A after inhibitor pretreatment,IL17A 10 ng/mL; inhibitor 20 µM,30-min pretreatment plus 8-h IL17A,IL6 ELISA of conditioned medium,unavailable,8 h after IL17A
CTX_7d613a90b6edd110,Homo sapiens,European,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,unstimulated versus LPS,LPS 20 ng/mL,24 h for LPS,Illumina HumanHT-12 v4 expression microarray; HumanOmniExpress genotyping,unavailable,unavailable
CTX_7f7b1f22a4433cb1,Homo sapiens,unavailable,16–18weeks gestation versus term>37weeks,unavailable,amniotic fluid,unavailable,unavailable,unavailable,cell-free biofluid;source cells unresolved,unavailable,unavailable,unavailable,unavailable,unavailable,Biosource IL16 ELISA;1:2sample dilution;sensitivity23pg/mL,unavailable,collection at16–18weeks or term
CTX_7faa68935984cbf3,Homo sapiens,British/Irish; Icelandic,unavailable,unavailable,plasma,inflammatory bowel disease,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Olink Explore 3072; two SomaScan v4 reagents,unavailable,unavailable
CTX_82e7e21289fdd9eb,Homo sapiens,European,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,IFNG,20 ng/mL,24 h,expression microarray and genotype association,unavailable,24 h
CTX_8bda07cdf74f683d,Homo sapiens,unavailable,unavailable,unavailable,umbilical vein; peripheral blood for neutrophil adhesion readout,unavailable,unavailable,unavailable,primary HUVEC monolayers; freshly isolated human neutrophils for adhesion endpoint,"primary cultures, tightly confluent for 24 h",unavailable,IL6 without added soluble IL6R,100 ng/mL,4 h HUVEC activation; 5 min adhesion,111In-labeled neutrophil adhesion,unavailable,4 h HUVEC activation; 5 min adhesion
CTX_8ca93c7e7cad3abd,Homo sapiens,unavailable,unavailable,unavailable,not applicable; cell-free,not applicable,unavailable,unavailable,not applicable; purified recombinant human ligands and receptor-Ig fusion proteins,plate-immobilized ligand,unavailable,LTα1β2 heterotrimer with soluble receptor-Ig fusion,serial receptor-fusion titration; coated ligand 0.5–1 µg/mL,binding incubation duration unavailable,plate ligand/receptor-Ig ELISA,unavailable,binding incubation duration unavailable
CTX_8d9c6d575f19e6c3,Homo sapiens,European American/Caucasian analysis restriction (author labels),unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD4+ T cell,unavailable,unavailable,anti-CD3/CD28,unavailable,unavailable,ImmVar transcript reQTL reanalysis,unavailable,unavailable
CTX_8de117cd2f6439c8,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,purified eosinophil,unavailable,unavailable,IL5 E12K concentration response,up to1µM,30min,"IgG-coated plate adhesion;wash,lysis,endogenous-peroxidase colorimetry",unavailable,30min
CTX_8ed1428d496379ac,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,CD14-positive monocyte,unavailable,unavailable,unavailable,unavailable,unavailable,REAP-seq and flow cytometry,unavailable,unavailable
CTX_905f6dde76ef3b9d,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,"lymphocyte preparation, >85% CD3+ cells",quiescent,unavailable,IL2 alone,unavailable,48 h,propidium-iodide DNA-content flow cytometry; S+G2+M fraction,unavailable,48 h
CTX_92860b268da73286,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,monocytes in PBMC preparation for migration; isolated monocytes for binding,freshly isolated; no additional activation assigned to migration/binding arms,unavailable,radiolabeled recombinant human VEGFA165; excess unlabeled competitor,increasing concentrations; half-maximal binding reported 1–1.5 nmol/L,3 h on ice,whole-cell radioligand binding; gamma counting; 100-fold excess competitor for nonspecific binding,unavailable,3 h on ice
CTX_92aada0f12cb1b34,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood; isolation details unavailable,unavailable,unavailable,unavailable,T lymphocyte,unstimulated comparator; isolation/culture history unavailable,unavailable,Recombinant human CCL3; no anti-CD3 stimulation,unavailable,unavailable,T-cell chemotaxis,unavailable,unavailable
CTX_9524bf990a055fda,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood; purification protocol comparison,unavailable,unavailable,unavailable,T lymphocyte,rapidly purified; no anti-CD3 stimulation,unavailable,Recombinant human CCL4,unavailable,unavailable,Microchemotaxis assay with extracellular-matrix/purification comparison,unavailable,unavailable
CTX_981252f5dec3b8ed,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood; isolation details unavailable,unavailable,unavailable,unavailable,T lymphocyte,unstimulated comparator; isolation/culture history unavailable,unavailable,Recombinant human CCL4; no anti-CD3 stimulation,unavailable,unavailable,T-cell chemotaxis,unavailable,unavailable
CTX_9ab0a6ea73cfc33d,Homo sapiens,unavailable,unavailable,unavailable,bone marrow,healthy,unavailable,unavailable,mature B lymphocyte,IL3RA-positive,unavailable,IL3,unavailable,unavailable,CyTOF phospho-antibody readout,unavailable,unavailable
CTX_9ab3419a34684c47,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,T cell,ex vivo,unavailable,unavailable,unavailable,unavailable,purified-cell RNA-seq; cis-eQTL mapping,unavailable,unavailable
