cohort_id,dataset_id,accession,study_id,participants,ancestry,species,tissue,cell_type,disease,intervention,sample_count,donor_count,parent_cohort,related_publications,independence_status,notes
GCO04,GDS04,unavailable,G02,C57BL/6 enhancer-edited mice and wild-type littermates,unavailable,Mus musculus,spleen and peripheral lymph nodes,naive CD4+ CD62L+ CD44- T cell,no induced disease,human rs61839660-equivalent SNP knock-in; anti-CD3/CD28 stimulation,"Figure 3d SNP n=6, wild-type n=10; 12DEL n=5 not pooled into SNP comparison",unavailable,unavailable,"[""G02""]",unresolved,Separate from NOD-background EDEL experiments and human ImmVar. Allele effect on mouse surface IL2RA is context-specific. No human disease phenotype proof.
GCO05,GDS05,unavailable,G03,HeLa cell line,unavailable,Homo sapiens,cell culture,HeLa,unavailable,allele-specific IL7R splicing and DDX39B 5-prime UTR reporters; DDX39B siRNA where indicated,biological triplicates; knockdown experiments repeated three times,unavailable,unavailable,"[""G03""]",unresolved,"Reporter experiments share laboratory system. GSE94730 belongs to RNA-seq experiments in this paper, not asserted to identify these reporter wells."
GCO06,GDS06,unavailable,G03,6,unavailable,Homo sapiens,peripheral blood,primary CD4+ T cell,healthy,anti-CD3/CD28 activation; DDX39B sh3/sh5 knockdown; IL2 culture then withdrawal before collection,6,6,unavailable,"[""G03""]",unresolved,Healthy donors stratified as IL7R rs6897932 CC or CT; no TT donor comparison. Individual donor samples are repeated across shRNA conditions.
GCO07,GDS07,unavailable,G03,52,"Yoruba/Esan in Nigeria (YRI/ESN), 25; Iberian in Spain (IBS), 27",Homo sapiens,lymphoblastoid cell culture,lymphoblastoid cell line,unavailable,genotype-stratified RNA/protein measurement,unavailable,52,unavailable,"[""G03""]",unresolved,"Figure 3 experimental LCL panel, distinct per authors from earlier Wu 2013 YRI/CEU proteomics dataset. Within-panel genotype counts: African CC12/AC11/AA2; Iberian CC12/AC12/AA3. Do not merge with historical CEU null result as one population."
GCO08,GDS08,unavailable,G03,86,unavailable,Homo sapiens,peripheral blood,PBMC,relapsing-remitting multiple sclerosis and healthy controls,genotype-stratified DDX39B RNA measurement,unavailable,86,unavailable,"[""G03""]",unresolved,Figure 3B counts CC32/AC31/AA23. Case/control split and ancestry not recovered. Not the six-cohort MS association meta-analysis.
GCO09,GDS09,phs001703.v1.p1,G04,91,unavailable,Homo sapiens,peripheral blood,13 purified immune cell types plus activated naive CD4/CD8 T cells,healthy,ex vivo profiling; T-cell activation in separate conditions,106 leukapheresis collections including 15 longitudinal repeat collections,91,unavailable,"[""G04""]",unresolved,"DICE phase 1, San Diego Blood Bank. 54 male/37 female; median age 27 (18–61). Self-reported race/ethnicity in Table S1A, not fully extracted; ancestry unavailable rather than assumed European. Same donors across 15 cell conditions."
GCO10,GDS10,unavailable,G04,13,unavailable,Homo sapiens,peripheral blood,naive CD4+ T cell,healthy,pre-coated anti-CD3 10 micrograms/mL; soluble anti-CD28 1 microgram/mL; IL7 5 ng/mL; surface 4-1BB flow cytometry,unavailable,13,unavailable,"[""G04""]",unresolved,"Figure 3K genotype-selected follow-up. Exact overlap with the 91-person DICE discovery cohort not verified; conservatively share study evidence group, not independent replication."
GCO11,GDS11,EGAS00001001456,G05,200 recruited; up to 197 analyzed,unavailable,Homo sapiens,peripheral blood,classical CD14+ CD16- monocytes; CD66b+ CD16+ neutrophils; phenotypically naive CD4+ CD45RA+ T cells,healthy,baseline purified-cell multiomic profiling,unavailable,197,unavailable,"[""G05""]",unresolved,"BLUEPRINT human variation panel: 169/200 recruited donors extended to naive T cells; 54% female, mean age 55. UK blood-donor population. Genetic PCA European-ancestry criterion shown in Figure S2; exact retained ancestry breakdown not verified, so ancestry unavailable. Other BLUEPRINT publications are potential reuse, not new donors."
GCO12,GDS12,unavailable,G06,982,unavailable,Homo sapiens,peripheral blood,14 PBMC immune cell types,healthy,single-cell RNA-seq; no stimulation stated in abstract,"1,267,758 PBMCs (cells, not independent donors)",982,unavailable,"[""G06""]",unresolved,"OneK1K original cohort. GSE196830 identified in later primary-source data availability, but not independently checked against original deposition here. Ancestry/age/sex unavailable from inspected original abstract. Later OneK1K reuse is not independent evidence."
GCO13,GDS13,"[""EGAD00001008197"",""EGAD00010002291""]",G07,119,British ancestry (author wording),Homo sapiens,peripheral blood,naive and memory CD4+ T cells,healthy,"anti-CD3/CD28 Dynabeads 1:2 bead:cell ratio; 16 h, 40 h, 5 d; negative controls cultured 16 h without beads","655,349 cells",119,unavailable,"[""G07""]",unresolved,"67 male/52 female, mean age 47, SD15.61. Author-reported sex percentages (53.7%/56.3%) are inconsistent with counts and are not propagated. Donors modeled as repeated measures; subclusters are not independent cohorts. Cell culture time of resting comparator is not zero elapsed time."
GCO14,GDS14,unavailable,G08,four family-based or case-control datasets; sizes unavailable,unavailable,Homo sapiens,peripheral blood,unavailable,multiple sclerosis and comparison participants,genetic association,unavailable,unavailable,unavailable,"[""G08""]",unresolved,Authors describe four independent datasets within paper; individual cohort identities and overlap with later MS studies unresolved. Do not infer four independent weights from this abstract.
GCO15,GDS15,GSE57542,G09,534,"295 Caucasians, 122 African-Americans, 117 East Asians (original study labels)",Homo sapiens,peripheral blood,monocyte-derived dendritic cell,healthy,"LPS, influenza infection, IFNB stimulation, or resting",1598 transcriptional profiles; preliminary microarray panel 30 donors,534,unavailable,"[""G09""]",unresolved,PhenoGenetic/ImmVar-associated study. Disease-locus example Figure 6A uses 184 Caucasians (author wording). Cell differentiation is ex vivo; no direct extrapolation to tissue-resident DC. Discovery-panel overlap with 534 and overlap with GCO02 unresolved.
GCO16,GDS16,unavailable,G10,161,European (inherited only from explicitly reused GCO01 cohort),Homo sapiens,peripheral blood,CD14+ monocyte,healthy,LPS 20 ng/mL for 24 h; supernatant ELISA,161,161,GCO01,"[""G01"",""G10""]",unresolved,Figure 3a and Results explicitly identify randomly selected samples from previous eQTL study. Known reuse; exact donor matching not available. Must share biological independence group with GCO01.
GCO17,GDS17,unavailable,G10,62,unavailable,Homo sapiens,peripheral blood,CD14+ monocytes gated in PBMC,healthy,"TNF 10 ng/mL, 24 h",62,62,unavailable,"[""G10""]",unresolved,Figure 2e genotyped TNF arm; larger paper also has isolated-monocyte n84 and other PBMC panels. Do not sum panels as independent donors; overlap among panels and with original Fairfax cohort unresolved.
P_C01,immprot human immune-cell atlas,unavailable,P_S01,unavailable,unavailable,Homo sapiens,blood,28 hematopoietic populations,unavailable,unavailable,unavailable,unavailable,unavailable,"[""P_S01""]",unresolved,No raw donor manifest inspected. IL34 validation subset contains 2 donors and 4 culture replicates; these are not 4 independent people.
P_C01_IL34,Rieckmann IL34 validation cultures,unavailable,P_S01,2 human donors,unavailable,Homo sapiens,blood-derived culture,memory CD4 T cells,unavailable,anti-CD3/anti-CD28 followed by IL2 with IL34,4 culture replicates per described comparison,2,P_C01,"[""P_S01""]",unresolved,Supplementary Fig. 5g. Donor overlap with atlas main experiment unresolved.
P_C02,Bendall bone-marrow mass-cytometry experiment,unavailable,P_S02,2 healthy donors,unavailable,Homo sapiens,bone marrow,bone-marrow mononuclear cells,healthy,ex vivo stimuli and kinase inhibitors,unavailable,2,unavailable,"[""P_S02""]",unresolved,Two bone-marrow donors in main text. Separate two-donor PBMC platform comparison is not pooled into this cohort.
P_C03,CITE-seq cord blood mononuclear cells,GSE100866,P_S03,unavailable,unavailable,Homo sapiens,cord blood,cord blood mononuclear cells; NK subsets,unavailable,unavailable,8005 human cells,unavailable,unavailable,"[""P_S03""]",unresolved,Cell count is not donor count. Mouse spike-in controls are excluded from human assertions. RNA/protein measurements share cells.
P_C04,REAP-seq CD27 perturbation,GSE100501,P_S04,3 healthy donors,unavailable,Homo sapiens,peripheral blood,enriched naive CD8 T cells,healthy,anti-CD3/anti-CD28 with or without bead-bound anti-CD27 for 3 days,unavailable,3,unavailable,"[""P_S04""]",unresolved,Paired treatment conditions within each donor. Unequal recovered cell numbers and viable-cell sorting; cells cannot be treated as independent donors.
P_C04_PBMC,REAP-seq PBMC benchmark AllCells PB003F LotA5051,GSE100501,P_S04,1 commercial PBMC donor,unavailable,Homo sapiens,peripheral blood,PBMCs,unavailable,unavailable,7271 REAP-seq cells,1,unavailable,"[""P_S04""]",unresolved,REAP and flow cytometry compare aliquots from same donor; no independent replication across platforms. Overlap with CD27 donors not documented.
P_C05,UKB-PPP,unavailable,P_S05,54219,unavailable,Homo sapiens,plasma,unavailable,population cohort; multiple phenotypes,unavailable,unavailable,54219,UK Biobank,"[""P_S05"",""P_S06""]",unresolved,"54,219 profiled participants; analysis-specific sample counts differ. UKB participants in Eldjarn are overlapping reuse, not additional evidence from an independent cohort."
P_C05_CSA,UKB-PPP Central/South Asian ancestry pQTL subset,unavailable,P_S05,920,Central/South Asian (pan-UKBB definition),Homo sapiens,plasma,unavailable,unavailable,unavailable,unavailable,920,P_C05,"[""P_S05""]",unresolved,Analysis-specific ancestry subset; do not add it to parent sample count.
P_C06,UKB-BI and Iceland comparison,unavailable,P_S06,UKB-BI 46218 with Olink; Iceland 35892 with SomaScan,British/Irish and Icelandic,Homo sapiens,plasma,unavailable,IBD and controls,unavailable,unavailable,unavailable,UK Biobank; deCODE Iceland,"[""P_S05"",""P_S06"",""Ferkingstad et al. 2021""]",unresolved,"Comparison bundle, not an independent pooled cohort. UKB component reuses UKB-PPP; Iceland component reuses deCODE samples. IBD cases: UKB-BI 900; Iceland 618. A paired 1514-Icelander assay subset is nested in 35892, not extra participants. Exact overlap with external publications unresolved."
P_C07,China Kadoorie Biobank IHD case-subcohort,unavailable,P_S07,3976,Chinese; East Asian genetic population,Homo sapiens,plasma,unavailable,1951 incident IHD cases; 2025 subcohort participants,unavailable,unavailable,3976,China Kadoorie Biobank,"[""P_S07""]",unresolved,"Same samples on both platforms; 53.7% female, mean age 57.3 years (SD 11.7). Cohort identity distinguishes it from UKB/deCODE; participant-level overlap across other CKB publications not inspected."
P_C08,Lindemann platelet/fibrin and endothelial experiments,unavailable,P_S08,unavailable,unavailable,Homo sapiens,blood-derived platelets and neutrophils; cultured umbilical-vein endothelium,platelets; endothelial cells; neutrophils,unavailable,platelet agonists; transferred microvesicles; IL1 receptor antagonist,unavailable,unavailable,unavailable,"[""P_S08""]",unresolved,"Fig. 2B n=6 experiments, Fig. 4A/B n=3 experiments; donor count unavailable. Replicate experiments are not assumed to represent distinct donors."
