record_id,evidence_id,target_entity_id,measurement,platform,biological_matrix,reagent,isoform,limit_of_detection,normalization,peptide_uniqueness,localization,cross_reactivity
PROT_G-A005,EV_G-A005,ENT_86e2db569151aca0,protein_activity,heterologous enhancer luciferase reporter,cell culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Reporter enzymatic signal is a regulatory readout, not measured endogenous IL2RA RNA or cytokine responsiveness. No native human allele replacement."
PROT_G-A007,EV_G-A007,ENT_7f51448c358ce873,protein_abundance,CRISPR knock-in followed by flow cytometry,spleen and peripheral lymph nodes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Separate from human evidence and from NOD EDEL deletion experiments. Not complete loss of receptor, signaling assay or proof of human autoimmunity."
PROT_G-A009,EV_G-A009,ENT_871fc15775c83f06,protein_activity,dual luciferase activity divided by reporter RNA quantified by RT-qPCR,cell culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Not a direct endogenous DDX39B protein measurement or native allele edit. Does not imply an eQTL for RNA abundance.
PROT_G-A012,EV_G-A012,ENT_c88d1e5e3d2d4db0,secreted_protein,supernatant ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Authors state ELISA antibody can detect all IL7R isoforms; unexplained sh5 discordance. Do not infer uniform secretion change from exon skipping.
PROT_G-A015,EV_G-A015,ENT_65e629cd13524598,protein_abundance,flow cytometry in 13 genotype-selected subjects,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Other activation markers CD69/CD25/HLA-DR did not share the effect. Protein validation does not establish signaling, clinical response or causal variant localization."
PROT_G-A023,EV_G-A023,ENT_50077e6edf47f2d5,protein_abundance,surface flow cytometry; genotype association,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PBMC-gated monocytes, not purified-cell intrinsic effect proof. TNF context differs from the LPS soluble-protein arm. No direct measurement of receptor signaling."
PROT_G-A024,EV_G-A024,ENT_c88d1e5e3d2d4db0,secreted_protein,"supernatant sandwich ELISA; CD127 polyclonal antibodies, Fc-chimera standard",peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Known donor reuse from G01. ELISA does not independently identify splice origin versus all extracellular isoforms or prove IL7 availability/activity.
PROT_G-A025,EV_G-A025,ENT_c88d1e5e3d2d4db0,secreted_protein,supernatant ELISA with candidate genotype interaction analysis,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Minor-allele frequency limits power. Monocyte LPS context differs from HeLa reporter and activated CD4 T-cell experiments; this null does not refute their context-specific effects.
PROT_P_A01,EV_P_A01,ENT_70a95e777b2ace92,protein_abundance,mass spectrometry,blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Aggregate profile assertion only; no individual protein, receptor dependence or function is established here. Main data matrix not reviewed."
PROT_P_A02,EV_P_A02,ENT_7bfd7fdddd57392b,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function."
PROT_P_A03,EV_P_A03,ENT_916d7f0b5f44ae3c,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function."
PROT_P_A04,EV_P_A04,ENT_916d7f0b5f44ae3c,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function."
PROT_P_A05,EV_P_A05,ENT_4a43549f9f661137,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function."
PROT_P_A06,EV_P_A06,ENT_649e4f9ac17b6ad6,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function. The saved source has a panel-label discrepancy: main text cites Fig. 5C for STAT5, while the Fig. 5 legend labels STAT5 B and PLC-gamma-2 C; use the specific STAT5 passage."
PROT_P_A07,EV_P_A07,ENT_e692baa1b3e0fce6,protein_abundance,CITE-seq antibody-derived tags,cord blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Subset definitions derive from CD56 protein. Donor-level uncertainty and direction not extracted; no cytotoxicity inferred.
PROT_P_A08,EV_P_A08,ENT_5f0dfc075a0530c6,protein_abundance,CITE-seq antibody-derived tags,cord blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,A low-abundance assay null does not prove protein absence.
PROT_P_A09,EV_P_A09,ENT_50077e6edf47f2d5,protein_abundance,REAP-seq,peripheral blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Three donors; endpoint depends on co-stimulation and viable-cell selection. No receptor-response or functional outcome inferred.
PROT_P_A11,EV_P_A11,ENT_17d9586a5c5fa616,protein_abundance,REAP-seq,peripheral blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Three donors; endpoint depends on co-stimulation and viable-cell selection. No receptor-response or functional outcome inferred.
PROT_P_A13,EV_P_A13,ENT_ea61d535e6dc0e64,protein_abundance,REAP-seq and flow cytometry,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,One donor; surface availability is not receptor function.
PROT_P_A18,EV_P_A18,ENT_a923bdcc563c65cc,protein_abundance,ELISA; 35S labeling and immunoprecipitation,blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Small experiment series; donors unavailable. Source has 8 h versus 18 h microvesicle timing discrepancy.
PROT_P_A19,EV_P_A19,ENT_54b3af75e0fcfbf5,secreted_protein,fractionation and mature-IL1B ELISA,blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Small experiment series; donors unavailable. Source has 8 h versus 18 h microvesicle timing discrepancy.
