assertion_id,subject_id,predicate,object_id,context_id,measurement,direction,evidence_tier,status,qualitative_confidence,contradiction_group,candidate_path
G-A025,ENT_d9d2ec0b1f21b24b,has_no_detected_effect_on_supernatant_protein,ENT_c88d1e5e3d2d4db0,CTX_333007ffb4149300,secreted_protein,null,G1,reviewed,moderate,G-CX-DDX39B-IL7R-context,unavailable
P_A01,ENT_9628edc14de72e62,changes,ENT_70a95e777b2ace92,CTX_d9139ebbb085d729,protein_abundance,association,P2,needs_full_text,low,unavailable,unavailable
P_A02,ENT_ff24e6b81557dfad,increases_phosphorylation,ENT_7bfd7fdddd57392b,CTX_0972aa9f934bb892,protein_activity,increase,P2,reviewed,moderate,unavailable,unavailable
P_A03,ENT_9910df1d759bdaf7,does_not_induce_detectable_phosphorylation,ENT_916d7f0b5f44ae3c,CTX_9ab0a6ea73cfc33d,protein_activity,null,P2,reviewed,moderate,P_IL3RA_response_boundary,unavailable
P_A04,ENT_9d79226ed7ba388c,increases_phosphorylation,ENT_916d7f0b5f44ae3c,CTX_ed5753bd7090c0c5,protein_activity,increase,P2,reviewed,moderate,P_IL3RA_response_boundary,unavailable
P_A05,ENT_1ed823f665a6a54b,increases_phosphorylation,ENT_4a43549f9f661137,CTX_1eb909bfb38bec10,protein_activity,increase,perturbational,reviewed,moderate,unavailable,unavailable
P_A06,ENT_dc4564b108519c43,does_not_reduce_detectably,ENT_649e4f9ac17b6ad6,CTX_d392f27dd8c3ba97,protein_activity,null,perturbational,reviewed,moderate,unavailable,unavailable
P_A07,ENT_ec793c0d8c89a973,is_associated_with_different_distribution,ENT_e692baa1b3e0fce6,CTX_f16b236179d8fd1d,protein_abundance,association,observational,needs_full_text,moderate,unavailable,unavailable
P_A08,ENT_ec793c0d8c89a973,shows_no_reported_difference,ENT_5f0dfc075a0530c6,CTX_f16b236179d8fd1d,protein_abundance,null,observational,needs_full_text,moderate,unavailable,unavailable
P_A09,ENT_88feb3b9ca14e788,changes,ENT_50077e6edf47f2d5,CTX_aeb0218618294f39,protein_abundance,decrease,perturbational,reviewed,moderate,P_IL7R_paired_layers,unavailable
P_A10,ENT_88feb3b9ca14e788,changes,ENT_08968262c79cdfa7,CTX_aeb0218618294f39,RNA_abundance,decrease,perturbational,reviewed,moderate,P_IL7R_paired_layers,unavailable
P_A11,ENT_88feb3b9ca14e788,changes,ENT_17d9586a5c5fa616,CTX_aeb0218618294f39,protein_abundance,increase,perturbational,reviewed,moderate,P_ICOS_RNA_protein_discordance,unavailable
P_A12,ENT_88feb3b9ca14e788,changes,ENT_041d2cfb29a3e067,CTX_aeb0218618294f39,RNA_abundance,null,perturbational,reviewed,moderate,P_ICOS_RNA_protein_discordance,unavailable
P_A13,ENT_e0272f4bc23312cf,has_detectable_surface_protein,ENT_ea61d535e6dc0e64,CTX_8ed1428d496379ac,protein_abundance,association,observational,reviewed,moderate,unavailable,unavailable
P_A14,ENT_4ef3e5bae2c77085,is_associated_with_lower,ENT_d00fa27e685171e9,CTX_64a063ce3c126d9d,association,decrease,G2,reviewed,moderate,unavailable,unavailable
P_A15,ENT_0d0eeea56efc3208,has_platform_or_cohort_discordant_association,ENT_030d22676eedca56,CTX_dfd3a9f5d14767bf,association,association,observational,reviewed,moderate,P_IL6_IBD_platform_discordance,unavailable
P_A16,ENT_a7926543f6d04df4,has_reagent_dependent_association,ENT_030d22676eedca56,CTX_7faa68935984cbf3,association,association,observational,reviewed,moderate,P_CXCL9_IBD_reagent_discordance,unavailable
P_A17,ENT_95fba28cf68386f8,is_associated_in_cis_with,ENT_e3e64decadf38f83,CTX_50bea541b6d024a5,association,association,G2,reviewed,moderate,unavailable,unavailable
P_A18,ENT_6d9356029e40987d,increases_synthesis,ENT_a923bdcc563c65cc,CTX_e1d773705c75adab,protein_abundance,increase,perturbational,reviewed,moderate,unavailable,unavailable
P_A19,ENT_1c6a23f4c7653560,releases,ENT_54b3af75e0fcfbf5,CTX_ace900f31ea1273b,secreted_protein,increase,perturbational,reviewed,moderate,unavailable,unavailable
P_A20,ENT_203abc627abbbaa5,increases,ENT_7ef97468222a6bbb,CTX_1d43a1281f8690bd,cellular_phenotype,increase,P3,reviewed,moderate,unavailable,platelet -> extracellular IL1B-containing fraction -> endothelial response -> neutrophil adhesion
P_A21,ENT_8f3c6894eb2ae018,reduces,ENT_6b5ebee82dd77bee,CTX_a24a22ebaabae4b0,cellular_phenotype,decrease,P3,reviewed,moderate,unavailable,P_A19 -> P_A20; receptor-dependent component supported
P_A22,ENT_8f3c6894eb2ae018,does_not_inhibit,ENT_9d5c95971a8fae67,CTX_4cb9108b6921df35,cellular_phenotype,null,perturbational,reviewed,low,unavailable,unavailable
