prior_id,assertion_id,parameter_family,distribution,parameters,estimate,estimate_without_journal,independent_groups,calibration_status,availability,rationale
PRIOR_C-A04_effect_class,C-A04,effect_class,categorical_annotation,"{""observed_direction"":""increase""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A04_existence,C-A04,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A04_expression,C-A04,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A04_genetic_modifier,C-A04,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A04_human_transportability,C-A04,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A04_magnitude,C-A04,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A04_protein_availability,C-A04,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A04_temporal,C-A04,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A05_context_specific,C-A05,context_specific,categorical_annotation,"{""context_id"":""CTX_1891c32fe94ea351""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A05_direction,C-A05,direction,Dirichlet,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A05_effect_class,C-A05,effect_class,categorical_annotation,"{""observed_direction"":""increase""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A05_existence,C-A05,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A05_expression,C-A05,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A05_genetic_modifier,C-A05,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A05_human_transportability,C-A05,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A05_magnitude,C-A05,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A05_protein_availability,C-A05,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A05_temporal,C-A05,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A06_context_specific,C-A06,context_specific,categorical_annotation,"{""context_id"":""CTX_9f06eda20f5542b6""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A06_direction,C-A06,direction,Dirichlet,"{""alpha"":[1.0,2.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A06_effect_class,C-A06,effect_class,categorical_annotation,"{""observed_direction"":""decrease""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A06_existence,C-A06,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A06_expression,C-A06,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A06_genetic_modifier,C-A06,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A06_human_transportability,C-A06,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A06_magnitude,C-A06,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A06_protein_availability,C-A06,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A06_temporal,C-A06,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A07_context_specific,C-A07,context_specific,categorical_annotation,"{""context_id"":""CTX_9f06eda20f5542b6""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A07_direction,C-A07,direction,Dirichlet,"{""alpha"":[1.0,2.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A07_effect_class,C-A07,effect_class,categorical_annotation,"{""observed_direction"":""decrease""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A07_existence,C-A07,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A07_expression,C-A07,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A07_genetic_modifier,C-A07,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A07_human_transportability,C-A07,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A07_magnitude,C-A07,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A07_protein_availability,C-A07,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A07_temporal,C-A07,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A08_context_specific,C-A08,context_specific,categorical_annotation,"{""context_id"":""CTX_3c31409e36d4dc06""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A08_direction,C-A08,direction,Dirichlet,"{""alpha"":[1.5,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A08_effect_class,C-A08,effect_class,categorical_annotation,"{""observed_direction"":""increase""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A08_existence,C-A08,existence,Beta,"{""alpha"":1.5,""beta"":1.0}",0.6,0.6,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A08_expression,C-A08,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A08_genetic_modifier,C-A08,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A08_human_transportability,C-A08,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A08_magnitude,C-A08,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A08_protein_availability,C-A08,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A08_temporal,C-A08,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A09_context_specific,C-A09,context_specific,categorical_annotation,"{""context_id"":""CTX_40392127839de0b7""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A09_direction,C-A09,direction,Dirichlet,"{""alpha"":[1.0,2.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A09_effect_class,C-A09,effect_class,categorical_annotation,"{""observed_direction"":""decrease""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A09_existence,C-A09,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A09_expression,C-A09,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A09_genetic_modifier,C-A09,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A09_human_transportability,C-A09,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A09_magnitude,C-A09,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A09_protein_availability,C-A09,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A09_temporal,C-A09,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A10_context_specific,C-A10,context_specific,categorical_annotation,"{""context_id"":""CTX_b4e83cbed949d2c2""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A10_direction,C-A10,direction,Dirichlet,"{""alpha"":[1.0,2.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A10_effect_class,C-A10,effect_class,categorical_annotation,"{""observed_direction"":""decrease""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A10_existence,C-A10,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A10_expression,C-A10,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A10_genetic_modifier,C-A10,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A10_human_transportability,C-A10,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A10_magnitude,C-A10,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A10_protein_availability,C-A10,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A10_temporal,C-A10,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A11_context_specific,C-A11,context_specific,categorical_annotation,"{""context_id"":""CTX_18d2ba6c1ac37ada""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A11_direction,C-A11,direction,Dirichlet,"{""alpha"":[1.0,2.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A11_effect_class,C-A11,effect_class,categorical_annotation,"{""observed_direction"":""decrease""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A11_existence,C-A11,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A11_expression,C-A11,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A11_genetic_modifier,C-A11,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A11_human_transportability,C-A11,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A11_magnitude,C-A11,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A11_protein_availability,C-A11,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A11_temporal,C-A11,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A12_context_specific,C-A12,context_specific,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A12_direction,C-A12,direction,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A12_effect_class,C-A12,effect_class,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A12_existence,C-A12,existence,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A12_expression,C-A12,expression,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A12_genetic_modifier,C-A12,genetic_modifier,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A12_human_transportability,C-A12,human_transportability,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A12_magnitude,C-A12,magnitude,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A12_protein_availability,C-A12,protein_availability,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A12_temporal,C-A12,temporal,unavailable,{},,,0,uncalibrated,withheld,Contested/incomplete extraction withheld.
PRIOR_C-A13_context_specific,C-A13,context_specific,categorical_annotation,"{""context_id"":""CTX_d796ed621a19482c""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A13_direction,C-A13,direction,Dirichlet,"{""alpha"":[1.5,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A13_effect_class,C-A13,effect_class,categorical_annotation,"{""observed_direction"":""increase""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A13_existence,C-A13,existence,Beta,"{""alpha"":1.5,""beta"":1.0}",0.6,0.6,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A13_expression,C-A13,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A13_genetic_modifier,C-A13,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A13_human_transportability,C-A13,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A13_magnitude,C-A13,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A13_protein_availability,C-A13,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A13_temporal,C-A13,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A14_context_specific,C-A14,context_specific,categorical_annotation,"{""context_id"":""CTX_f3e507c8140ad4af""}",,,0,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A14_direction,C-A14,direction,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A14_effect_class,C-A14,effect_class,categorical_annotation,"{""observed_direction"":""null""}",,,0,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A14_existence,C-A14,existence,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A14_expression,C-A14,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A14_genetic_modifier,C-A14,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A14_human_transportability,C-A14,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A14_magnitude,C-A14,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A14_protein_availability,C-A14,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A14_temporal,C-A14,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A15_context_specific,C-A15,context_specific,categorical_annotation,"{""context_id"":""CTX_9d934e5df1446240""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A15_direction,C-A15,direction,Dirichlet,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A15_effect_class,C-A15,effect_class,categorical_annotation,"{""observed_direction"":""increase""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A15_existence,C-A15,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A15_expression,C-A15,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A15_genetic_modifier,C-A15,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A15_human_transportability,C-A15,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A15_magnitude,C-A15,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A15_protein_availability,C-A15,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A15_temporal,C-A15,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A16_context_specific,C-A16,context_specific,categorical_annotation,"{""context_id"":""CTX_1ec0509ad81b415c""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A16_direction,C-A16,direction,Dirichlet,"{""alpha"":[3.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A16_effect_class,C-A16,effect_class,categorical_annotation,"{""observed_direction"":""increase""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
