record_id,evidence_id,target_entity_id,measurement,platform,biological_matrix,reagent,isoform,limit_of_detection,normalization,peptide_uniqueness,localization,cross_reactivity
PROT_C-A23,EV_C-A23,ENT_e09152e8c4ddcab6,protein_activity,EMSA with STAT4 supershift,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Natural receptor deficiency; linked background differences; PHA blasts differ from T-cell clone secretion assay.
PROT_C-A24,EV_C-A24,ENT_e09152e8c4ddcab6,protein_activity,EMSA with STAT4 supershift,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Natural receptor deficiency; linked background differences; PHA blasts differ from T-cell clone secretion assay.
PROT_G-A005,EV_G-A005,ENT_86e2db569151aca0,protein_activity,heterologous enhancer luciferase reporter,cell culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Reporter enzymatic signal is a regulatory readout, not measured endogenous IL2RA RNA or cytokine responsiveness. No native human allele replacement."
PROT_G-A007,EV_G-A007,ENT_7f51448c358ce873,protein_abundance,CRISPR knock-in followed by flow cytometry,spleen and peripheral lymph nodes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Separate from human evidence and from NOD EDEL deletion experiments. Not complete loss of receptor, signaling assay or proof of human autoimmunity."
PROT_G-A009,EV_G-A009,ENT_871fc15775c83f06,protein_activity,dual luciferase activity divided by reporter RNA quantified by RT-qPCR,cell culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Not a direct endogenous DDX39B protein measurement or native allele edit. Does not imply an eQTL for RNA abundance.
PROT_G-A012,EV_G-A012,ENT_c88d1e5e3d2d4db0,secreted_protein,supernatant ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Authors state ELISA antibody can detect all IL7R isoforms; unexplained sh5 discordance. Do not infer uniform secretion change from exon skipping.
PROT_G-A015,EV_G-A015,ENT_65e629cd13524598,protein_abundance,flow cytometry in 13 genotype-selected subjects,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Other activation markers CD69/CD25/HLA-DR did not share the effect. Protein validation does not establish signaling, clinical response or causal variant localization."
PROT_G-A023,EV_G-A023,ENT_50077e6edf47f2d5,protein_abundance,surface flow cytometry; genotype association,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PBMC-gated monocytes, not purified-cell intrinsic effect proof. TNF context differs from the LPS soluble-protein arm. No direct measurement of receptor signaling."
PROT_G-A024,EV_G-A024,ENT_c88d1e5e3d2d4db0,secreted_protein,"supernatant sandwich ELISA; CD127 polyclonal antibodies, Fc-chimera standard",peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Known donor reuse from G01. ELISA does not independently identify splice origin versus all extracellular isoforms or prove IL7 availability/activity.
PROT_G-A025,EV_G-A025,ENT_c88d1e5e3d2d4db0,secreted_protein,supernatant ELISA with candidate genotype interaction analysis,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Minor-allele frequency limits power. Monocyte LPS context differs from HeLa reporter and activated CD4 T-cell experiments; this null does not refute their context-specific effects.
PROT_P_A01,EV_P_A01,ENT_d9eb5c47829fef48,protein_abundance,total-cell LC-MS/MS proteomics; aggregate profile comparison,blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Relevant main Methods recovered, with source/encoding ambiguity: CD4 memory gate rendered CD4+CD45RA+ in retrieved text. Preparation retained with author attribution; not generalized to conventional memory CD4 cells. Main Methods timing is less explicit than Figure5g. Raw protein matrix not reanalyzed; no CSF1R activation, individual protein direction, receptor dependence or cellular function inferred."
PROT_P_A02,EV_P_A02,ENT_7bfd7fdddd57392b,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function."
PROT_P_A03,EV_P_A03,ENT_916d7f0b5f44ae3c,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function."
PROT_P_A04,EV_P_A04,ENT_916d7f0b5f44ae3c,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function."
PROT_P_A05,EV_P_A05,ENT_4a43549f9f661137,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function."
PROT_P_A06,EV_P_A06,ENT_649e4f9ac17b6ad6,protein_activity,CyTOF phospho-antibody readout,bone marrow,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"PTM site, antibody clone, dose and duration unavailable in extracted main text. Two donors; phosphorylation is not measured cell function. The saved source has a panel-label discrepancy: main text cites Fig. 5C for STAT5, while the Fig. 5 legend labels STAT5 B and PLC-gamma-2 C; use the specific STAT5 passage."
PROT_P_A07,EV_P_A07,ENT_e692baa1b3e0fce6,protein_abundance,CITE-seq surface antibody-derived tags; RNA-defined NK cluster split by CD56 ADT; CLR-transformed ADT distributions,cord blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Full relevant Methods and Results recovered. NK groups are defined by CD56 protein tags; donor number and donor-level precision remain unavailable. No direct cytotoxicity inference. Unsigned distribution difference retained; KS P<0.001 is not a magnitude or calibrated truth probability.
PROT_P_A08,EV_P_A08,ENT_5f0dfc075a0530c6,protein_abundance,CITE-seq surface antibody-derived tags; RNA-defined NK cluster split by CD56 ADT; CLR-transformed ADT distributions,cord blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Full relevant Methods and Results recovered. NK groups are defined by CD56 protein tags; donor number and donor-level precision remain unavailable. No direct cytotoxicity inference. Low/absent CD4 control signals and ordinary no-difference observation do not establish protein absence or equivalence.
PROT_P_A09,EV_P_A09,ENT_50077e6edf47f2d5,protein_abundance,REAP-seq,peripheral blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Three donors; endpoint depends on co-stimulation and viable-cell selection. No receptor-response or functional outcome inferred.
PROT_P_A11,EV_P_A11,ENT_17d9586a5c5fa616,protein_abundance,REAP-seq,peripheral blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Three donors; endpoint depends on co-stimulation and viable-cell selection. No receptor-response or functional outcome inferred.
PROT_P_A13,EV_P_A13,ENT_ea61d535e6dc0e64,protein_abundance,REAP-seq and flow cytometry,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,One donor; surface availability is not receptor function.
PROT_P_A18,EV_P_A18,ENT_a923bdcc563c65cc,protein_abundance,ELISA; 35S labeling and immunoprecipitation,blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Small experiment series; donors unavailable. Source has 8 h versus 18 h microvesicle timing discrepancy.
PROT_P_A19,EV_P_A19,ENT_54b3af75e0fcfbf5,secreted_protein,fractionation and mature-IL1B ELISA,blood-derived culture,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Small experiment series; donors unavailable. Source has 8 h versus 18 h microvesicle timing discrepancy.
PROT_XCH_A009,EV_XCH_A009,ENT_f38409a9b4ecd1e1,protein_abundance,Double immunostaining and immunoelectron microscopy,intraoral autotransplanted forearm skin,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Immunoelectron microscopy subset counts differ between Methods and legend. Localization in secretory compartments is not a secretion-rate assay.
PROT_XCH_A021,EV_XCH_A021,ENT_09a97505ae6a769e,protein_abundance,AntiCXCL10 immunohistochemistry and cytoplasmic flow staining; Figure4A2 representative,lung-allograft biopsy and bronchoalveolar lavage,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Representative panels; donor/sample overlap unresolved. Conditioned-medium assays elsewhere use300-19 cell-line recipients and are not imported as primary-human target experiments.
PROT_XCH_A022,EV_XCH_A022,ENT_f38409a9b4ecd1e1,secreted_protein,"Heparin–Sepharose concentration of cell-free supernatant, SDS-PAGE and antiMDC monoclonal Western blot",blood-derived cell culture supernatant,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,"No secretion rate, calibrated concentration, donor count or detection limit reported. LDL and epithelial-line null comparisons are retained in source but do not prove absence or equivalence. Macrophage-source donors are not presumed identical to recipient DC donors."
PROT_XCH_A023,EV_XCH_A023,ENT_4ec703fd743c5e9b,secreted_protein,Extracellular chemokine protein quantified by Rules Based Medicine; exact platform unspecified,peripheral blood-derived PBMC culture supernatant,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,"Single reported conditioned-medium concentration, with donor number, pooling and precision unavailable. No unstimulated control concentration, secretion rate, cell-viability correction or specific producing-cell identity. Six phosphorylation donors and Ba/F3 chemotaxis replicates do not define this source experiment."
PROT_XCH_A024,EV_XCH_A024,ENT_f876c10c810517b8,secreted_protein,Extracellular chemokine protein quantified by Rules Based Medicine; exact platform unspecified,peripheral blood-derived PBMC culture supernatant,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,"Single reported conditioned-medium concentration, with donor number, pooling and precision unavailable. No unstimulated control concentration, secretion rate, cell-viability correction or specific producing-cell identity. Six phosphorylation donors and Ba/F3 chemotaxis replicates do not define this source experiment."
PROT_XCI-A01,EV_XCI-A01,ENT_5d8bb095e4f1d472,protein_abundance,Western blot of total eosinophil cell lysates,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Total lysate protein, not surface abundance or binding availability. No direct downstream function inferred from receptor abundance."
PROT_XCI-A02,EV_XCI-A02,ENT_36e500c2426cc9eb,protein_abundance,Western blot of total eosinophil cell lysates,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Total lysate protein, not surface abundance or binding availability. No direct downstream function inferred from receptor abundance."
PROT_XCI-A07,EV_XCI-A07,ENT_9ca2e79b2b55e060,protein_activity,pSTAT5 phospho-flow cytometry with surface CD25 and intracellular Foxp3 gating; BD LSRFortessa or LSR II,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Subset-stratified PBMC assay, not purified CD4 culture. CD25 association is not a receptor knockdown. No T-cell suppression or proliferation inferred from pSTAT5."
PROT_XCI-A08,EV_XCI-A08,ENT_9ca2e79b2b55e060,protein_activity,pSTAT5 phospho-flow cytometry with surface CD25 and intracellular Foxp3 gating; BD LSRFortessa or LSR II,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Subset-stratified PBMC assay, not purified CD4 culture. CD25 association is not a receptor knockdown. No T-cell suppression or proliferation inferred from pSTAT5."
PROT_XCI-A10,EV_XCI-A10,ENT_abc5db839413b6aa,secreted_protein,IL6 ELISA of conditioned medium,temporomandibular joint synovium,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Disease-derived cultured fibroblasts; target-specific pharmacological effects are not proven by these inhibitors. Primary Methods and result captions inspected.
PROT_XCI-A11,EV_XCI-A11,ENT_abc5db839413b6aa,secreted_protein,IL6 ELISA of conditioned medium,temporomandibular joint synovium,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Disease-derived cultured fibroblasts; target-specific pharmacological effects are not proven by these inhibitors. Primary Methods and result captions inspected.
PROT_XCI-A12,EV_XCI-A12,ENT_abc5db839413b6aa,secreted_protein,IL6 ELISA of conditioned medium,temporomandibular joint synovium,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Disease-derived cultured fibroblasts; target-specific pharmacological effects are not proven by these inhibitors. Primary Methods and result captions inspected.
PROT_XCI-A13,EV_XCI-A13,ENT_b93aa57ab30a7d26,secreted_protein,conditioned-medium IL1A ELISA,skin,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,"Measured conditioned-medium IL1A. Early IL1A preceded the reported LDH increase, but no specific export mechanism is established; later cell damage is present. Exact Figure2 dose-axis values not transcribed."
PROT_XCI-A14,EV_XCI-A14,ENT_1c948da2d168fe97,secreted_protein,chemokine ELISA,skin,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,"Antibody concentration delegated to an earlier methods citation, not recovered here. IL1A and polyIC inhibition provide same-study positive controls; ordinary nonsignificance still cannot establish absence. Mouse receptor KO excluded."
PROT_XCI-A15,EV_XCI-A15,ENT_1c948da2d168fe97,secreted_protein,cell-culture supernatant CXCL8 ELISA,skin,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Human primary keratinocytes. Figure3 explicitly gives24h whereas generic Methods say48h; figure-specific24h retained. Receptor-blocking fibroblast and mouse arms are not assigned to this keratinocyte response.
PROT_XCI-A18,EV_XCI-A18,ENT_1e9ee112dfef64dc,protein_abundance,Biosource IL16 ELISA;1:2sample dilution;sensitivity23pg/mL,amniotic fluid,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Immunoreactivity does not establish mature active isoform abundance. Cell source and export pathway unresolved. This is not a source-cell secretion edge.
PROT_XCI-A20,EV_XCI-A20,ENT_abc5db839413b6aa,secreted_protein,conditioned-medium IL6 ELISA,temporomandibular joint synovium,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Nonsignificance atlow dose does not negate IL17A-IL6 relationship;10ng/mL positive response retained separately.
PROT_XCI-A21,EV_XCI-A21,ENT_1c948da2d168fe97,secreted_protein,conditioned-medium CXCL8 ELISA,skin dermis,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,"Figure3-specific24h retained despite general Methods48h. No inference of source-cell release from keratinocyte RNA, receptor abundance or mouse knockout."
PROT_XRE-A01,EV_XRE-A01,ENT_27248508a679f26a,protein_activity,intracellular anti-pSTAT6Y641 phospho-flow; baseline-subtracted median fluorescence,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Phosphorylation is protein activity, not RNA or receptor binding; five experiments not assumed five unique donors."
PROT_XRE-A02,EV_XRE-A02,ENT_27248508a679f26a,protein_activity,intracellular anti-pSTAT6Y641 phospho-flow,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Detection threshold and absence precision unavailable; does not establish that IL13 signaling is absent.
PROT_XRE-A03,EV_XRE-A03,ENT_27248508a679f26a,protein_activity,nuclear-extract EMSA with STAT6-binding SBE1 probe,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,EMSA does not measure target-gene transcription; do not infer RNA abundance from this protein activity.
PROT_XRE-A04,EV_XRE-A04,ENT_27248508a679f26a,protein_activity,nuclear-extract EMSA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Ordinary null under one blockade condition cannot prove absolute gamma-chain independence or complete receptor composition.
PROT_XRE-A05,EV_XRE-A05,ENT_77c08ccce29531a9,protein_abundance,nonpermeabilized fixed-cell BBIG-E5 immunofluorescence microscopy,umbilical vein,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Surface-specific endpoint; reported sites per area assume 1:1 antibody binding. Pooled donors and technical fields are not independent people.
PROT_XRE-A06,EV_XRE-A06,ENT_77c08ccce29531a9,protein_abundance,nonpermeabilized surface E-selectin immunofluorescence,umbilical vein,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Conditional co-stimulation contrast; not a ligand-only effect or evidence of receptor binding.
PROT_XRE-A08,EV_XRE-A08,ENT_a42ba4f4fca16fef,binding,plate ligand/receptor-Ig ELISA,not applicable; cell-free,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Fusion-protein and immobilization context; EC50 is not an equilibrium receptor Kd. Distinct from anti-LTA antibody affinities and from cell signaling.
PROT_XRE-A09,EV_XRE-A09,ENT_009c23f45be889f8,binding,plate ligand/receptor-Ig ELISA,not applicable; cell-free,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Fusion-protein and immobilization context; EC50 is not an equilibrium receptor Kd. Distinct from anti-LTA antibody affinities and from cell signaling.
PROT_XRE-A10,EV_XRE-A10,ENT_009c23f45be889f8,binding,plate ligand/receptor-Ig ELISA,not applicable; cell-free,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,No equivalence limit or justified absence bound; cannot establish absolute lack of binding.
PROT_XRE-A11,EV_XRE-A11,ENT_a42ba4f4fca16fef,binding,plate ligand/receptor-Ig ELISA,not applicable; cell-free,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,No equivalence limit or justified absence bound; cannot establish absolute lack of binding.
PROT_XRE-A14,EV_XRE-A14,ENT_413077e485368412,binding,whole-cell radioligand binding; gamma counting; 100-fold excess competitor for nonspecific binding,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Whole-cell binding does not isolate FLT1. Receptor gene expression and binding cannot alone establish receptor-dependent migration. Half-maximal binding is not assigned an equilibrium Kd.
PROT_XRE-A15,EV_XRE-A15,ENT_b6b197268fb81725,protein_activity,intracellular anti-pSTAT4Y693 phospho-flow in CD3-negative CD56-positive PBMC gate,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Activity is conditional on IL2 preconditioning, not a fresh resting-NK claim. Explicit p70 biological complex retained separately from generic IL-12 assay identity. No IFNG secretion inferred from phospho-STAT4."
PROT_XRE-A18,EV_XRE-A18,ENT_77c08ccce29531a9,protein_abundance,whole-cell lysate immunoblot,umbilical vein; peripheral blood for neutrophil adhesion readout,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Lysate immunoblot is not a surface-specific assay. IL6 ligand is endogenous; no exogenous IL6 dose assigned. Two experiments, unique donors unavailable."
PROT_XRE-A19,EV_XRE-A19,ENT_77c08ccce29531a9,protein_abundance,whole-cell lysate E-selectin immunoblot,umbilical vein; peripheral blood for neutrophil adhesion readout,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Receptor/ligand antibody perturbation in this context; pharmacological specificity limited. No direct ligand-receptor affinity or surface E-selectin quantity inferred.
PROT_XRE-A20,EV_XRE-A20,ENT_abc5db839413b6aa,secreted_protein,culture-supernatant sandwich IL6 ELISA,umbilical vein; peripheral blood for neutrophil adhesion readout,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Supernatant measurement retained separately from intracellular protein and RNA. Duplicate determinations and three experiments do not specify unique donors.
