assertion_id,subject_id,predicate,object_id,context_id,measurement,direction,evidence_tier,status,qualitative_confidence,contradiction_group,candidate_path
G-A025,ENT_d9d2ec0b1f21b24b,has_no_detected_effect_on_supernatant_protein,ENT_c88d1e5e3d2d4db0,CTX_333007ffb4149300,secreted_protein,null,G1,reviewed,moderate,G-CX-DDX39B-IL7R-context,unavailable
P_A01,ENT_9628edc14de72e62,changes,ENT_d9eb5c47829fef48,CTX_4afed5fcc768a11e,protein_abundance,association,P2,reviewed,low,unavailable,unavailable
P_A02,ENT_ff24e6b81557dfad,increases_phosphorylation,ENT_7bfd7fdddd57392b,CTX_0972aa9f934bb892,protein_activity,increase,P2,reviewed,moderate,unavailable,unavailable
P_A03,ENT_9910df1d759bdaf7,does_not_induce_detectable_phosphorylation,ENT_916d7f0b5f44ae3c,CTX_9ab0a6ea73cfc33d,protein_activity,null,P2,reviewed,moderate,P_IL3RA_response_boundary,unavailable
P_A04,ENT_9d79226ed7ba388c,increases_phosphorylation,ENT_916d7f0b5f44ae3c,CTX_ed5753bd7090c0c5,protein_activity,increase,P2,reviewed,moderate,P_IL3RA_response_boundary,unavailable
P_A05,ENT_1ed823f665a6a54b,increases_phosphorylation,ENT_4a43549f9f661137,CTX_1eb909bfb38bec10,protein_activity,increase,perturbational,reviewed,moderate,unavailable,unavailable
P_A06,ENT_dc4564b108519c43,does_not_reduce_detectably,ENT_649e4f9ac17b6ad6,CTX_d392f27dd8c3ba97,protein_activity,null,perturbational,reviewed,moderate,unavailable,unavailable
P_A07,ENT_ec793c0d8c89a973,is_associated_with_different_distribution,ENT_e692baa1b3e0fce6,CTX_d157419dd15f3116,protein_abundance,association,observational,reviewed,moderate,unavailable,unavailable
P_A08,ENT_ec793c0d8c89a973,shows_no_reported_difference,ENT_5f0dfc075a0530c6,CTX_d157419dd15f3116,protein_abundance,null,observational,reviewed,moderate,unavailable,unavailable
P_A09,ENT_88feb3b9ca14e788,changes,ENT_50077e6edf47f2d5,CTX_aeb0218618294f39,protein_abundance,decrease,perturbational,reviewed,moderate,P_IL7R_paired_layers,unavailable
P_A10,ENT_88feb3b9ca14e788,changes,ENT_08968262c79cdfa7,CTX_aeb0218618294f39,RNA_abundance,decrease,perturbational,reviewed,moderate,P_IL7R_paired_layers,unavailable
P_A11,ENT_88feb3b9ca14e788,changes,ENT_17d9586a5c5fa616,CTX_aeb0218618294f39,protein_abundance,increase,perturbational,reviewed,moderate,P_ICOS_RNA_protein_discordance,unavailable
P_A12,ENT_88feb3b9ca14e788,changes,ENT_041d2cfb29a3e067,CTX_aeb0218618294f39,RNA_abundance,null,perturbational,reviewed,moderate,P_ICOS_RNA_protein_discordance,unavailable
P_A13,ENT_e0272f4bc23312cf,has_detectable_surface_protein,ENT_ea61d535e6dc0e64,CTX_8ed1428d496379ac,protein_abundance,association,observational,reviewed,moderate,unavailable,unavailable
P_A14,ENT_4ef3e5bae2c77085,is_associated_with_lower,ENT_d00fa27e685171e9,CTX_64a063ce3c126d9d,association,decrease,G2,reviewed,moderate,unavailable,unavailable
P_A15,ENT_0d0eeea56efc3208,has_platform_or_cohort_discordant_association,ENT_030d22676eedca56,CTX_dfd3a9f5d14767bf,association,association,observational,reviewed,moderate,P_IL6_IBD_platform_discordance,unavailable
P_A16,ENT_a7926543f6d04df4,has_reagent_dependent_association,ENT_030d22676eedca56,CTX_7faa68935984cbf3,association,association,observational,reviewed,moderate,P_CXCL9_IBD_reagent_discordance,unavailable
P_A17,ENT_95fba28cf68386f8,is_associated_in_cis_with,ENT_e3e64decadf38f83,CTX_50bea541b6d024a5,association,association,G2,reviewed,moderate,unavailable,unavailable
P_A18,ENT_6d9356029e40987d,increases_synthesis,ENT_a923bdcc563c65cc,CTX_e1d773705c75adab,protein_abundance,increase,perturbational,reviewed,moderate,unavailable,unavailable
P_A19,ENT_1c6a23f4c7653560,releases,ENT_54b3af75e0fcfbf5,CTX_ace900f31ea1273b,secreted_protein,increase,perturbational,reviewed,moderate,unavailable,unavailable
P_A20,ENT_203abc627abbbaa5,increases,ENT_7ef97468222a6bbb,CTX_1d43a1281f8690bd,cellular_phenotype,increase,P3,reviewed,moderate,unavailable,platelet -> extracellular IL1B-containing fraction -> endothelial response -> neutrophil adhesion
P_A21,ENT_8f3c6894eb2ae018,reduces,ENT_6b5ebee82dd77bee,CTX_a24a22ebaabae4b0,cellular_phenotype,decrease,P3,reviewed,moderate,unavailable,P_A19 -> P_A20; receptor-dependent component supported
P_A22,ENT_8f3c6894eb2ae018,does_not_inhibit,ENT_9d5c95971a8fae67,CTX_4cb9108b6921df35,cellular_phenotype,null,perturbational,reviewed,low,unavailable,unavailable
XCH_A001,ENT_5209a3a1a6e87309,induces_chemotaxis_blocked_by_CCR3_antibody,ENT_8f6134e106eee68f,CTX_9c260f199fe4c64a,cellular_phenotype,increase,P3,reviewed,moderate,unavailable,unavailable
XCH_A002,ENT_5209a3a1a6e87309,induces_calcium_flux_blocked_by_CCR3_antibody,ENT_3880f67886be7957,CTX_448bb5440a8a631b,cellular_phenotype,increase,P3,reviewed,moderate,unavailable,unavailable
XCH_A003,ENT_0d8bbf3db272192e,induces_chemotaxis_blocked_by_CCR3_antibody,ENT_8f6134e106eee68f,CTX_f6357345a82f7b1d,cellular_phenotype,increase,P3,reviewed,moderate,unavailable,unavailable
XCH_A004,ENT_0d8bbf3db272192e,induces_calcium_flux_blocked_by_CCR3_antibody,ENT_3880f67886be7957,CTX_c094afc97d0fcfc4,cellular_phenotype,increase,P3,reviewed,moderate,unavailable,unavailable
XCH_A005,ENT_097dd9d5babcd718,induces_migration_sensitive_to_CCR3_blockade,ENT_8d108c4e3b8a8319,CTX_e3ecc915250050c7,cellular_phenotype,increase,P3,reviewed,moderate,unavailable,unavailable
XCH_A006,ENT_097dd9d5babcd718,induces_biphasic_migration,ENT_a1a7123db9eb8c64,CTX_d72076e3f5dc15fc,cellular_phenotype,increase,P2,reviewed,moderate,unavailable,unavailable
XCH_A007,ENT_097dd9d5babcd718,late_phase_not_detectably_inhibited_by_CCR3_antibody,ENT_5bdf1b187f2af3be,CTX_0ae312d5662b0f3b,cellular_phenotype,null,P2,reviewed,moderate,XCH_CCL26_CCR3_CONTEXT,unavailable
XCH_A008,ENT_f38409a9b4ecd1e1,induces_migration,ENT_3e551672768bf9dd,CTX_6dcee583112b4597,cellular_phenotype,increase,P2,reviewed,moderate,unavailable,unavailable
XCH_A009,ENT_430af77acc2b2d60,protein_localizes_in_inflamed_skin_dendritic_cells,ENT_f38409a9b4ecd1e1,CTX_9f065f34a8ad0d05,protein_abundance,association,P1,reviewed,moderate,unavailable,unavailable
XCH_A010,ENT_a843df3b115de664,induces_dose_dependent_chemotaxis,ENT_bd0064b5245b06a2,CTX_ab0a0c3f43b27d83,cellular_phenotype,increase,P2,reviewed,moderate,unavailable,unavailable
XCH_A011,ENT_f38409a9b4ecd1e1,induces_dose_dependent_chemotaxis,ENT_bd0064b5245b06a2,CTX_253602809a7b4e3f,cellular_phenotype,increase,P2,reviewed,moderate,unavailable,unavailable
XCH_A012,ENT_4ec703fd743c5e9b,induces_migration_in_CD3_activated_T_cells,ENT_45959fcc0eb88c28,CTX_3562d82bc4afc334,cellular_phenotype,increase,P2,needs_full_text,low,unavailable,unavailable
XCH_A013,ENT_4ec703fd743c5e9b,no_attraction_reported_in_unstimulated_condition,ENT_4c6a89fa03838103,CTX_92aada0f12cb1b34,cellular_phenotype,null,P2,needs_full_text,low,XCH_CCL3_PREPARATION_CONTEXT,unavailable
XCH_A014,ENT_4ec703fd743c5e9b,induces_migration_after_rapid_purification_without_CD3,ENT_2b6943c75c8d8c8b,CTX_c14ea444b8a84db1,cellular_phenotype,increase,P2,needs_full_text,low,XCH_CCL3_PREPARATION_CONTEXT,unavailable
XCH_A015,ENT_f876c10c810517b8,induces_migration_in_CD3_activated_T_cells,ENT_94e7ad1d10a63c7e,CTX_444cc032c383ab9c,cellular_phenotype,increase,P2,needs_full_text,low,unavailable,unavailable
XCH_A016,ENT_f876c10c810517b8,no_attraction_reported_in_unstimulated_condition,ENT_4c6a89fa03838103,CTX_981252f5dec3b8ed,cellular_phenotype,null,P2,needs_full_text,low,XCH_CCL4_PREPARATION_CONTEXT,unavailable
XCH_A017,ENT_f876c10c810517b8,induces_migration_after_rapid_purification_without_CD3,ENT_2b6943c75c8d8c8b,CTX_9524bf990a055fda,cellular_phenotype,increase,P2,needs_full_text,low,XCH_CCL4_PREPARATION_CONTEXT,unavailable
XCH_A018,ENT_a843df3b115de664,induces_intracellular_calcium_mobilization,ENT_e4be1cb82d36b8d1,CTX_749fe00869857bd7,cellular_phenotype,increase,P2,reviewed,moderate,unavailable,unavailable
XCH_A019,ENT_f38409a9b4ecd1e1,induces_intracellular_calcium_mobilization,ENT_e4be1cb82d36b8d1,CTX_40ddeeeba3d0cbd3,cellular_phenotype,increase,P2,reviewed,moderate,unavailable,unavailable
XCH_A020,ENT_09a97505ae6a769e,induces_chemotaxis_sensitive_to_CXCR3_blockade,ENT_cf2b552ab364adfb,CTX_50d660bf700414d0,cellular_phenotype,increase,P3,reviewed,moderate,unavailable,unavailable
XCH_A021,ENT_c17f6bb98b76c84d,protein_localizes_in_graft_infiltrating_macrophages,ENT_09a97505ae6a769e,CTX_51d57ffcc6dc1c9e,protein_abundance,association,P1,reviewed,moderate,unavailable,unavailable
XCH_A022,ENT_d207416de3a24f9a,secretes_extracellular_CCL22_protein,ENT_f38409a9b4ecd1e1,CTX_25328b0ef00f8fc7,secreted_protein,association,P1,reviewed,moderate,unavailable,unavailable
XCH_A023,ENT_5962fa0b93b9b20d,extracellular_protein_detected_in_supernatant,ENT_4ec703fd743c5e9b,CTX_3f8bc576458379bf,secreted_protein,association,P1,reviewed,moderate,unavailable,unavailable
XCH_A024,ENT_5962fa0b93b9b20d,extracellular_protein_detected_in_supernatant,ENT_f876c10c810517b8,CTX_3f8bc576458379bf,secreted_protein,association,P1,reviewed,moderate,unavailable,unavailable
XCH_A025,ENT_09a97505ae6a769e,induces_chemotaxis,ENT_f07e26e8d2c98982,CTX_bc550ab86d25d646,cellular_phenotype,increase,P2,reviewed,moderate,XCH_CXCL10_PBL_PREPARATION,unavailable
XCH_A026,ENT_09a97505ae6a769e,induces_chemotaxis,ENT_f07e26e8d2c98982,CTX_5c30675555a93022,cellular_phenotype,null,P2,reviewed,moderate,XCH_CXCL10_PBL_PREPARATION,unavailable
XCI-A01,ENT_ecd6a047adc987fc,increases_total_protein_abundance,ENT_5d8bb095e4f1d472,CTX_c833aca395fc1041,protein_abundance,increase,P2,reviewed,moderate,unavailable,unavailable
XCI-A02,ENT_ecd6a047adc987fc,decreases_total_protein_abundance,ENT_36e500c2426cc9eb,CTX_a25ffe348514c215,protein_abundance,decrease,P2,reviewed,moderate,unavailable,unavailable
XCI-A03,ENT_d8b442b00a2228c4,decreases_GMCSF_supported_viability,ENT_3fa4711344c9188f,CTX_736131d999868c3c,cellular_phenotype,decrease,perturbational,reviewed,moderate,unavailable,unavailable
XCI-A04,ENT_db48e2e9ec12e60c,increases,ENT_3fa4711344c9188f,CTX_d3710b9f929dd61e,cellular_phenotype,increase,P2,reviewed,moderate,unavailable,unavailable
XCI-A05,ENT_0c5ae0384e55c6c4,increases,ENT_3fa4711344c9188f,CTX_407a24fb96c8a262,cellular_phenotype,increase,P2,reviewed,moderate,XCI-CONTEXT-IL5-E12K,unavailable
XCI-A06,ENT_11838141ad040022,reduces_IL5_supported_survival,ENT_3fa4711344c9188f,CTX_a709a0d52bd1cb36,cellular_phenotype,decrease,perturbational,reviewed,moderate,unavailable,unavailable
XCI-A07,ENT_5fe34bc58d70f972,increases,ENT_9ca2e79b2b55e060,CTX_13816c07bf3a37fe,protein_activity,increase,P2,reviewed,moderate,unavailable,unavailable
XCI-A08,ENT_4682a5cef0316d6a,is_associated_with_greater_IL2_response,ENT_9ca2e79b2b55e060,CTX_13816c07bf3a37fe,protein_activity,association,observational,reviewed,moderate,unavailable,unavailable
XCI-A09,ENT_5fe34bc58d70f972,does_not_elicit_full_proliferative_response_in_quiescent_culture,ENT_8533a37da587c5f7,CTX_905f6dde76ef3b9d,cellular_phenotype,null,P2,reviewed,low,XCI-CONTEXT-IL2-COMPETENCE,unavailable
XCI-A10,ENT_1c7bf29d33b68948,increases_extracellular_protein,ENT_abc5db839413b6aa,CTX_c7b0983764682c63,secreted_protein,increase,P2,reviewed,moderate,XCI-CONTEXT-IL17A-DOSE,unavailable
XCI-A11,ENT_b9ce76dc7ff668c8,reduces_IL17A_induced_extracellular_protein,ENT_abc5db839413b6aa,CTX_5bbb610de7a3d1fd,secreted_protein,decrease,perturbational,reviewed,moderate,unavailable,unavailable
XCI-A12,ENT_376847b41024ed35,has_no_detected_effect_on_IL17A_induced_release,ENT_abc5db839413b6aa,CTX_78d1d19c8183a8d3,secreted_protein,null,perturbational,reviewed,moderate,unavailable,unavailable
XCI-A13,ENT_4ef25834cd5c47de,releases_extracellular_protein_after_imiquimod,ENT_b93aa57ab30a7d26,CTX_618c82954b3ee0e5,secreted_protein,increase,P1,reviewed,moderate,unavailable,unavailable
XCI-A14,ENT_7e6300925e1f7f61,has_no_detected_effect_on_imiquimod_induced_release,ENT_1c948da2d168fe97,CTX_42c581d04851ea78,secreted_protein,null,perturbational,reviewed,moderate,unavailable,unavailable
XCI-A15,ENT_11fce20812601278,increases_extracellular_protein,ENT_1c948da2d168fe97,CTX_a8270b6e266f245b,secreted_protein,increase,P2,reviewed,moderate,XCI-CONTEXT-IL1A-CELL,unavailable
XCI-A16,ENT_6c9df7326d297d75,reduces_amniotic_fluid_induced_migration,ENT_8365b3c36a9a939d,CTX_b790fad4c54f08c7,cellular_phenotype,decrease,perturbational,reviewed,moderate,unavailable,unavailable
XCI-A17,ENT_72a146254f148568,induces_greater_migration_than_term_fluid,ENT_8365b3c36a9a939d,CTX_a4c81dfd39797cab,cellular_phenotype,increase,observational,reviewed,moderate,unavailable,unavailable
XCI-A18,ENT_72a146254f148568,contains_higher_immunoreactive_protein_than_term_fluid,ENT_1e9ee112dfef64dc,CTX_7f7b1f22a4433cb1,protein_abundance,increase,observational,reviewed,moderate,unavailable,unavailable
XCI-A19,ENT_0c5ae0384e55c6c4,does_not_detectably_induce_adhesion,ENT_ce325a05538d4f9a,CTX_8de117cd2f6439c8,cellular_phenotype,null,P2,reviewed,moderate,XCI-CONTEXT-IL5-E12K,unavailable
XCI-A20,ENT_1c7bf29d33b68948,does_not_significantly_increase_release_at_low_dose,ENT_abc5db839413b6aa,CTX_49d955ca81644dfb,secreted_protein,null,P2,reviewed,moderate,XCI-CONTEXT-IL17A-DOSE,unavailable
XCI-A21,ENT_11fce20812601278,increases_fibroblast_extracellular_protein,ENT_1c948da2d168fe97,CTX_1759394c68c064de,secreted_protein,increase,P2,reviewed,moderate,XCI-CONTEXT-IL1A-CELL,unavailable
XCI-A22,ENT_5fe34bc58d70f972,increases_after_weak_PHA_preconditioning,ENT_8533a37da587c5f7,CTX_e4951b75227a6980,cellular_phenotype,increase,P2,reviewed,low,XCI-CONTEXT-IL2-COMPETENCE,unavailable
XRE-A01,ENT_b68a57fbf39e14f2,increases_Y641_phosphorylation,ENT_27248508a679f26a,CTX_d904fdc17ebc89b7,protein_activity,increase,P2,reviewed,moderate,unavailable,unavailable
XRE-A02,ENT_b68a57fbf39e14f2,no_detectable_Y641_phosphorylation_at_low_dose,ENT_27248508a679f26a,CTX_76a808f3a7dad884,protein_activity,no_detectable_change,P2,reviewed,moderate,unavailable,unavailable
XRE-A03,ENT_b68a57fbf39e14f2,induces_nuclear_DNA_binding_activity,ENT_27248508a679f26a,CTX_39fd3b84a275bb4b,protein_activity,increase,P2,reviewed,moderate,unavailable,unavailable
XRE-A04,ENT_b68a57fbf39e14f2,gamma_chain_blockade_no_detectable_inhibition,ENT_27248508a679f26a,CTX_9fa25aa505f87def,protein_activity,no_detectable_change,P2,reviewed,moderate,unavailable,unavailable
XRE-A05,ENT_26871fd42dfc89a8,increases_surface_protein,ENT_77c08ccce29531a9,CTX_d7007697129ae70c,protein_abundance,increase,P2,reviewed,moderate,unavailable,unavailable
XRE-A06,ENT_26871fd42dfc89a8,higher_surface_protein_with_simultaneous_shear,ENT_77c08ccce29531a9,CTX_25bae4f7da8b8990,protein_abundance,increase,P2,reviewed,moderate,unavailable,unavailable
XRE-A07,ENT_26871fd42dfc89a8,higher_adhesion_with_simultaneous_shear,ENT_0dbb53c937a0d150,CTX_af12b47c69a05577,cellular_phenotype,increase,P2,reviewed,moderate,unavailable,unavailable
XRE-A08,ENT_9a78f9a737146989,binds_recombinant_receptor_Ig,ENT_a42ba4f4fca16fef,CTX_652915df3b2edcdf,binding,association,P1,reviewed,moderate,unavailable,unavailable
XRE-A09,ENT_ecf9d0347d09d670,binds_recombinant_receptor_Ig,ENT_009c23f45be889f8,CTX_8ca93c7e7cad3abd,binding,association,P1,reviewed,moderate,unavailable,unavailable
XRE-A10,ENT_9a78f9a737146989,binding_not_detected_in_specificity_control,ENT_009c23f45be889f8,CTX_b0b5203692457e4a,binding,no_detectable_change,P1,reviewed,moderate,unavailable,unavailable
XRE-A11,ENT_ecf9d0347d09d670,binding_not_detected_in_specificity_control,ENT_a42ba4f4fca16fef,CTX_51eaf1c568a5d64b,binding,no_detectable_change,P1,reviewed,moderate,unavailable,unavailable
XRE-A12,ENT_6fff2b77daca0822,increases_migration,ENT_1b8e6dc4f4e1f299,CTX_399d6aa6caa20465,cellular_phenotype,increase,P2,reviewed,moderate,unavailable,unavailable
