state_id,cell_id,name,ontology_id
STATE_d099edb540bec157,CELL_1825c36445989253,immature,unavailable
STATE_d7fcedba016a98e2,CELL_f44fb86bdb4f0471,unavailable,unavailable
STATE_d8d265207be5792e,CELL_bf39fd85713e205e,unavailable,unavailable
STATE_de880d8b373df09c,CELL_f44fb86bdb4f0471,anti-CD3-activated,unavailable
STATE_dee7ed9f2c82b77c,CELL_d855fecfe0ab0513,LPS activated,unavailable
STATE_df3988e61d796058,CELL_d52b0b331563dd1f,Human monocytes differentiated on plastic into macrophages,unavailable
STATE_e19aa27af25d3e53,CELL_94d26da2bc86c62b,"confluent pooled primary culture, >=24h defined-medium adaptation",unavailable
STATE_e58b8fa030e06508,CELL_f0c156263e3b0e31,"Blood eosinophils purified by CD16 negative selection, >98.5%purity; IL5-primed and IL5 maintained throughout migration",unavailable
STATE_f1886fbaf734afed,CELL_aeef42406a64bd60,1-h rest in RPMI complete medium before stimulation,unavailable
STATE_f74e562dc3edb3cb,CELL_eeb5fd2461b8fb59,"primary outgrowth synovial fibroblasts, passages6–8;confluent cultures after24h in2%FBS",unavailable
STATE_facca68313948ac1,CELL_1f3102368655b44f,plate-immobilized ligand,unavailable
STATE_fcc5cce2d6c8d390,CELL_4225ef4835590a73,unavailable,unavailable
